,logFC,logCPM,LR,PValue,FDR,direction
A2ML1,6.93394530235526,2.68138598875217,36.8847028560087,1.25325396097448e-09,2.87604585977325e-09,up
A2M,-1.72252321150471,10.800353183864,158.314488246046,2.64194756391224e-36,2.93040510405368e-35,down
AADAC,-1.30863617977102,2.97412592765199,17.3724201087228,3.07252229892752e-05,5.08991374996324e-05,down
AATK,-1.80062086297233,4.74032266546133,100.430014905638,1.22655211730044e-23,6.97130536734942e-23,down
ABCA12,6.95151165570022,3.69133016047193,203.952077999961,2.86708828975624e-46,4.86957026713287e-45,up
ABCA3,-1.99599614124213,8.92263016123688,127.162796499053,1.71142955135647e-29,1.33756063917878e-28,down
ABCA4,4.54429605473239,4.27115489626874,104.749974113722,1.38561891508449e-24,8.36372657490149e-24,up
ABCA6,-1.83873482105603,2.76016040429518,167.008039879104,3.33175976068048e-38,4.00917659763065e-37,down
ABCA8,-3.19473032900419,4.25386845310804,274.929195483201,9.56418192061403e-62,3.00614913186722e-60,down
ABCA9,-2.33943799325117,1.89411372073831,313.848606370297,3.1684590017413e-70,1.44004805640117e-68,down
ABCB1,-1.82455914272318,2.37968753867549,114.121024928058,1.2259307641869e-26,8.30272112567704e-26,down
ABCB4,3.11627366585434,1.26067332266267,90.6384734029505,1.72473877414691e-21,8.55743346138163e-21,up
ABCB6,2.18396566715857,5.62275356716238,160.215665240751,1.01514544872171e-36,1.14645517169922e-35,up
ABCB9,1.55404716216054,3.24431575876178,132.946603417185,9.28765110830434e-31,7.81096847561069e-30,up
ABCC2,6.51186201187868,4.45075621092836,110.829106761583,6.44977391595278e-26,4.2044403278205e-25,up
ABCC3,2.72125742696127,8.02313829860652,167.092139599553,3.193769779231e-38,3.85023410353874e-37,up
ABCC9,-1.06419174431996,4.36627137638487,43.2437395682277,4.83281545616705e-11,1.23027409856056e-10,down
ABCG1,-1.45410978153939,5.7679789059549,142.257020608998,8.54442157669797e-33,7.87656784780553e-32,down
ABCG2,-2.22647405826947,2.96909600764436,291.100764857808,2.86227367834654e-65,1.02009556995498e-63,down
ABHD11,1.51913719950613,5.66436272414978,176.650878709287,2.61039726351856e-40,3.46388829148892e-39,up
ABHD6,-1.24136965084285,3.37777474061198,200.180333059066,1.90756468888993e-45,3.16166122006102e-44,down
ABI3BP,-2.96410153673703,5.54926029840236,406.711990576553,1.90479667767584e-90,1.67879512591917e-88,down
ABI3,-1.31081382677052,4.30271027184254,217.818163999009,2.70587802763281e-49,5.21351152030169e-48,down
ABLIM3,-1.66526567530131,4.4940194674264,124.439307105687,6.75128651103666e-29,5.14992872806797e-28,down
ABTB1,-1.00055694944823,5.44356502317415,171.459933599229,3.55066918546533e-39,4.4619391960703e-38,down
ABTB2,1.24845841519396,3.57493210769169,68.509782894054,1.2624973502743e-16,4.63887758788112e-16,up
ACACB,-1.360270704277,4.09766592661305,133.090648509965,8.63764120860746e-31,7.28780025388588e-30,down
ACAD8,1.48247332465266,6.05346921900759,88.4154323088644,5.30552753762173e-21,2.5641089737213e-20,up
ACADL,-3.13089096575635,2.98022140476826,200.942737089671,1.30049271350483e-45,2.1720393028114e-44,down
ACAN,1.63442210811465,1.88304438737401,37.412327830816,9.56158372877887e-10,2.20902051289748e-09,up
ACBD7,1.40151191897618,1.9198393836138,39.5723688716357,3.16124595658464e-10,7.57027579542686e-10,up
ACE2,2.33500570897775,3.75856095155485,52.3057803130577,4.74974327413506e-13,1.38945169921098e-12,up
ACHE,2.58267604212542,4.57002895789907,72.3119221015806,1.83734031694411e-17,7.14557754747139e-17,up
ACN9,1.30382094556436,4.08883765134855,106.8701868643,4.7530539939623e-25,2.94951647465482e-24,up
ACOT11,1.73370053891009,3.24407931686387,135.053632839205,3.21369691651296e-31,2.78534635076379e-30,up
ACOXL,-1.72386570452118,2.39971616812943,67.8196976499343,1.79150790890829e-16,6.51475583044321e-16,down
ACP5,-2.07174932880568,7.36784406903101,391.648926043859,3.62164587725346e-87,2.82878735466432e-85,down
ACP6,1.47385880895584,4.69296630198995,160.392905882318,9.28546746153496e-37,1.05138574278005e-35,up
ACSL5,1.00827576109496,7.85966267000562,31.6518727859398,1.84436650367717e-08,3.89728117187187e-08,up
ACSS3,-1.28952851247289,3.6151307473485,45.9163022777854,1.23414653594625e-11,3.26867155632139e-11,down
ACTG2,-1.47402102927609,4.39785771876366,74.3367751276215,6.58650287891066e-18,2.63460115156427e-17,down
ACTL6A,1.17016138249991,6.04378812788231,128.974876521672,6.86822533963807e-30,5.48953010601955e-29,up
ACTR3B,1.26132338601558,3.24843791563022,114.199556933006,1.17832764498806e-26,7.98862047880681e-26,up
ACVRL1,-2.81332081785055,5.98191847772128,925.096653299406,3.43710209472474e-203,4.48335597235895e-200,down
ACY3,3.64887939872651,1.83069050664952,131.159086925298,2.28537080515385e-30,1.87486646430357e-29,up
ADAM12,2.84359301810538,4.37554677317031,132.07051988923,1.44397541390526e-30,1.19969524197326e-29,up
ADAM28,2.36907886227282,4.50472001156514,125.259378668071,4.46586830371955e-29,3.43067056264534e-28,up
ADAM33,-1.08917197254659,2.0798881137283,24.0845693412875,9.21961370929548e-07,1.72145206447252e-06,down
ADAM6,1.92072760730784,12.2970976336549,57.1723059002298,3.99253825234261e-14,1.24799110864023e-13,up
ADAM8,1.69407731508589,6.05145675841796,100.255694916726,1.33939656035546e-23,7.59612553620724e-23,up
ADAMDEC1,1.67027394954081,2.89267250628486,37.1662764159238,1.08473554117599e-09,2.498109180632e-09,up
ADAMTS12,1.6132477878543,2.85290562950528,58.0471067023182,2.55915572364401e-14,8.11415344171427e-14,up
ADAMTS13,1.00700441280455,2.32088621200656,31.4370268105674,2.06014503532536e-08,4.33707744363848e-08,up
ADAMTS14,2.95142836306663,2.74243700961448,174.90729428129,6.27265288379989e-40,8.15757569454495e-39,up
ADAMTS16,2.42033889512249,2.1820222904214,67.2228687245534,2.42484977632087e-16,8.73749737080922e-16,up
ADAMTS1,-2.40675497895788,6.12566218718718,313.522889341347,3.73078916459344e-70,1.68388975304349e-68,down
ADAMTS4,-1.55530960134467,4.58576750759423,64.5090041932889,9.60922145970864e-16,3.33269568520179e-15,down
ADAMTS8,-3.84832108499507,3.89058173187979,405.75455565347,3.0779550523803e-90,2.69455340290259e-88,down
ADAMTSL1,-1.03411182768664,2.03990757249411,24.4245943870323,7.72758480684751e-07,1.45222037488141e-06,down
ADAMTSL3,-2.37630375191349,3.70142993188691,220.520799737045,6.96280906135233e-50,1.39298897847055e-48,down
ADAMTSL4,-1.8963052787733,6.23372188795849,112.38752439562,2.93872073786842e-26,1.94977992394485e-25,down
ADAMTSL5,1.80010827535732,2.39146132488729,64.4205649357709,1.00503653670355e-15,3.48106653870449e-15,up
ADARB1,-1.90137741214943,5.0137634644238,382.57788963772,3.41758314203318e-85,2.53289514231141e-83,down
ADA,1.01544761073422,2.88049116804141,39.2466916140786,3.73500705798578e-10,8.89202994421728e-10,up
ADCK5,1.94180996364269,4.06781564631884,220.097131152149,8.61384060246534e-50,1.70499145399936e-48,up
ADCY4,-2.18361552813463,3.23095156940006,510.037100599268,6.2250470360012e-113,8.82603408017387e-111,down
ADCY9,-1.11562682760076,5.8503435190859,80.2558886315276,3.28930756314616e-19,1.43210039565015e-18,down
ADC,1.60590417689674,3.02460281300652,106.203182528643,6.65496869559046e-25,4.10049181224761e-24,up
