,logFC,logCPM,LR,PValue,FDR,direction
KANK3,-3.92492369674005,3.4272686427479,1291.5933184156,7.58780292183696e-283,9.89753013124413e-279,down
ACVRL1,-3.48295554392943,5.63671985989718,1188.13088140784,2.31632967370203e-260,1.51071021318847e-256,down
LDB2,-3.71457331766934,4.37758395376494,1172.84492497418,4.8630724224631e-257,2.11446388928696e-253,down
SH2D3C,-3.43739013658317,5.03625610330687,1126.57774001675,5.52620344527372e-247,1.80209494350376e-243,down
ARHGEF15,-3.73674870767439,3.778038624889,1098.7168740309,6.27718607421412e-241,1.63759230304098e-237,down
ROBO4,-3.87968278305468,5.16040737258765,1094.68604129192,4.71895535726537e-240,1.02590089466949e-236,down
ESAM,-3.32827354644238,5.4942866501057,1093.03586955585,1.07771293451552e-239,2.00824107397435e-236,down
CLEC3B,-5.29479956107764,5.48029508058688,1067.7886960152,3.31071935371639e-234,5.39812790623458e-231,down
CDH5,-3.718584116916,6.03397917365439,1029.74870641397,6.13851375975472e-226,8.89675260913784e-223,down
RAMP3,-3.95064315432361,4.6287186698707,1016.30332413092,5.1349864501109e-223,6.69807632552465e-220,down
HSD17B6,-4.51703890420757,4.08907537232175,1004.27432595544,2.11438206752922e-220,2.50727269898646e-217,down
MYCT1,-3.35442697186934,3.39903082920097,996.329626381798,1.12739027978213e-218,1.22547323412318e-215,down
KLF2,-3.74942292655253,4.80193317217329,994.245315488969,3.19985634915024e-218,3.21068663217813e-215,down
CDCA5,4.4707100892737,5.66692017184025,986.376848453001,1.64235963999848e-216,1.53020993886715e-213,up
SCARF1,-2.84160834319633,4.1542506794571,982.207232595398,1.32375268749077e-215,1.08913537399596e-212,down
STARD8,-3.31128585171887,3.49622073776338,982.188903293566,1.33595262066355e-215,1.08913537399596e-212,down
TEK,-4.31632999719923,4.34614221730259,970.165033888332,5.48795287597412e-213,4.2108739596592e-210,down
KIF23,4.12125123450878,5.50460209226763,958.089550873819,2.31356836583726e-210,1.67656587577673e-207,up
RAMP2,-3.45265075594615,4.4011725692957,947.87984705507,3.83365390025832e-208,2.63190428815629e-205,down
S1PR1,-3.8556342068483,5.21895682038008,946.752459791249,6.74030916750511e-208,4.39602963904683e-205,down
TTK,5.34898530336282,5.03665851109264,943.572909082753,3.31008718569701e-207,2.0560370119158e-204,up
NEK2,5.1118669312245,4.86966011082019,928.710344272093,5.63176647917918e-204,3.33912554338242e-201,up
CDCA8,4.28457537582761,5.19415573897349,927.660686644812,9.52401203127025e-204,5.40135708416909e-201,up
KIF4A,5.05880765952278,5.39699538975579,926.226594324473,1.95238003420915e-203,1.06111854859267e-200,up
EXO1,5.13294513831264,4.33952664672431,922.105368989886,1.53618433456056e-202,8.0151953840032e-200,up
GPD1,-6.07669700178055,3.34441657162196,900.362773369952,8.18385979684773e-198,4.10577950731084e-195,down
SLC9A3R2,-2.69627923290335,6.31561912997607,894.604701491143,1.46115972112358e-196,7.05902496382813e-194,down
RAD54L,5.10982121735127,4.25534242058248,894.496477008097,1.54249779600963e-196,7.18583616112486e-194,up
PTPRB,-3.85660822105184,5.73915910323738,891.477950959496,6.98910451017812e-196,3.14365100795736e-193,down
DLC1,-4.04982917422996,6.14787274181568,890.463569956218,1.16128346863945e-195,5.0480027026445e-193,down
NCAPH,4.70804849233029,5.28130697008897,890.398561436581,1.19969398790233e-195,5.0480027026445e-193,up
TFAP2A,6.15162129517624,5.66111588681489,889.647184329645,1.74748259573117e-195,7.12317593084917e-193,up
CSRNP1,-3.57040625390133,6.04763502344032,883.639336866457,3.53564329248352e-194,1.39754336688349e-191,down
CENPA,5.33793409478516,4.09678958228784,883.530726499453,3.7331850350367e-194,1.43222545873584e-191,up
TROAP,5.37908114191937,4.90104522430664,880.898182092467,1.39436278171663e-193,5.19659089277479e-191,up
CCNB2,4.66551087222921,5.66359502353485,875.29193718423,2.30748905098374e-192,8.36080199473108e-190,up
RTKN2,-4.28537176565137,5.68058816120829,873.725906290186,5.05343763178962e-192,1.78154163429902e-189,down
