,logFC,t,P.Value,adj.P.Val,B,direction
STX11,-3.65349522824835,-32.0752681701658,5.78092470598844e-107,7.54063818649132e-103,233.315517255173,down
SH2D3C,-2.74118969631783,-26.3742265998389,1.0965378243502e-85,7.15161969041203e-82,184.81964935686,down
ACVRL1,-2.82286404736086,-25.9881276512809,3.47654018151628e-84,1.51159967092328e-80,181.396447675574,down
KANK3,-3.17889353498018,-25.3263502314689,1.34984841313454e-81,4.40185567523174e-78,175.151068190531,down
FGD5,-2.62413341475695,-24.8934052122491,6.83678135746337e-80,1.78357952053504e-76,171.529007345805,down
RTKN2,-4.64730646511433,-24.3705877990087,8.01844879584392e-78,1.74321076821647e-74,166.74311410096,down
GIMAP8,-2.84964666791804,-24.3221291225653,1.24872167783644e-77,2.2955479431308e-74,166.327000926285,down
LIMS2,-3.28462424930687,-24.3090095364844,1.40787975659663e-77,2.2955479431308e-74,166.208360784689,down
LDB2,-2.92207848377021,-24.2148996548311,3.33041133781646e-77,4.82687616560865e-74,165.342405465186,down
GIMAP6,-2.51566068486339,-23.7911213650664,1.6246048452292e-75,2.11913456011697e-72,161.498581031327,down
PYCR1,3.63334208741314,23.6082168547244,8.74146458249869e-75,1.03657876376466e-71,159.821720142127,up
S1PR1,-3.01889179519563,-23.4662061201153,3.23519408418361e-74,3.51665596950759e-71,158.516553731786,down
ROBO4,-3.21228109497509,-23.4534625110392,3.63861721563976e-74,3.65093253544654e-71,158.392930748038,down
TRPV2,-2.35805906315989,-23.3609872939819,8.54014329253952e-74,7.95697350770611e-71,157.550392645576,down
TEK,-3.60755446376174,-23.3503616781488,9.42019815850972e-74,8.19180431864005e-71,157.355141504094,down
SPOCK2,-3.98353686136409,-22.7306044762048,2.92053890972553e-71,2.38096934615374e-68,151.726616665249,down
RAMP2,-3.08646249989828,-22.6021672682755,9.62560763713775e-71,7.3856721187544e-68,150.52180481892,down
CDH5,-2.85832133987875,-22.5465160141662,1.61446433727791e-70,1.16994848974739e-67,150.020870175757,down
HSPA12B,-3.17895148960053,-22.3828373082888,7.39927914030876e-70,5.07979984769408e-67,148.377033014844,down
CLEC3B,-4.61019415660221,-22.1964912023148,4.19696680414563e-69,2.73726174966378e-66,146.78296547475,down
DPEP2,-3.0397768137524,-21.9891280006478,2.90352791312091e-68,1.80350562374996e-65,144.487749961086,down
GYPC,-2.11184849069172,-21.8989576925571,6.73877056068193e-68,3.99547832697887e-65,144.024728057654,down
ECSCR,-2.65572968765949,-21.8767366468625,8.29327402064119e-68,4.70336810109755e-65,143.470201940941,down
FGR,-2.70190001293138,-21.7995788560958,1.70546880153248e-67,9.26922293632905e-65,143.100079675045,down
PNPLA6,-1.76007664460193,-21.761850146154,2.42668032793291e-67,1.26614472790227e-64,142.705984515603,down
CALCRL,-2.99797155570978,-21.5224539271518,2.27924913883017e-66,1.14348176026541e-63,140.500280997461,down
HPS5,-1.34322611357326,-21.3640777439761,1.00499475223085e-65,4.85524131411081e-63,139.003621846781,down
STARD8,-2.48924572855185,-21.2805142984133,2.19989163197089e-65,1.0248352302653e-62,138.241823563534,down
RAMP3,-3.39080530134507,-21.2099174813343,4.26554035789776e-65,1.9186106354627e-62,137.589291965818,down
CAV1,-4.29181154052423,-21.2011543087177,4.6310407661929e-65,2.01357652514067e-62,137.485888996997,down
PDLIM2,-2.16953485654097,-21.1965456424471,4.83567170004954e-65,2.0347258598531e-62,137.447810545034,down
MFNG,-2.02491277210456,-21.1063569210751,1.12728337582808e-64,4.59508886071919e-62,136.633311172739,down
OTUD1,-2.00883649294085,-21.0740223693162,1.52708056955826e-64,6.03613301494485e-62,136.325442882945,down
C10orf54,-1.99745235707332,-21.0676422872939,1.62134891581685e-64,6.22025742879853e-62,136.224870479137,down
EDNRB,-3.93953747938534,-21.0562991707607,1.80355685049399e-64,6.72159873081245e-62,136.163320813235,down
DOK2,-2.69680737833248,-21.0372067003802,2.15768898278479e-64,7.81802641429024e-62,135.978976857037,down
GIMAP7,-2.45061223471062,-20.9410940801592,5.32177579403128e-64,1.87614171506335e-61,135.086038499187,down
CYYR1,-2.48170789571284,-20.8344849729632,1.44934492424769e-63,4.84750133125304e-61,134.087760621903,down
JAM2,-2.70575258301633,-20.8497273639604,1.25587640798064e-63,4.31096101728932e-61,134.045462464951,down
MYCT1,-2.56825588052405,-20.7819657767776,2.37470633596286e-63,7.74391736157488e-61,133.551944057837,down
ARHGEF15,-2.84468563600062,-20.6096218475192,1.2013748941984e-62,3.82213027315219e-60,131.951708348743,down
LYVE1,-3.71934545992798,-20.5998688904418,1.31685734707722e-62,4.08978267506553e-60,131.820972764386,down
FEZ1,-2.44113096870227,-20.5924437649852,1.41216771335325e-62,4.28379433790228e-60,131.767824190691,down
GLIPR2,-2.55738033881886,-20.554749761152,2.01355095869872e-62,5.83661304561468e-60,131.435753943477,down
CLEC1A,-2.62679732983656,-20.5570587933522,1.97026019587589e-62,5.83661304561468e-60,131.000653448545,down
TIE1,-2.40046335303934,-20.4621837915897,4.81325941650401e-62,1.3648729528017e-59,130.596430123666,down
NLRC4,-2.60335414084312,-20.3365024227115,1.57235764841464e-61,4.36379429062139e-59,129.242412218828,down
GPR146,-2.48390830457325,-20.3209897185353,1.81980839016628e-61,4.94532930027686e-59,129.206168581297,down
GIMAP4,-2.08206037727213,-20.2916085685847,2.40025260243872e-61,6.38957039718584e-59,128.96843081693,down
AGER,-6.92135197664698,-20.2427229606057,3.80480984665395e-61,9.73136071367729e-59,128.547723725461,down
SRPK1,1.6677375780349,20.244773419592,3.73198784510324e-61,9.73136071367729e-59,128.498755699223,up
GRK5,-2.7858707343619,-20.1659756596106,7.84355840093872e-61,1.96752645734317e-58,127.822698585862,down
C19orf59,-5.58765585880788,-20.1126469865105,1.2968077073475e-60,3.19161504427186e-58,127.264370084064,down
TLR4,-2.09826924411067,-20.0634383047052,2.06254688752952e-60,4.98219659276575e-58,126.829369254642,down
CD52,-3.0062569151854,-20.0538884849453,2.25692874202005e-60,5.35261427471083e-58,126.729140368764,down
MS4A7,-2.70151673651446,-20.0460414623912,2.43029224414226e-60,5.66084500581993e-58,126.65331865826,down
RASGRP4,-2.70044172938216,-20.0422271686843,2.51931100788037e-60,5.76524434855992e-58,126.283243132289,down
EPAS1,-2.69879133213051,-19.9930827216295,4.00492143628589e-60,9.00693020946778e-58,126.169529445362,down
ALDH18A1,1.6905645697665,19.982934083108,4.40727554758143e-60,9.74381393943257e-58,126.033604333359,up
RASIP1,-2.75839089302321,-19.9644964837635,5.24454023141298e-60,1.14016304630918e-57,125.936760251939,down
PRX,-3.63638018849694,-19.8763542626146,1.20469541195352e-59,2.53452370218093e-57,125.109536528221,down
EMP2,-2.92255082912027,-19.8803496583231,1.16012222529908e-59,2.48075972242643e-57,125.101228638219,down
OSCAR,-2.99951838331886,-19.5839554451434,1.90384492957917e-58,3.94186559705249e-56,122.362332527796,down
S1PR4,-2.44187490291491,-19.5431077116899,2.80003367943106e-58,5.70681864289042e-56,121.962188699415,down
CLEC14A,-2.52589174860098,-19.5117817122217,3.76402568518265e-58,7.5535309288496e-56,121.665709105354,down
STARD13,-2.09448183919637,-19.4726946303202,5.44486114730451e-58,1.07610255765818e-55,121.317378249727,down
FHL1,-3.8651393450224,-19.4540770145947,6.49172466456292e-58,1.26385158991879e-55,121.120878799805,down
CLDN5,-3.36196495760775,-19.4322915292578,7.97502439842978e-58,1.52979732725174e-55,120.903786194444,down
CD300C,-2.77439047730836,-19.422654909575,8.73506329522102e-58,1.65130674815743e-55,120.597444323742,down
TMEM177,1.8726156766035,19.3801057306187,1.30566356213843e-57,2.41295082669351e-55,120.421673586677,up
SLC31A2,-1.75844543540311,-19.3794806132483,1.31339703078227e-57,2.41295082669351e-55,120.402280618574,down
NECAB1,-3.59782195287703,-19.3730665681243,1.39544228410845e-57,2.52807627137648e-55,120.051699249873,down
FLI1,-2.04165665406911,-19.3375855580161,1.95114744784104e-57,3.48640648077241e-55,120.025218073836,down
PRAM1,-3.17641791617482,-19.3033616948568,2.69598836149886e-57,4.75222597126908e-55,119.630485772316,down
ERG,-2.2960401979178,-19.2685715549542,3.74521603251092e-57,6.51367972374298e-55,119.394355670308,down
PTPN21,-2.62245753251749,-19.1891434460582,7.93286330192353e-57,1.36152985408277e-54,118.636833442995,down
FAM107A,-4.91379591052353,-19.1583115074889,1.06161052886886e-56,1.79839581020329e-54,118.30985865014,down
UPK3B,-6.21034353510719,-19.1515435263782,1.13172737511934e-56,1.89259639500727e-54,118.128456432765,down
