"genes"	"modules"
"APOE"	"M4"
"EGR1"	"M3"
"AKR1C3"	"M2"
"CLCA2"	"M1"
"HLA-DPA1"	"M4"
"LYZ"	"M4"
"DSC2"	"M1"
"PLAU"	"M1"
"EPHX1"	"M2"
"SFTPB"	"M6"
"KRT6C"	"M1"
"CLU"	"M2"
"KRT14"	"M1"
"PPL"	"M1"
"DPYSL3"	"M3"
"GPX2"	"M2"
"SOX2"	"M5"
"SPARCL1"	"M2"
"KRT13"	"M1"
"NQO1"	"M2"
"VCAN"	"M3"
"CXCR7"	"M5"
"SERPINE1"	"M3"
"AHNAK2"	"M1"
"CSTA"	"M1"
"SULF1"	"M3"
"SLC7A8"	"M2"
"CD109"	"M1"
"HAS3"	"M1"
"LAMA3"	"M1"
"MMP11"	"M3"
"GJB2"	"M1"
"HLA-DRB1"	"M4"
"SLPI"	"M1"
"PHLDA1"	"M3"
"FOS"	"M1"
"COL17A1"	"M1"
"MXRA5"	"M3"
"THBS2"	"M3"
"TGM2"	"M6"
"S100A14"	"M1"
"FGFR3"	"M1"
"MGST1"	"M2"
"FAT2"	"M1"
"TRIM16"	"M2"
"IGJ"	"M4"
"EPHB3"	"M2"
"SULF2"	"M3"
"COL12A1"	"M3"
"FADS2"	"M2"
"EGFR"	"M1"
"SLC1A4"	"M2"
"AKR1B10"	"M2"
"CES1"	"M2"
"CYP2S1"	"M5"
"SFRP2"	"M3"
"FKBP10"	"M3"
"NAV1"	"M2"
"CAV1"	"M3"
"NID1"	"M3"
"FGFR2"	"M5"
"SERPINF1"	"M3"
"WNT7B"	"M1"
"RDH10"	"M1"
"GSR"	"M2"
"SERPINA1"	"M6"
"ITGB8"	"M1"
"SCNN1A"	"M2"
"ALDH3A1"	"M2"
"PTHLH"	"M1"
"CX3CL1"	"M1"
"SLC40A1"	"M4"
"S100A8"	"M1"
"C1QB"	"M4"
"WNT5A"	"M2"
"CTGF"	"M3"
"CA12"	"M1"
"TNS4"	"M1"
"LYPD3"	"M1"
"MAOA"	"M1"
"PXDN"	"M3"
"IGF2BP2"	"M5"
"MT2A"	"M5"
"EGLN3"	"M1"
"SERPINE2"	"M3"
"IFI27"	"M4"
"PRKX"	"M5"
"IER3"	"M1"
"SERPINB1"	"M1"
"PITX1"	"M1"
"COL4A5"	"M5"
"H19"	"M2"
"PRSS23"	"M3"
"C1QC"	"M4"
"PHLDB2"	"M1"
"PYGL"	"M1"
"NUP210"	"M2"
"AQP3"	"M1"
"ASS1"	"M1"
"FERMT1"	"M1"
"C1QA"	"M4"
"MMP9"	"M3"
"PTPRZ1"	"M5"
"DUSP6"	"M3"
"CCDC80"	"M3"
"MAP1B"	"M2"
"PLAT"	"M1"
"EHF"	"M1"
"UGT1A6"	"M2"
"PTGR1"	"M2"
"CKB"	"M2"
"MT1X"	"M1"
"ATF5"	"M1"
"MALL"	"M1"
"C4A"	"M6"
"MMP1"	"M3"
"CLDN7"	"M1"
"PROM2"	"M1"
"AQP1"	"M6"
