"genes"	"modules"
"CYP4F3"	"M2"
"GSDMB"	"M3"
"AOAH"	"M4"
"MTL5"	"M1"
"PLEKHF1"	"M5"
"TMPRSS11D"	"M1"
"DMD"	"M2"
"ADSSL1"	"M1"
"RNF128"	"M1"
"CD2"	"M4"
"TNIK"	"M3"
"FCGR2B"	"M4"
"MOCOS"	"M1"
"NTM"	"M3"
"LPAR3"	"M1"
"MAOB"	"M3"
"GPR109B"	"M1"
"CMPK2"	"M4"
"CAPNS2"	"M1"
"ZNF714"	"M3"
"HLA-DRB6"	"M4"
"PKDCC"	"M4"
"SNCAIP"	"M4"
"STRA6"	"M3"
"KLHL29"	"M2"
"DPT"	"M3"
"KALRN"	"Not.Correlated"
"ACTG2"	"M3"
"CDHR1"	"M1"
"SLIT2"	"M3"
"ADAM28"	"M6"
"NFASC"	"M3"
"GSTO2"	"Not.Correlated"
"PRICKLE1"	"M3"
"SELL"	"M4"
"BIK"	"M1"
"PCDHB14"	"M4"
"IGSF10"	"M5"
"PLAC8"	"M5"
"BAALC"	"M5"
"PRKAA2"	"M2"
"LOC654433"	"M1"
"ADAMTS2"	"M3"
"BSPRY"	"M1"
"ZNF608"	"M2"
"CMAH"	"M6"
"UGT8"	"M2"
"BACH2"	"M3"
"SFTPD"	"M6"
"B3GNT3"	"M1"
"CYP4X1"	"M2"
"LIPH"	"M1"
"PRF1"	"M4"
"C7orf13"	"M1"
"ZNF528"	"M2"
"SEMA3A"	"M5"
"HSF4"	"M4"
"SHANK2"	"M5"
"DCLK1"	"M4"
"SLIT3"	"M3"
"SERTAD4"	"M5"
"ITM2A"	"M4"
"C21orf56"	"Not.Correlated"
"DHRS9"	"M1"
"SEPT3"	"M1"
"FBXO2"	"M5"
"SERPINF2"	"M6"
"MYB"	"M1"
"TRIM7"	"M1"
"ICA1"	"M1"
"TMEM45B"	"M1"
"OLR1"	"M4"
"C3orf14"	"Not.Correlated"
"HBB"	"M4"
"HPSE"	"M5"
"HDAC9"	"M2"
"RNF207"	"M2"
"HHEX"	"M2"
"TNFRSF25"	"M2"
"TNXB"	"M6"
"PRRX2"	"M1"
"PTPRD"	"M2"
"LIPG"	"M5"
"RPS28"	"Not.Correlated"
"C12orf34"	"M4"
"HSD17B1"	"M2"
"GPC6"	"M3"
"LPL"	"M4"
"GLT25D2"	"M2"
"AFF2"	"M5"
"FGFR4"	"M2"
"SFTPC"	"M6"
"REEP6"	"M1"
"SCGB3A2"	"M6"
"P2RY2"	"M1"
"DKK1"	"M1"
"SLC2A9"	"M1"
"GNG4"	"M1"
"ZNF675"	"M2"
"TMEM56"	"M2"
"IQCA1"	"Not.Correlated"
"METRN"	"M1"
"SULT2B1"	"M1"
"GRAMD1C"	"M3"
"PRKAR2B"	"M1"
"TMC5"	"M6"
"GAS1"	"M3"
"RIMKLA"	"M4"
"SLC6A15"	"M2"
"CGREF1"	"M2"
"FBXL7"	"M3"
"SYT17"	"Not.Correlated"
"DTNA"	"M1"
"PAQR5"	"M1"
"GDA"	"M5"
"OTX1"	"M5"
"AS3MT"	"M1"
"DMRT2"	"M5"
"ZNF607"	"M2"
"NRGN"	"M6"
"SRPX"	"M3"
"KCNN4"	"M5"
"PPM1L"	"M5"
"CELSR3"	"M4"
"EGR3"	"M3"
"CDH26"	"M1"
"TMEM125"	"M6"
"SEMA3D"	"Not.Correlated"
"MAPK10"	"M2"
"CENPV"	"M1"
"SOX6"	"M5"
"DPP4"	"M3"
"LRMP"	"M4"
"RTP4"	"M4"
"SCIN"	"M2"
"DMBT1"	"M6"
"CD8A"	"M4"
"DGKG"	"M2"
"ARSI"	"M3"
"SPIN4"	"M2"
"SLCO4C1"	"M5"
"PDE9A"	"Not.Correlated"
