,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.4503872138004,4.65710065028672,772.829357354382,4.36089301560827e-170,5.68834884955943e-166,down
SH2D3C,-2.76602663325007,5.32004086661298,665.227534887925,1.09013612466255e-146,7.10986780504916e-143,down
KANK3,-3.06838739853851,3.92903417757721,614.312048143206,1.2908479840793e-135,5.6126070347768e-132,down
GIMAP8,-2.8819095802954,4.98126355542649,594.482802194919,2.6536438144453e-131,8.65353247890612e-128,down
HSPA12B,-3.22168550538228,4.03195459006281,588.104509454971,6.4744940446697e-130,1.68906600637343e-126,down
LIMS2,-3.1064841312517,5.51159165730789,566.787835873695,2.80577052472236e-125,6.0997451207464e-122,down
S1PR1,-2.98113262080923,5.63287937216871,561.245832890847,4.504110135247e-124,8.39308751488028e-121,down
TEK,-3.54050442535989,4.80625784560574,559.263647059267,1.215628117836e-123,1.9820816461316e-120,down
LDB2,-2.92757564233389,4.88118697771843,554.818603470647,1.12656514274619e-122,1.63276841355348e-119,down
FGD5,-2.59393742225711,5.01274166457845,553.211651784299,2.51958508681054e-122,3.09113830927941e-119,down
PYCR1,3.84348707572569,7.31273221701422,553.143749727651,2.60675570393081e-122,3.09113830927941e-119,up
ACVRL1,-2.80421976120578,5.98191849908298,549.035447690283,2.04089083191106e-121,2.21844833428732e-118,down
SEMA3G,-3.49741050651615,4.49532738317791,521.143306363391,2.38671725663207e-115,2.3947953765776e-112,down
RAMP3,-3.35293912081788,5.12789820463982,516.692953092331,2.21839108079425e-114,2.06690666127715e-111,down
ROBO4,-3.16797061623096,5.5292501497497,512.884379188984,1.49506397518967e-113,1.30010763282494e-110,down
RTKN2,-4.28530632278713,6.23516037787243,511.120224141531,3.61814932583892e-113,2.94969623789018e-110,down
GIMAP6,-2.47350677587202,5.07701589623451,476.611383998707,1.16708995794577e-105,8.95501259496744e-103,down
FOXF1,-3.04207780353669,3.9650195299974,474.482068835804,3.3919348457747e-105,2.45802211823806e-102,down
CDH5,-2.80202682430701,6.41520442705954,469.973632669033,3.24718059508309e-104,2.22927493064546e-101,down
GPR146,-2.5271929469019,3.36622573555068,467.056853844725,1.40030641582353e-103,9.13279844400106e-101,down
STARD8,-2.53557170976882,3.9977864836792,462.02498092655,1.74269957733704e-102,1.08246539460878e-99,down
C10orf54,-1.94965450605303,6.0502222047513,456.397259107818,2.92359048838677e-101,1.73342337865987e-98,down
OTUD1,-2.00074906292936,4.97205840854816,456.074731328503,3.43641337206524e-101,1.94889460979213e-98,down
RAMP2,-2.91432512573403,4.77188731941956,447.098326579109,3.08748245749145e-99,1.6780467156466e-96,down
ARHGEF15,-2.84415591734833,4.23885768009252,445.522424825633,6.80096525824304e-99,3.54847163314089e-96,down
USHBP1,-2.90332689179966,2.00255941271854,445.058749221912,8.57988650007844e-99,4.30446305796243e-96,down
CLEC1A,-2.60653338228396,2.20691553664166,444.450163641403,1.16393850975905e-98,5.62311626714705e-96,down
C16orf59,4.14193521812033,3.03978562451121,440.656845847791,7.7891754547076e-98,3.62864302254307e-95,up
PNPLA6,-1.7114463942667,6.96034788933952,431.411147748186,8.01222275784082e-96,3.60384253976813e-93,down
