,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.42306618037794,4.57725164218302,810.299984720396,3.1094014521123e-178,4.05590325413528e-174,down
SH2D3C,-2.61174294490288,5.26907897159244,650.683884989186,1.58627975271693e-143,1.03457165472198e-139,down
KANK3,-2.98433272818003,3.86093214916835,642.784263359864,8.2871479037622e-142,3.60325190855581e-138,down
RTKN2,-4.45796763688001,6.13660442866015,600.705762094103,1.17568319579009e-132,3.83390290147147e-129,down
HSPA12B,-3.06646584848289,3.97521668115595,576.271194353854,2.4275955073456e-127,6.33311115956321e-124,down
LIMS2,-2.99929514806326,5.4409532866099,573.213915372002,1.12255370882127e-126,2.44043176297745e-123,down
GIMAP8,-2.69894325042494,4.93512591776624,569.175687991626,8.48451312689972e-126,1.58102841753257e-122,down
TEK,-3.35600452008132,4.73596686665015,562.096726829984,2.94111446999931e-124,4.79548714333388e-121,down
ACVRL1,-2.66832417615629,5.92550982308564,559.66064076686,9.96416951039086e-124,1.44414030103931e-120,down
RAMP3,-3.32565368949688,5.04466138920821,556.220401930652,5.58230610053521e-123,7.28156007753813e-120,down
S1PR1,-2.80002547707855,5.58308512980854,518.598796186071,8.53872678427951e-115,9.73904649489728e-112,down
LDB2,-2.69325509518039,4.82984656964377,518.502761275774,8.95956439272979e-115,9.73904649489728e-112,down
SEMA3G,-3.37311694170016,4.42509347852157,512.001405208696,2.32684714123812e-113,2.33472262387e-110,down
ROBO4,-2.99412461824364,5.46476277241852,510.709396532004,4.44498705306628e-113,4.1414579371569e-110,down
PYCR1,3.67239274737312,7.30327982833256,503.886630021338,1.356202460783e-111,1.1793536598969e-108,up
FGD5,-2.46689068959962,4.98447080579953,494.480366376402,1.50988678518084e-109,1.23093520161868e-106,down
RAMP2,-2.99568787966336,4.69966139041907,486.1922705231,9.60145853809347e-108,7.36714265711125e-105,down
PNPLA6,-1.78156407844054,6.92562771785565,475.413477114539,2.12701570220237e-105,1.54137737886265e-102,down
GIMAP6,-2.37374492391446,5.03593007163809,464.359317383596,5.41050903593729e-103,3.71445683498769e-100,down
CDH5,-2.64668208485598,6.36172621568454,452.83392974322,1.74332479607198e-100,1.13699643199814e-97,down
TRPV2,-2.31668736456604,4.90864725034822,452.394167599681,2.17310896151257e-100,1.34981110923666e-97,down
SPOCK2,-3.64558238676235,7.38433548860578,443.259267209791,2.11402412298866e-98,1.25342412092109e-95,down
USHBP1,-2.68931620477051,1.94300197463437,437.955811122657,3.01538540719549e-97,1.71011683701991e-94,down
CLEC1A,-2.4710634134744,2.15502969993654,437.517283059915,3.7565099611606e-97,2.04166316389079e-94,down
OTUD1,-1.95870800345244,4.94473864776709,428.588314924833,3.29717758175345e-95,1.72033537505568e-92,down
GPR146,-2.33125567953689,3.32659731705778,425.94690257486,1.23895051820056e-94,6.21571944592621e-92,down
CALCRL,-2.81074234679628,6.04490864120253,424.384405831481,2.71106625652113e-94,1.30974623148377e-91,down
STARD8,-2.4018896468064,3.97063337969406,421.53709338123,1.12948678110153e-93,5.26179484738872e-91,down
LYVE1,-3.58420071303592,4.09121333735379,418.107473086671,6.30056241642885e-93,2.8339495227551e-90,down
JAM2,-2.46654543861381,3.16286686635203,417.465301812749,8.692750855626e-93,3.77960807202619e-90,down
ARHGEF15,-2.60902895289145,4.18893079331834,415.952354259552,1.85555691032064e-92,7.80770462523303e-90,down
CD101,-3.04950610483538,2.9085769160914,415.758302003414,2.04509288386869e-92,8.33630986786973e-90,down
C10orf54,-1.88743172493019,6.03147786324898,410.303316017496,3.1484907582569e-91,1.24451252880918e-88,down
CAV1,-3.81011006770575,8.6416261469858,408.937036331634,6.24463535915604e-91,2.39573598896563e-88,down
CYYR1,-2.31883363476997,4.44257051267065,404.915647591089,4.68679627738244e-90,1.7467020183479e-87,down
FOXF1,-2.82395357349442,3.92337937098003,404.632181965435,5.40233090374735e-90,1.95744456412446e-87,down
HPS5,-1.35364171713646,5.34317196437419,397.412885508294,2.01428755257448e-88,7.10118022588691e-86,down
FEZ1,-2.32499954801579,3.38615852390623,394.681196612417,7.92119053905865e-88,2.71905287872318e-85,down
EDNRB,-3.44799036855301,5.63952782670906,389.641023494511,9.90893481288408e-87,3.31415758203231e-84,down
EMP2,-2.48076373565924,9.21552578983496,387.618623643814,2.73092515110508e-86,8.90554691775366e-84,down
MYCT1,-2.33883737783611,3.83083695087374,385.984568219874,6.19516799469902e-86,1.97097003226473e-83,down
DPEP2,-2.64732230636305,2.62547974315166,384.401122760572,1.37019371691525e-85,4.25543020081965e-83,down
TIE1,-2.2775769761745,5.05338070944632,384.304685577888,1.43806078637295e-85,4.36234067382529e-83,down
EPAS1,-2.44453564601955,9.53565675980574,383.633113998478,2.01365471231903e-85,5.96957092442942e-83,down
FGR,-2.51025262671335,4.74505861660803,382.993604916791,2.77468094509925e-85,8.04287516619437e-83,down
THSD1,-2.34352465067262,2.82680882722319,382.486290300398,3.57817321846126e-85,1.01464546655671e-82,down
PRX,-3.23057177281334,5.60395484053446,381.359313004603,6.29533458730851e-85,1.74715626291175e-82,down
