,logFC,t,P.Value,adj.P.Val,B,direction
ADAMTS8,-4.80963060240212,-13.8836806705245,1.06565662495256e-34,3.98286187898716e-33,67.9169154284142,down
TOX2,-2.2581079213242,-13.8606223998538,1.30361857497591e-34,4.83079565113231e-33,67.903137807169,down
P2RY14,-1.86946208246528,-13.8599568275901,1.3112232522285e-34,4.84521136035936e-33,67.8973016692847,down
GHR,-2.54224227104225,-13.8701806847302,1.19914006577921e-34,4.45629145812652e-33,67.8217922403544,down
MEF2A,-0.953678812072334,-13.8833553524785,1.06869185652063e-34,3.98286187898716e-33,67.8085721148649,no DE
BTNL9,-4.11697840328246,-13.8539091172263,1.38238388614007e-34,5.09373316689579e-33,67.7857492139624,down
PRKG2,-3.79217460177239,-13.8847420700531,1.05581341868697e-34,3.9574799521129e-33,67.734150415725,down
E2F3,1.56478844076517,13.8398168415632,1.56351321253515e-34,5.74492009698831e-33,67.5398225978108,up
SYNM,-1.98797984481191,-13.8125428064958,1.98405782656673e-34,7.26967704767878e-33,67.3905209148581,down
C1orf112,2.0180013856315,13.7843019510057,2.53875633068541e-34,9.25015016130183e-33,67.2328731948905,up
SRPX,-2.34946772985044,-13.7628633529596,3.06099407574318e-34,1.10910018677761e-32,67.0424321204322,down
B4GALT2,1.13645135039227,13.7913513255044,2.38726453492575e-34,8.72254302340938e-33,67.0084281148575,up
COX4I2,-2.7592187518151,-13.7500357558509,3.42339837084085e-34,1.23016000962116e-32,66.9282333249281,down
FAM189A2,-3.81210532394322,-13.7456885273195,3.55568691750356e-34,1.27069534662785e-32,66.8872171343909,down
STK10,-1.24622443285622,-13.7726519233426,2.81042935138827e-34,1.02114875931779e-32,66.8744343567721,down
ANGPTL1,-3.0553326606595,-13.7481043023776,3.48155613546108e-34,1.24762137997127e-32,66.7781635280064,down
KLF2,-2.33040895268907,-13.7508502734489,3.39916409812881e-34,1.22482587005503e-32,66.7707775457947,down
CCDC69,-2.07381092909116,-13.753253160289,3.32866412837769e-34,1.2027450108188e-32,66.7098899858871,down
FANCI,2.17344352106598,13.7232388889981,4.32449570170753e-34,1.53284570470307e-32,66.557121495165,up
