,TCGA-22-5482-11A-01R-1635-07,TCGA-22-4593-11A-01R-1820-07,TCGA-43-5670-11A-01R-2125-07,TCGA-77-7338-01A-11R-2045-07,TCGA-56-7823-11A-01R-2247-07,TCGA-33-4587-01A-11R-2125-07,TCGA-43-3394-01A-01R-0980-07,TCGA-56-7579-11A-01R-2045-07,TCGA-56-8082-11A-01R-2247-07,TCGA-77-7138-01A-41R-2045-07,TCGA-51-4079-01A-01R-1100-07,TCGA-43-7657-11A-01R-2125-07,TCGA-33-4587-11A-01R-2125-07,TCGA-77-7138-11A-01R-2045-07,TCGA-43-5670-01A-21R-2125-07,TCGA-22-5481-01A-31R-1949-07,TCGA-58-8386-11A-01R-2296-07,TCGA-77-7337-11A-01R-2045-07,TCGA-22-5472-01A-01R-1635-07,TCGA-39-5040-01A-21R-2125-07,TCGA-22-5491-11A-01R-1858-07,TCGA-51-4081-01A-01R-1100-07,TCGA-90-7767-01A-11R-2125-07,TCGA-56-8083-01A-11R-2247-07,TCGA-22-4593-01A-21R-1820-07,TCGA-51-4079-11A-01R-1758-07,TCGA-34-7107-01A-11R-1949-07,TCGA-77-7142-01A-11R-2045-07,TCGA-56-7222-11A-01R-2045-07,TCGA-56-7579-01A-11R-2045-07,TCGA-51-4080-01A-01R-1100-07,TCGA-22-5471-01A-01R-1635-07,TCGA-22-5483-11A-11R-1820-07,TCGA-34-7107-11A-01R-1949-07,TCGA-43-7658-01A-11R-2125-07,TCGA-56-7823-01B-11R-2247-07,TCGA-43-7658-11A-01R-2125-07,TCGA-43-6771-11A-01R-1820-07,TCGA-56-7222-01A-11R-2045-07,TCGA-58-8386-01A-11R-2296-07,TCGA-56-7582-11A-01R-2045-07,TCGA-51-4081-11A-01R-1758-07,TCGA-51-4080-11A-01R-1758-07,TCGA-22-5471-11A-01R-1635-07,TCGA-92-7340-01A-21R-2045-07,TCGA-43-6143-01A-11R-1820-07,TCGA-90-7767-11A-01R-2125-07,TCGA-39-5040-11A-01R-2125-07,TCGA-77-7338-11A-01R-2045-07,TCGA-22-5482-01A-01R-1635-07,TCGA-22-5472-11A-11R-1635-07,TCGA-43-6143-11A-01R-1820-07,TCGA-43-7657-01A-31R-2125-07,TCGA-56-7582-01A-11R-2045-07,TCGA-85-7710-11A-01R-2125-07,TCGA-56-8083-11A-01R-2247-07,TCGA-22-5491-01A-01R-1635-07,TCGA-22-5481-11A-01R-1949-07,TCGA-56-7730-01A-11R-2125-07,TCGA-77-7337-01A-21R-2045-07,TCGA-43-3394-11A-01R-1758-07,TCGA-56-7580-11A-01R-2045-07,TCGA-56-7730-11A-01R-2125-07,TCGA-43-6771-01A-11R-1820-07,TCGA-92-7340-11A-01R-2045-07,TCGA-56-8082-01A-11R-2247-07,TCGA-77-7142-11A-01R-2045-07,TCGA-22-5483-01A-01R-1820-07,TCGA-56-7580-01A-11R-2045-07,TCGA-85-7710-01A-11R-2125-07
A2ML1,-6.45116750060503,-6.45102348999862,-5.91823153156412,7.47703936183849,-3.46692801672006,2.96421943200896,6.93010477234634,-5.62068286324214,-1.46329715492704,6.20422340064651,3.47568821949854,-4.70264195280538,-4.82336453307254,-5.64054219257853,4.44394818215233,6.03566063951942,-2.30393044723785,-7.60069040735372,7.17862266512859,5.57947383871385,-3.01028649460501,6.00358288556872,4.87164265583403,0.179701049265173,3.75966775183111,-2.65077736575485,2.84657939194499,6.8731918353713,-4.15012145963429,5.67212726952081,3.42731670735375,8.73331119573917,-3.978766387775,-2.67814553107644,2.95040834250069,6.67361529218916,-4.70230952514656,-5.91859299440503,2.7013931248496,1.7926342558519,-4.93717010316181,-0.878179645655285,-3.08358624320235,-6.45105628615335,7.51073809906946,4.98911690988119,-5.8931207687837,-5.86287080981274,-3.68015214775884,4.81116325978559,-3.40465129442046,-3.26414022735063,-3.78544850516785,6.98442053606146,-4.84427009871665,-7.09111077322612,8.66022228533521,-4.40635487719041,6.18692776973608,6.65385890682,-1.8078371746808,-4.93695257680017,2.99738159204175,8.28957492441612,-5.87315444978932,6.34097915255068,-7.60056804197937,-2.88405732922215,4.45396504995892,5.44383734978074
AACS,4.33063702424703,5.53005144380643,4.55912334972382,6.93512245161819,4.71517177655711,6.24704471302768,5.99959730130828,4.60526680225249,4.44668438986078,5.06714017137699,6.2974871397938,4.58906384887823,4.57402501646731,4.64846168565107,5.55508041464153,6.51899827908562,4.93195082570436,4.65956868783754,5.34085291001902,5.17987173109707,4.8593173063407,5.80131060042235,5.18337007427232,6.11150609723684,5.98283732818451,4.98890965556384,5.74875329731502,5.6063732537466,5.18311672416714,5.92010130423661,5.13749259579463,5.75228609835555,5.32650802641105,4.8444175202771,6.4650863189763,5.70556186991917,4.7094444509931,4.68869086817147,4.87272093670412,5.61490248073317,4.64480029188964,4.35629511690101,4.94815028771083,4.96280944177894,6.23009954404949,7.7156433372265,4.90709624121671,4.98880764461963,4.9509474092643,6.27061082146996,4.9854325376136,4.98826714414107,5.7875635158069,6.3207181018775,4.93237663053403,4.58100281752969,5.71816480817504,4.75248803242397,4.55854774727391,6.46385511517812,4.7450883657381,5.20333574246976,5.03742944979035,5.8302646428308,4.355414948273,6.83388589144721,4.64757144010342,5.94003217877174,6.23934463859215,5.33112145156605
ABCA10,0.780232356614723,-0.643094858214871,2.42009355465069,-1.74075606058431,1.028770974441,-1.65423701424577,-2.38459986272079,1.11459393329001,1.28429399901449,0.227836092362093,-2.16748442408495,0.608499758764515,1.9155673975301,1.98995846825034,0.600288140209956,-0.4054371537788,1.51776274264735,1.47273595765892,-0.120916294197545,-1.43850895378694,1.75933732105025,0.679098934753511,-2.62603138442204,-1.14651046593968,-4.77391743034497,1.74663045163227,0.302557817668325,-1.68414297999506,1.31539767550343,-1.5748105740061,-0.61350957171704,0.240221644600626,1.06984115263536,-0.197447312468259,-0.741081669831207,-5.59226339806697,1.50874212929581,1.92663399541454,-0.84106042088063,-0.78772624883268,1.79981992585737,2.13499126946546,1.96105051010955,0.442672691900906,-0.869948784150793,-2.23778289033616,2.27041071948379,2.3125067841654,0.687844905171375,-0.083402974497258,0.819605408562801,2.76098520482026,-0.247189872644489,-0.446964494346678,0.836840639986573,2.20279502957806,-0.655410149785828,2.01804697218224,1.40984764822775,3.27282581996482,0.263592766580115,1.90929684421709,1.26845569753138,-2.72652103352806,1.08590614991169,1.22526098549037,1.48384300125161,-1.16993205922188,1.56022628031353,0.501442540655717
ABCA13,2.57666786256425,0.793028830316294,6.02643147130399,7.21207889840167,3.36783273741845,1.87921281435621,6.9361221331849,4.54769166683359,2.4533040774419,1.26773567578824,5.69606344756583,3.84130052416477,2.43147730648243,3.17583377709605,4.8314198280173,-1.92426700260778,2.28582896635254,0.646341468114775,7.67006038642833,5.33923842583226,-0.272835605944632,6.63724852333004,1.92776200548348,-2.38356221364042,5.52868874266344,-1.75853803561292,5.99371837006974,6.20097112384305,0.602612214439876,5.52023760301369,5.96934496913466,6.10008261249742,3.20469313979299,1.3706195790007,-0.39342384507297,6.50619216798927,4.785355830048,0.56202908747913,5.28356356543342,3.46137740806766,3.62002568420216,2.95418172047395,1.23936828641565,4.8776334325389,4.04405514442246,1.82953896851782,4.99690961100775,0.826296072315167,2.5676364130834,6.57484723201817,3.6282509663616,-1.34005517032404,6.42357924986963,6.28695908799422,2.76099690445435,1.01722906477019,5.8172313581093,2.80689727284949,6.19622379500325,4.36466103593396,3.81545278187612,-0.886144755184179,3.48718635490984,2.84627370350013,3.29548761026323,5.64880185502278,0.525880270161148,1.16915800785989,7.47816767596593,3.90946083736828
ABCA6,4.72108882171042,3.45384048457741,4.87414090274793,1.83730183880131,3.57586739235928,0.18389342344741,0.369653007606835,3.89928828352448,4.76056755519324,-0.0858724729006822,1.30803591671845,3.88255611571132,4.12344942738101,4.42039325519573,0.32638474616218,0.646179458398674,4.23763132785759,4.32284488060983,1.22444975653819,1.6489388905381,3.66534572987741,0.500741819887138,1.33479757175422,0.828173583949378,2.32810728088711,3.6849199643847,1.32018291928728,1.19409910376683,3.67578190741093,-0.0310802046811177,1.34509576779814,1.37661095525863,4.80563305435271,4.078728105243,0.327139180972073,-0.116437922474526,3.80328266283361,4.3375494180875,0.751806772242625,1.15649977545106,4.69933773071462,5.01746212159704,4.56195261178296,4.18118415646129,2.19420681236988,1.34238971043026,4.35683363584127,3.81137078967635,4.39141397670184,1.29870485553814,4.1450904975596,4.72144559683539,-0.122706406614889,1.60024081365842,4.60284815921867,5.20147341370773,-0.442358855112311,3.64978876363328,0.736791931922195,2.22111737602918,4.22769090135631,4.79077338735335,3.65110574039593,1.33048048563485,4.39556500626534,0.839122201801171,4.22133375823553,1.20714528362349,1.77473820281989,0.824672961471161
ABCC1,6.84227516735712,6.3209332173937,6.62860533002773,9.83893982633597,6.46488789562789,7.98536681426992,7.8714657532221,6.98787140990012,6.23605835270881,6.60743519389846,9.08765766476164,6.8746594512576,6.02098906675915,6.3380675395225,5.97880129879345,6.48676959940946,6.47005562158715,6.4825617530683,7.55336359834382,6.87125588448351,6.49507532542408,9.62669214132452,8.42719698009117,7.23938441809124,8.26227529195651,6.09991796920512,9.10206415679036,8.25576606058117,6.2383854513371,8.89588151649314,9.23353896893368,7.76028888425335,6.38490893244814,6.17733345136257,7.55234433393994,9.3605974577557,6.67124401131132,6.70137917124092,7.98557349583146,7.25719926093841,6.56324769834768,6.20631284759478,6.2525706849189,6.56173830006646,7.09857531561053,7.84645736471886,6.40922617691696,6.47555309029025,6.11835125698293,9.09118568666444,6.93936441420148,6.46316110467148,7.96664877683842,9.69801670033976,6.4490910652372,6.59650489879244,7.6373467851957,6.33568208716727,9.73170576437774,8.21113150974394,6.57913342908606,6.33805830081061,5.91183425565515,7.33624847542887,6.94576369787577,7.10807885509624,6.50803716532555,7.66700296078874,8.10158888750791,8.01180581426152
ABCC5,4.81954750381413,4.65775884126666,5.69696206649291,9.25412008216187,5.29993184574207,7.05955060502088,8.754384895158,5.20221384834233,4.59767075772962,6.46871535325036,7.66631353321657,5.4358514466996,5.19619807427061,5.23425260392551,6.08892400372681,5.67687407401143,5.4936318581634,4.47350328330858,8.40781667858533,6.73033541526303,4.40682527580587,9.19765882110599,6.56652920356755,7.20907547269204,7.22274629087717,4.27250222277244,9.58575349037309,9.72376728276596,4.4515659828117,8.74689260182236,8.62983881783616,8.63743891009283,4.52154356217479,4.6732746042263,6.75136609976802,7.9986931017844,5.14253919269045,4.51975011248867,6.00443815391825,7.49547132342019,5.87116374376758,5.66579798129517,4.39765288185425,4.71117182268177,7.82850078557619,8.40612375267749,5.71468430958565,5.45439614280234,4.16071067515276,9.10914401905527,5.15602171025744,5.19292517365139,9.58545226391485,9.21376944191005,5.47071067111438,4.40874581864653,9.76536066711378,4.92332606431541,9.47793970275312,7.58444542779703,5.00937150722216,5.21965302211169,5.18707469991404,6.25191384424031,5.04734213366859,9.48403056402729,4.76852795538974,6.72097758849915,7.77178711164589,7.7476867602429
ABCC9,5.84686960112639,5.16275393926531,5.21792520143651,3.91570887994275,5.03319627526971,2.82571477047264,2.79472435121965,4.89335535745231,5.33496462130706,2.20424059946882,2.90622630447571,5.45734450923527,5.06382862414061,5.03177668785977,2.59949216090614,2.29057056351378,4.55010069584517,5.19440249038785,4.30501676439268,3.05109667328051,5.25804218750023,3.58893498330897,2.38509214552599,4.09146577209789,3.77811905296575,5.87904936388975,3.30420526616415,2.31297453002882,4.67787557290667,3.24364008526327,1.46535065773327,1.9491232846554,5.78805814001786,5.25331386108068,0.944809260407213,2.16718431085546,4.84883913976389,5.86388734655826,3.18968017707437,3.87759834470123,6.3182927514895,5.63620020143442,5.22441885228015,5.14822003494941,3.86868602478792,2.47564188152954,5.33726411682384,4.88524631711448,5.15514421140754,2.14418941746752,5.46497413103317,5.6224900147631,4.44036857924491,2.33177748035929,4.62234457899752,5.35605966961545,1.03619451436905,5.08413425631436,2.30911554508165,4.95551928427054,4.88330968612427,5.29548281661837,4.84871061107401,2.82172756755093,5.05405565210496,2.68269126959817,5.58056121485312,3.25235156527513,2.56551461246074,3.37871939876184
ABCF3,5.45675297172571,5.42909069759369,5.5883754915458,6.94240163238651,5.22626207464398,6.51890650774549,6.48170218598197,5.34208970123071,5.16029000225801,6.88100485627457,6.74517838668482,5.40182534692506,5.30205885182353,5.44019317641334,5.92577836818418,5.61212277643314,5.35211930429435,5.35755507813966,6.21648785350538,6.41248450281902,5.51171084802512,6.49559174351275,6.29137031981482,6.21490511546409,6.38328932760646,5.29386766521025,7.14749629933463,6.69677580801903,5.43034811443118,7.40060528562647,5.86116011902272,6.70447474469423,5.48794126448366,5.12726435398826,5.97433261816098,6.66826959961878,5.71389111562053,5.37694167602781,5.91866797532876,6.19921223816027,5.50991692230464,5.50063567205587,5.49986357912068,5.50583178708645,6.29838026564641,6.94930561821478,5.51044555028888,5.27385853816497,5.27824342809315,6.94051889022496,5.40034818259437,5.39937471803312,7.12319867920693,6.55574713369748,5.48416146432609,5.53690202265311,7.38753830810506,5.5771231600136,7.33282995168986,6.37698571975673,5.46924521867073,5.34781183415479,5.42063857356346,5.99756780155268,5.588466340475,7.02808380526537,5.19622780316773,6.15726483628874,6.10376027831531,6.34307514549714
ABHD14A,3.66481126419393,3.96268978416559,3.90478535441423,2.1621622452352,3.89418419038478,2.47723030721249,2.4997446983692,3.84873754634884,3.91098311069654,2.94088812917487,3.09992714638072,4.07018378842676,4.55042309073964,3.95269960417587,2.62416147572782,2.689741587225,4.22971672152787,3.98720694216561,2.49414658876305,2.38632328213949,4.51083165845184,2.57515411015002,2.37569520666503,1.92399090791923,2.62309934379695,3.72828380002669,2.5505778401696,3.00354828362979,4.33612390418208,2.53976559971624,3.4762037747636,3.58289812655413,3.80928015210773,4.1411400634157,2.45312087533683,3.24602159440861,4.26304573926568,3.96828845734483,3.1457383613037,2.50052717887096,3.68931903561843,3.90849734572129,3.90283539131637,4.27068904805096,2.96760628679993,2.3725739448301,4.22232341205769,4.24006623348834,4.56982584679576,2.87294656044513,3.8375680924448,4.33253793697053,3.38860914293144,2.52745326846293,3.6611533684101,4.04777123636907,3.08584668811157,4.15963343017585,3.34608991169472,2.75157162884564,3.95567726536554,3.82361883285577,4.52076450121825,3.75242906903315,3.69533548604746,2.61879451244769,4.08509489911479,2.7380571810096,3.48782533262544,3.12139837587654
