,TCGA-44-6148-11A-01R-1858-07,TCGA-55-6984-11A-01R-1949-07,TCGA-44-5645-01A-01R-A278-07,TCGA-91-6847-11A-01R-1949-07,TCGA-91-6829-01A-21R-1858-07,TCGA-44-6148-01A-11R-1755-07,TCGA-55-6970-01A-11R-1949-07,TCGA-91-6831-01A-11R-1858-07,TCGA-91-6836-01A-21R-1858-07,TCGA-55-6972-11A-01R-1949-07,TCGA-38-4625-01A-01R-1206-07,TCGA-91-6836-11A-01R-1858-07,TCGA-50-5936-01A-11R-1628-07,TCGA-44-6146-01A-11R-A278-07,TCGA-91-6849-01A-11R-1949-07,TCGA-55-6984-01A-11R-1949-07,TCGA-44-6147-01A-11R-1755-07,TCGA-49-6761-11A-01R-1949-07,TCGA-44-2665-01B-06R-A277-07,TCGA-49-4512-01A-21R-1858-07,TCGA-55-6986-11A-01R-1949-07,TCGA-44-6146-11A-01R-1858-07,TCGA-44-5645-01B-04R-A277-07,TCGA-49-4490-01A-21R-1858-07,TCGA-50-5932-11A-01R-1755-07,TCGA-91-6849-11A-01R-1949-07,TCGA-73-4676-01A-01R-1755-07,TCGA-50-5935-11A-01R-1858-07,TCGA-44-6776-01A-11R-1858-07,TCGA-49-6742-11A-01R-1858-07,TCGA-44-6147-01A-11R-A278-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-6776-11A-01R-1858-07,TCGA-38-4625-11A-01R-1758-07,TCGA-50-5932-01A-11R-1755-07,TCGA-55-6986-01A-11R-1949-07,TCGA-91-6847-01A-11R-1949-07,TCGA-73-4676-11A-01R-1755-07,TCGA-44-2662-01B-02R-A277-07,TCGA-50-5936-11A-01R-1628-07,TCGA-91-6831-11A-02R-1858-07,TCGA-49-6761-01A-31R-1949-07,TCGA-49-4512-11A-01R-1858-07,TCGA-91-6829-11A-01R-1858-07,TCGA-44-5645-11A-01R-1628-07,TCGA-50-5931-11A-01R-1858-07,TCGA-49-6742-01A-11R-1858-07,TCGA-50-5935-01A-11R-1755-07,TCGA-44-6147-11A-01R-1858-07,TCGA-44-5645-01A-01R-1628-07,TCGA-49-4490-11A-01R-1858-07,TCGA-55-6968-11A-01R-1949-07,TCGA-55-6968-01A-11R-1949-07,TCGA-50-5931-01A-11R-1755-07,TCGA-44-6146-01A-11R-1755-07,TCGA-55-6970-11A-01R-1949-07,TCGA-55-6972-01A-11R-1949-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-6146-01B-04R-A277-07
ABCC2,-1.74128771834182,-2.05599251420679,-0.679241858503428,-0.537476257981238,-1.58450373318747,-1.76163565070919,5.79353748522069,-1.80988091880017,-1.80951208502269,-1.69775642068818,-0.358489103906423,-0.387316944244535,5.71681511865309,-3.34366505973348,-1.38452535875106,-0.142268199130037,-0.552391669789929,-1.1935978866403,0.221249945682539,-1.17724000066629,-1.92502433862771,-1.02056710854546,-0.815405016672449,-1.9092033634768,-5.16055292255548,-2.22925407438029,3.70146576106275,-2.00212781720914,1.30734501878536,-2.13204686556112,-0.968245270143188,-1.22761999000518,-0.836651164850379,-0.915723695158025,0.644143853145156,-3.60679867959188,-0.74894673601602,-3.84531583827025,-0.0277097300163022,-1.33221916538914,-1.8672218891173,-1.72446464186635,-4.01457057816201,-2.22918967420562,-0.670836377266089,-2.48709275619121,5.32858015008603,-1.3077861346138,-3.04698371191202,0.62587974399849,-2.1318392697847,-1.50392040585343,-0.102648677166255,-1.30561267921729,-0.551395353053134,-1.41685548232402,-0.796190624983683,-1.22795746547003,-1.31616039650217
ABCC3,4.74261080300096,5.34794274741054,6.51272452042058,5.43058984274708,6.94463308033861,6.42123308048256,7.65264711840969,4.6070990518706,6.54189354915588,4.86970613922428,6.2794100896474,5.62546281472594,8.22041623829725,8.198378907316,8.53348105999952,8.24863277052737,7.54394458298709,4.52190557538567,8.05372164232956,7.78467266701063,4.92580080316315,5.23213806574344,7.83378583473375,7.55689470450429,4.68760250386913,4.96191184490714,8.8912031275549,5.71229060459156,8.83069840100952,7.07084894022231,7.67161554675969,4.66810757510591,4.3596219497005,5.98371285844196,7.67077549352593,8.97075439267548,7.41768122140907,4.3802840409712,8.25537902343089,5.40372761767355,5.26135653076155,6.81024126149831,6.09820551395001,6.85158115228624,4.30436723322806,4.74680860632493,7.27998482050308,8.07821760550595,4.96724270739547,6.90103439557159,4.14557262739005,5.32980009614631,5.96334167606311,4.1450608583808,8.64903642893083,4.91549272159344,8.54129984009425,5.33420119720906,9.01772142767444
ABCG1,6.11364937346753,7.15556058329557,5.65161666913059,6.48586557636519,6.06464793066178,3.72990197442148,5.09927203838883,6.35056418424445,5.14247434660637,6.63289460416005,4.70532142143131,6.99114657930606,6.17364378322153,6.08246607865219,4.51375611502595,5.76133950369714,4.5817887099747,6.27856121371783,5.56892305718438,5.72710762000175,6.33252721312126,6.56491407901993,5.8765265156598,4.73394380007077,7.13308827996855,6.11956943582232,4.90253546424816,6.96205537465674,4.55950378399355,6.96791661516778,5.06622519978043,6.53773169756459,6.54295029581715,7.40084589227327,4.5080601669213,4.90989360568352,4.50275255564382,7.11390053893832,5.36622191654152,6.62018285940451,6.34629983288899,4.1608215006652,7.08972657742982,7.86362273947038,6.66256531120811,6.46207839113239,6.09199634294119,5.87140151101485,6.56314984569695,5.38853461054449,7.15092227753264,7.23147099322374,5.74200464774771,4.48761685648598,6.2292099044014,6.65802804706042,2.84796658259528,7.45361939132722,6.43326391172123
ABHD11,4.56013863765365,4.32773534253195,5.21896283404391,4.88119301898351,4.52679102519972,4.83364049571633,4.37347939921037,4.72804577805856,6.19522309748809,4.04891480443871,5.0919967777885,4.33748276528964,5.0926341886001,4.74860724515946,4.95960840769268,5.30005466250224,6.4897266103069,3.70336533164605,4.01779502401474,6.07804573944138,4.80283530565982,4.30450231587537,5.26994141539707,6.35808715398425,4.03983797372281,4.7483340063014,6.33237180724189,3.95128317054555,5.17898496082813,4.23853060881192,6.05268345247983,4.30163816915822,4.64687400212247,4.54252775598475,6.49196234757979,5.26252463536108,5.71531867267178,3.820005319706,5.25927271265641,3.56357066054786,3.71167647856543,5.57289118201312,4.66653331346678,4.72530980328397,4.2518256856947,4.24428716124279,4.82930771320823,6.18690185399271,4.59219801362251,5.44371676085526,4.17109748786902,4.24010116210641,4.82006639329611,5.45850901355649,4.79612928472411,3.80720226821442,6.92513395589479,4.35492992784908,4.32127615757024
ABTB2,1.76209069836906,2.490979365759,2.80880657649224,2.07425166480562,2.74262041295908,2.50198774107698,2.7810363291088,3.66540335132476,3.55769282218621,2.283217007396,4.61491444504966,2.61059466727404,2.39903450176251,3.98741778684524,2.18849741934618,4.09842484286386,3.12005823620932,1.39793756579461,3.63713771813031,3.19091311099466,2.07543237909589,3.16171941842751,4.31729364397472,4.02226309463193,2.97451054075906,2.15348287566084,3.91686125105779,2.51890618412767,2.97896144644785,2.85008791486372,3.47807458584525,2.63514639543863,1.9668079193187,1.82987482457457,4.48513022494086,3.23833854613138,5.15145497533598,2.14543974116394,3.86864730762453,2.37365999925047,2.50321150058485,4.78408532695267,1.71723318553819,2.23901232075808,2.23672472956393,2.24584029002664,3.02590033907028,4.35382225260659,3.38901472966834,2.77434726073774,2.25691630166443,1.59890973823326,4.66319177402108,2.01194280040548,3.83530267508967,2.21747846081986,1.69483104118914,1.40113936321368,4.78319669567357
ACP6,3.59409621261039,3.68218315152324,4.6720447352323,3.02616988983619,4.49392713785575,4.07403166184524,3.95478789753615,3.5391168042726,4.25294731474134,3.35253112490983,4.97170371216246,3.88296498429786,4.10436722575449,4.61998392690511,4.68362003907109,5.6836156119989,3.64896182532655,3.604516783534,3.62903478753774,5.33825694936898,3.16001432759041,3.10337456771864,4.64545831416818,4.1797842961718,3.01988271429144,3.41215028392331,5.67125973165201,3.29813337531335,5.02755749765259,3.86027238572362,3.7427897747082,3.20790284300215,3.58965778474489,3.38823364873427,3.95081380321896,5.12699699558927,4.82938308741681,3.12247491289626,5.5115516690877,3.6337668269992,2.45474795154265,4.3534206879843,3.32206185110832,4.19159516667252,4.37562015368385,3.5503809884146,5.09206680201532,4.86077811943452,2.58987497197364,4.96290024958182,2.40632797208812,3.59706460233687,3.41459150556831,4.83508833958193,4.83240231568931,3.01760012172838,5.26776430957882,2.9218198938389,4.94874479713536
ADAM28,3.32811465330799,2.13901744058163,4.72581809016251,2.47778425951995,6.03622768991453,5.5871990886377,3.88681296839437,3.62659090927126,3.07104764922757,1.71654358368441,3.51817445125994,1.64075063258284,6.84206020552794,7.44586521675987,5.41723463359949,6.82465040825002,4.43447484875566,1.03016817713475,4.38388639730216,3.20295496777686,3.53781186028291,1.29256827615307,4.64516116858573,4.89179710675126,1.09612352860518,2.30759749933054,5.49560583262832,3.21058090116776,2.81885260789778,3.51084393819115,4.02099008387567,1.0295414380419,0.875161878584746,3.01251141720805,3.64148847058452,5.80015912112112,1.82994032937706,1.51334896506202,4.21462736141917,0.976889906148801,1.09619580360792,2.29107690246237,2.99478045747106,3.35403348995152,1.23131788228799,2.01555030084612,5.43093229540358,4.34652147254704,0.579801908631631,4.65151058352698,2.53946243429255,2.79664972433145,3.65513750244575,2.85260682335944,7.56168088304822,2.59719007917304,0.395725636427867,1.63327549311107,6.44096429275328
ADAM8,3.59580307125078,3.62030790752481,7.00196096714909,3.22027848187236,6.2877457692321,4.21426526012864,5.96324484051914,6.52960348741468,6.43891733019221,4.82767898343996,7.4717072988887,4.42367850289077,6.6836504550979,7.30628484021986,4.65068376848536,6.66967714828424,5.93547668620071,4.46186509783701,6.79989280248827,6.26516051713894,4.45752910073222,4.53749356992947,6.77244250530027,7.75763665254702,4.23342270797359,3.42602630780382,4.56772923335921,4.02583944862383,4.44794275712256,3.52546529215248,6.50572335714717,4.55160319121528,3.3737900784953,3.2648530298578,6.73426996511082,6.50935199521632,8.82945169985247,5.13547855668709,7.79415984881933,4.48816510423843,4.72647348468278,5.22047994489241,4.85567532251839,4.2511693507718,3.76251251396214,3.52914610659264,4.22215378354878,6.23954028754922,4.87938717572363,6.58132262043257,4.8345618628779,4.7323176439862,5.6304114796147,3.09473604497388,7.10762675802841,5.52842683833552,3.915350842452,3.63478256026746,7.07450101775153
ADAMTS16,-1.13375454040854,-5.34200179735961,-0.62686022805379,-3.82734342843542,4.10018835481356,-3.08706307947393,1.32474218781322,1.53794058750528,-0.816131168368449,-0.806558610964091,2.82751325944656,-2.54050540826731,0.440628173207327,-1.15900985885191,2.05787563534432,1.325659485743,2.57064923688608,-2.96824005366397,1.36267971909356,2.59978016354577,-3.64938028589507,-1.60346776740355,-0.755101273854089,1.70739421386275,0.709835836580081,0.0866909416549757,2.68887058941359,0.977548593412205,-0.403711466877531,-0.920152759283321,3.21633616544785,2.80460251560221,-3.12849137095831,-3.89484714841601,3.23533266015635,1.32456623639639,1.49891755712548,-3.94936294397359,4.10607530648935,-5.8656245833563,-1.64807475194957,0.183746603408572,-0.155568646067692,-3.82733944043262,-0.422735236459557,-3.62676170972609,-2.91240155273798,0.675593163845477,-1.2708402043661,-1.15990693514801,0.912081314405054,0.134555665276433,1.13682370276007,1.86069089835421,-0.826675368454395,-5.34191995989931,-0.0402474117286986,1.78457258850555,2.05973679376207
ADCY8,1.35422847443093,0.229989425884121,-5.94506518258968,1.8479937082419,-5.58612499301577,1.45007168046391,-0.577099629971952,-5.58587740180719,-5.5855671244598,0.922966031219774,-4.04708825002486,0.945234512019037,-6.11591921185984,-5.94454058971847,-5.58659906439734,-5.88912679850175,-5.9454979562234,0.991197350935547,-5.94329063362314,-6.25223626791651,0.230390106603833,1.36697818461497,-5.94366991196292,-6.25175537003285,2.7135642773995,2.91301439606577,-4.74446156777269,1.98227653941698,-5.94542265718225,1.38241920059104,-5.94527212819068,2.64226334529017,2.5637880130418,-0.460010813256276,-6.1164660919588,-3.23379322736419,-0.967075838463346,0.985389096781525,0.663368194874218,2.77689318172773,2.08587322476562,1.44698400771488,0.614698912135833,-2.25949107945575,2.20113059723997,4.15835091971356,-3.05662378469905,-6.11572146232359,1.88849132123701,-5.94544544280969,1.60915975224667,0.82595268594749,-5.88488418631441,-6.11206808664453,-3.04753663959523,2.84785712794277,-5.8882152211216,1.0795650851616,-5.94381189726925
