,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.38920420123195,4.57725163596607,967.698591306668,1.88600654069122e-212,2.46010693167763e-208,down
SH2D3C,-2.66398321382065,5.26907896808569,761.317465700981,1.38867753415237e-167,9.05695487774176e-164,down
KANK3,-3.08125923122372,3.86093214058676,745.618698932079,3.59797274539541e-164,1.56439854969792e-160,down
GIMAP8,-2.72480077460825,4.93512591372204,696.250895196564,1.95422578240998e-153,6.37273027643895e-150,down
LIMS2,-3.10894674501904,5.44095328312884,694.857174469224,3.92691243664413e-153,1.02445291647172e-149,down
TEK,-3.47180294131749,4.7359668606203,664.461233583434,1.60003868370677e-146,3.47848409837853e-143,down
HSPA12B,-3.11178224541792,3.9752166735355,661.436997190132,7.27482729622883e-146,1.35561210360013e-142,down
ACVRL1,-2.73144938727919,5.92550982104144,659.845460459585,1.61414316252617e-145,2.63186042649892e-142,down
RAMP3,-3.41564906069683,5.04466138464965,638.563350586174,6.86105411538616e-141,9.94395443123301e-138,down
S1PR1,-2.89432586859951,5.58308512705281,631.62452959594,2.21565310400439e-139,2.89009790886332e-136,down
RTKN2,-4.34639219804706,6.13660442654945,630.923931428291,3.14684216480224e-139,3.73158265433459e-136,down
SEMA3G,-3.47661153465117,4.42509347315907,630.181789662619,4.56334988891711e-139,4.9603613292529e-136,down
LDB2,-2.83228575725902,4.82984656464396,619.71656203422,8.61794864490744e-137,8.64711708647482e-134,down
ROBO4,-3.1068599563644,5.4647627689714,618.219220762175,1.82419408724776e-136,1.69962769100427e-133,down
FGD5,-2.4351511527767,4.98447080190684,567.453139945174,2.01061701908132e-125,1.74843255979312e-122,down
GIMAP6,-2.34125556331714,5.03593006849044,560.03735392212,8.25074732796005e-124,6.72642175911943e-121,down
RAMP2,-2.99988604492044,4.69966138718348,552.010406814964,4.5988198101736e-122,3.52864738846497e-119,down
CDH5,-2.74826373219668,6.36172621400605,551.518916520572,5.8825399634549e-122,4.26288062685031e-119,down
PYCR1,3.77003612678727,7.30327982899356,545.825714710087,1.01876266863334e-120,6.99407381560698e-118,up
USHBP1,-2.86322250562684,1.94300194032262,520.685888446145,3.00135913356142e-115,1.95748642690876e-112,down
CLEC1A,-2.56557288413023,2.15502967267768,515.072962401663,4.99452157632154e-114,3.10231140197801e-111,down
CALCRL,-2.92437798190674,6.04490863892606,514.850695858904,5.58279684209847e-114,3.31009100037875e-111,down
SPOCK2,-3.59294283803242,7.38433548788674,514.47541009647,6.73754724619657e-114,3.82106809910383e-111,down
ARHGEF15,-2.74484926342403,4.1889307854349,510.695213322092,4.47668310271208e-113,2.43307726632402e-110,down
FGR,-2.37053362087844,4.74505861087866,503.649175569757,1.52752757373365e-111,7.97002786871267e-109,down
STARD8,-2.37034554052875,3.97063337317997,501.75327752105,3.94906077367783e-111,1.9812134127636e-108,down
GPR146,-2.4558781751818,3.32659730666514,500.682024673508,6.75422762781647e-111,3.26304241397178e-108,down
OTUD1,-1.98477764159323,4.94473864627445,497.274965048594,3.72294060859526e-110,1.73435847494702e-107,down
JAM2,-2.58107126598087,3.16286685224305,494.994893741039,1.16678612787911e-109,5.24812353519142e-107,down
EPAS1,-2.66545306073028,9.5356567596554,493.047439761156,3.09548062618163e-109,1.34591497626377e-106,down
CYYR1,-2.42734408157915,4.44257050596383,490.783092145389,9.62543713691295e-109,4.05013554883524e-106,down
PRX,-3.51906119363238,5.60395483738751,487.343325851391,5.39358247725588e-108,2.19855905729143e-105,down
EDNRB,-3.65403618253045,5.6395278233812,478.472388888088,4.59356142223617e-106,1.81570955126208e-103,down
TRPV2,-2.07100149529353,4.9086472470929,477.602142745536,7.10419292889522e-106,2.72550272248557e-103,down
MYCT1,-2.4971751848839,3.83083694128554,476.018615598218,1.57069358205084e-105,5.85375059550605e-103,down
EMP2,-2.69605112928592,9.21552578954966,474.478827502968,3.39744805375625e-105,1.23100867814435e-102,down
DPEP2,-2.6268048207302,2.62547971559638,474.323973148955,3.67155134926258e-105,1.29437069729138e-102,down
FOXF1,-2.90085246671351,3.92337936192964,474.051708368647,4.20818972420708e-105,1.4445164937515e-102,down
PNPLA6,-1.67448978150761,6.92562771740762,472.263306770423,1.03100104929117e-104,3.44830197101385e-102,down
FAM107A,-4.49459479107832,5.77155181479338,469.780002782308,3.57801160824264e-104,1.16678958544793e-101,down
LYVE1,-3.56953838063806,4.09121332852828,467.424346830124,1.16480418944109e-103,3.7057819139194e-101,down
CAV1,-3.84827299833173,8.64162614660985,462.975242016922,1.08250947388374e-102,3.36196513746177e-100,down
TIE1,-2.31896214627237,5.05338070555199,461.845946082146,1.90626488905211e-102,5.78263237506877e-100,down
CD101,-2.86750037620417,2.90857689484022,460.97636948488,2.94724940780475e-102,8.73725483531934e-100,down
GIMAP4,-1.86938358984048,5.29942496545911,460.884209592812,3.08654338694715e-102,8.94686043096414e-100,down
TAL1,-2.85194973767684,2.39525909228629,447.003391600777,3.23791375197035e-99,9.18159716971766e-97,down
C10orf54,-1.83416996614592,6.03147786231527,446.440690781092,4.29266027239934e-99,1.19135022538674e-96,down
CLEC14A,-2.45655410242875,5.27600369759007,445.442340249459,7.0794507434341e-99,1.92384073952822e-96,down
THSD1,-2.40496797385964,2.82680881246657,440.651349302414,7.81066017043849e-98,2.07922961761632e-95,down
FEZ1,-2.32248244628908,3.38615851498586,439.866950687482,1.15718524051192e-97,3.01886485544751e-95,down
GPIHBP1,-4.36549232647308,4.03374799140884,434.976596541012,1.34198153814576e-96,3.43231513403399e-94,down
DOK2,-2.23135512298433,4.87577690291975,428.115210369996,4.17940457931754e-95,1.04838756408881e-92,down
ECSCR,-2.53376538660328,2.49006368538187,426.564086774569,9.09329251290019e-95,2.23797938751453e-92,down
CLEC3B,-4.2162697827746,6.01866316472066,421.022862119355,1.46153381278813e-93,3.53041612111267e-91,down
AGER,-5.63181072521595,8.62895090407737,417.268558291171,9.59359591897709e-93,2.27525209394795e-90,down
GIMAP7,-2.24244854663844,4.1863097762814,416.204723530591,1.63509091126237e-92,3.80859390116184e-90,down
PTPN21,-2.42840428337407,5.2562330978852,409.718719614657,4.22040410379799e-91,9.65806160174404e-89,down
PTRF,-2.23114280664287,8.23465838463709,406.735334320516,1.88263961408379e-90,4.23399157346707e-88,down
ERG,-2.17017799584978,4.72243331957309,405.839904188423,2.94906011775819e-90,6.51992206373523e-88,down
CASKIN2,-1.73903662965735,6.12603407951887,404.775982007884,5.02664968027801e-90,1.09279364049244e-87,down
MS4A7,-2.28100855831986,5.69359443352862,403.976763491551,7.50332560377538e-90,1.60448162583026e-87,down
PDLIM2,-2.02006543386796,5.4268509469329,403.322380983629,1.0416011663815e-89,2.19139445391617e-87,down
NLRC4,-2.25505723961366,2.63422295379885,403.152773187091,1.13402390766172e-89,2.34796950024436e-87,down
HPS5,-1.29374659167983,5.34317196415941,402.362492437252,1.68520789782929e-89,3.43466434676332e-87,down
GRK5,-2.71734575980299,5.06405925712315,399.416402965538,7.37864505000516e-89,1.4807237851118e-86,down
