,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.36366880528843,4.5772516431352,694.523755204082,4.64040849944108e-153,6.05294884667095e-149,down
KANK3,-3.10964697348491,3.86093215048268,578.779707213051,6.9106631592603e-128,4.50713451246957e-124,down
SH2D3C,-2.65167257331203,5.26907897212954,566.216351959761,3.73565356385372e-125,1.6242621695636e-121,down
RTKN2,-4.57505289943484,6.13660442898343,535.372459741795,1.91492640028683e-118,6.24457499133536e-115,down
HSPA12B,-3.24185105019822,3.97521668232308,525.500774285827,2.69021867539081e-116,7.01824248035955e-113,down
SEMA3G,-3.71109108442998,4.42509347934288,522.955561573507,9.62772781863155e-116,2.0930680277705e-112,down
GIMAP8,-2.71196955477324,4.93512591838566,491.068871210639,8.34139005665434e-109,1.55435845569999e-105,down
TEK,-3.4992915138836,4.73596686757368,488.112690248681,3.66835046590492e-108,5.98124543465797e-105,down
PYCR1,3.60144951118041,7.30327982823132,485.988519096412,1.0633394352448e-107,1.54113328814813e-104,up
LIMS2,-3.03002276586279,5.44095328714306,484.479386243005,2.26489750671916e-107,2.95433230776448e-104,down
ACVRL1,-2.74135550245933,5.92550982339873,475.539887676875,1.99647327269665e-105,2.36745430627774e-102,down
S1PR1,-2.95371123067699,5.58308513023062,473.786569375928,4.80607440702327e-105,5.22420288043429e-102,down
ROBO4,-3.14390037506833,5.46476277294649,463.895707027739,6.82536399048278e-103,6.84846522245057e-100,down
LDB2,-2.82929893067128,4.82984657040954,457.333942119968,1.8284165047267e-101,1.70356177768965e-98,down
CDH5,-2.8815946468623,6.36172621594162,449.03144551311,1.1719263954506e-99,1.01910719348384e-96,down
LYVE1,-4.00365591994473,4.09121333870548,448.290972073069,1.69843488652142e-99,1.38464904123659e-96,down
EPAS1,-2.83981819101165,9.53565675982877,439.57026356158,1.34268312687699e-97,1.03023286511667e-94,down
RAMP3,-3.27940088982093,5.0446613899064,433.459268387112,2.87068477913195e-96,2.08028956994429e-93,down
FGD5,-2.45961148414043,4.98447080639574,422.544718952384,6.81650923287235e-94,4.67971297018879e-91,down
SPOCK2,-3.71892685136083,7.38433548871591,419.9463528218,2.50682034356914e-93,1.6349482280758e-90,down
USHBP1,-2.84396245928836,1.94300197988869,403.959943427434,7.56685166684697e-90,4.70009586392152e-87,down
ARHGEF15,-2.83630528869354,4.18893079452576,401.775917070946,2.26121545939023e-89,1.34069520237664e-86,down
RAMP2,-2.98325174013804,4.69966139091464,400.142803666961,5.1268203949964e-89,2.90757587966665e-86,down
GRK5,-3.01504163816582,5.06405925911142,392.608837862427,2.23838553909444e-87,1.21656254049783e-84,down
OTUD1,-1.97807025885178,4.94473864799571,386.829232989806,4.05661896402401e-86,2.11658151066917e-83,down
PNPLA6,-1.70285930136393,6.92562771792427,385.185742297931,9.24620457535286e-86,4.63874971080395e-83,down
TIE1,-2.42691479492577,5.05338071004278,379.168410836335,1.888042590639e-84,9.12134353788706e-82,down
JAM2,-2.53480544588034,3.16286686851284,377.927457973571,3.51713805819669e-84,1.63848388682563e-81,down
GIMAP6,-2.28664932648022,5.03593007212019,377.154495973425,5.18177123382727e-84,2.33072496462217e-81,down
TAL1,-3.03121076385437,2.39525910735995,376.05726843379,8.98188527785699e-84,3.90532371881222e-81,down
FOXF1,-2.9749456797664,3.92337937236616,374.955955018505,1.56008474913727e-83,6.56443402185373e-81,down
GPR146,-2.38320315943811,3.32659731864944,369.81834065895,2.04996761682659e-82,8.35618049808937e-80,down
CLEC1A,-2.47316386138537,2.15502970411092,369.401365742355,2.52659492638829e-82,9.98694067266935e-80,down
STARD8,-2.42235748309801,3.97063338069174,369.2708139299,2.69749676179905e-82,1.0348866988502e-79,down
CAV1,-3.90015019566677,8.64162614704338,367.349818484466,7.06685697206434e-82,2.63371663838878e-79,down
CALCRL,-2.90636831396902,6.0449086415512,367.043890390463,8.23830157685387e-82,2.98501127134672e-79,down
THSD1,-2.47340391145421,2.82680882948315,366.670707256158,9.93328914561795e-82,3.50188712474164e-79,down
EDNRB,-3.68596475704049,5.63952782721876,362.813046504598,6.87159732776541e-81,2.35876619850979e-78,down
CYYR1,-2.37800130059472,4.44257051369786,356.605908957398,1.54399938581805e-79,5.16408409964376e-77,down
C10orf54,-1.8758717687418,6.03147786339198,353.556109984202,7.12454755217996e-79,2.32331495676589e-76,down
MYCT1,-2.47246085399913,3.83083695234224,353.501761546225,7.32136567702085e-79,2.32926570466e-76,down
