genes modules
108 EGR1 M1
109 LTBP2 M1
110 SELENBP1 M1
111 HLA-DQB1 M2
112 GLS M4
113 S100A16 Not.Correlated
114 EVPL M1
115 CBR1 M4
116 MUC5B M1
117 SORL1 M4
118 GPX3 M1
119 DDIT4 Not.Correlated
120 TMC5 M1
121 TNC M3
122 BTG2 M1
123 CYR61 M3
124 COL5A2 M3
125 DRAM1 M1
126 MAOA M1
127 ASS1 M1
128 IFI6 M2
129 TFPI M1
130 ITGB6 M1
131 NEDD9 M1
132 SIK1 M4
133 NNMT M4
134 HLA-DMA M2
135 RHOBTB2 M1
136 S100A14 M1
137 IFI27 M2
138 PFKP M1
139 IGFBP2 Not.Correlated
140 NKX2-1 M1
141 CYBRD1 M1
142 HLA-DQA1 M2
143 THBS2 M3
144 SLC2A1 M1
145 GPC4 M1
146 S100A4 M1
147 TOP2A M1
148 CKB M1
149 SFTA3 M1
150 MSLN M1
151 SLC38A1 M1
152 PER1 M1
153 CLDN3 Not.Correlated
154 SLC44A4 M1
155 NR4A1 M1
156 SLC7A5 M1
157 TNFSF10 M2
158 C2 M1
159 CPE M2
160 RDH10 M2
161 SULF1 M3
162 F3 M1
163 TACC2 M4
164 ATHL1 M1
165 EMB M1
166 C4BPA M1
167 CFH M1
168 HLA-DRB5 M2
169 ALDH3B1 M1
170 FKBP10 M1
171 FBLN1 M1
172 DST M3
173 CLIC6 M1
174 CIT M1
175 FKBP5 Not.Correlated
176 TMEM176B M4
177 BST2 M2
178 SUSD2 M1
179 MX1 M2
180 SEZ6L2 M2
181 SEC11C Not.Correlated
182 PXDN M3
183 FOXA1 M1
184 EFEMP1 M1
185 GJA1 M3
186 CAV1 M1
187 TNFAIP2 M2
188 OBSL1 M1
189 GPRC5C M1
190 PLOD2 M1
191 PFN2 M1
192 FSCN1 M1
193 TMPRSS2 M1
194 C16orf89 M1
195 ZNF117 M1
196 PHLDA1 M3
197 ST3GAL1 M1
198 CADM1 M1
199 IER3 M3
200 DCBLD2 M3
201 SERPINF1 M3
202 DPP4 M1
203 IFT57 M1
204 RAP1GAP M1
205 ATP2A3 M2
206 SRXN1 M4
207 EHF M1
208 SFTA2 M1
209 ISG15 M2
210 AKR1C3 M4
211 MXRA5 M3
212 FADS2 M1
213 ST3GAL5 M1
214 LMO3 M1
215 C19orf21 M4
216 C1orf106 M1
217 PLAU M3
218 SYNE1 M1
219 S100A9 Not.Correlated
220 GDF15 M1
221 TSPAN1 M1
222 PTPRU M1
223 WLS M2
224 LAMP3 M1
225 FOLR1 M1
226 ALDH1A1 M4
227 OAS1 M2
