,logFC,t,P.Value,adj.P.Val,B,direction
LDB2,-3.76452921912502,-31.9707000189246,2.71229195094472e-104,5.79985839477424e-102,227.604983914435,down
AURKB,5.19903329630858,31.9603220456566,2.94596055941688e-104,6.19792089306997e-102,227.522547298781,up
BUB1,3.97511005486322,31.9012930092226,4.71498992544098e-104,9.76227437896066e-102,227.053395708922,up
SH2D3C,-3.52299329044955,-31.8686812539618,6.11513916695804e-104,1.24634180146564e-101,226.7940146783,down
ACVRL1,-3.58188971508511,-31.8215013191394,8.91005158196013e-104,1.78804173592443e-101,226.418526042594,down
KIF20A,4.61722993110513,31.7596101390201,1.46053258758329e-103,2.8865434958237e-101,225.925528868398,up
HELLS,4.36455935783495,31.6436734608364,3.69086197937766e-103,7.18561248641825e-101,225.000726014915,up
FAM83B,7.39799438182216,31.5949411673724,5.45231185371691e-103,1.04588170323358e-100,224.611491211141,up
TRIP13,4.5532234830591,31.5524497669261,7.66369724428145e-103,1.44877198339721e-100,224.271858622782,up
MELK,5.2013680789017,31.5048008469287,1.12294838488948e-102,2.09253410464262e-100,223.890730582477,up
RECQL4,4.29422616490975,31.3262897720968,4.71048901798538e-102,8.65139703288079e-100,222.460327220606,up
RAD51,4.02523078730473,31.3245887893806,4.77538014694432e-102,8.65139703288079e-100,222.446677928381,up
NDC80,4.58983583817475,31.2489464694748,8.77818665355788e-102,1.56852968094533e-99,221.839327281514,up
CDT1,4.33087758933115,31.2176429839756,1.12956938107716e-101,1.99109500091492e-99,221.587772435135,up
ROBO4,-3.9603422777125,-30.9846979184304,7.40449819664504e-101,1.28779032636051e-98,219.711937766915,down
CDCA2,4.74462323745281,30.980772540553,7.64330644553713e-101,1.31183275362614e-98,219.680269203416,up
GABRA3,8.51008308922035,30.9325369727465,1.1291446795253e-100,1.91280041554909e-98,219.290962863799,up
CENPI,4.48262385345533,30.8476958357755,2.24457157460229e-100,3.7536143101426e-98,218.605502741653,up
ARHGEF15,-3.78534181191027,-30.6342162982621,1.26960401634939e-99,2.09629301129892e-97,216.876713215775,down
OIP5,4.44838815812402,30.6156636353676,1.47633603983455e-99,2.39898126440419e-97,216.726199615211,up
NUSAP1,3.78341260006249,30.6145549343233,1.48970777688393e-99,2.39898126440419e-97,216.717203598499,up
ESAM,-3.4276169801351,-30.6029576386327,1.63706536275352e-99,2.60413177948255e-97,216.623093686254,down
CCNF,3.08190081541962,30.4274539159737,6.83734392912256e-99,1.07453390616235e-96,215.196845585558,up
SGOL1,4.46742256922276,30.2810375110279,2.25993777393296e-98,3.50936051466446e-96,214.004012556679,up
RAD51AP1,3.79305901167041,30.2393002005056,3.17917767249813e-98,4.87872865412536e-96,213.663491106878,up
CDH5,-3.83591878996498,-30.1192178616748,8.49728868470329e-98,1.28834508628251e-95,212.68255691871,down
SERPINB5,8.43262800161777,30.1178521877997,8.59291800878396e-98,1.28834508628251e-95,212.671390525444,up
SPC25,4.36333721132973,30.1036422079264,9.65425001624184e-98,1.43102315013476e-95,212.555189142547,up
CEP55,4.58938442888354,30.0806135295555,1.16602596832337e-97,1.70894862143933e-95,212.366819492523,up
CLEC3B,-5.55662693556962,-30.0778579076944,1.19267212436436e-97,1.72857946557875e-95,212.344274638764,down
TOP2A,4.91659382495558,29.9894024014347,2.464518424299e-97,3.53265695896221e-95,211.620078440043,up
GINS2,4.24346821162169,29.944024890347,3.57766038548953e-97,5.07250022481798e-95,211.248186402507,up
CENPE,3.9698287445309,29.9313810974112,3.96936367716209e-97,5.56176548836042e-95,211.144518048861,up
IQGAP3,4.45804115252906,29.9302018400267,4.00801867453143e-97,5.56176548836042e-95,211.13484811956,up
CDK1,3.6627834164859,29.909019253048,4.7702875378442e-97,6.54985585722524e-95,210.961120897685,up
TEK,-4.49918564567806,-29.8013016437419,1.15727384185561e-96,1.57244583262131e-94,210.076814541602,down
CHEK1,3.17519987124438,29.7931480679805,1.23764373210413e-96,1.66431183933672e-94,210.009818739487,up
FAM64A,4.7692364793886,29.7550982545014,1.69324617023583e-96,2.25374520862818e-94,209.697063404291,up
ZWINT,3.58641878448263,29.6851007221741,3.0153848466383e-96,3.97299797369191e-94,209.121236858528,up
DLC1,-4.31434665593084,-29.6171741137582,5.2820598313916e-96,6.8899188440672e-94,208.561861217117,down
PBK,4.96504834385662,29.6158084041613,5.34196212547131e-96,6.89906474897503e-94,208.550608689273,up
STARD8,-3.37201506526788,-29.3040467534633,7.05210215281526e-95,9.01839416483552e-93,205.975817004042,down
S1PR1,-4.02265091723862,-29.2736433184708,9.07574917550886e-95,1.14935992471202e-92,205.724072197236,down
ARHGAP11A,3.45261221049767,29.263868873303,9.84275969685304e-95,1.23450920659376e-92,205.643113985355,up
KLF2,-3.77058978937094,-29.1505643733688,2.52304450732425e-94,3.13434214795596e-92,204.703787715918,down
PVRL1,4.72485372700946,29.1156149297743,3.3741394566762e-94,4.15210142197022e-92,204.413725516649,up
RFC4,3.60829228163114,29.0858172155543,4.32359146406743e-94,5.27074084647622e-92,204.166300408565,up
MCM4,3.24286794595723,29.0278595770663,7.00527877152175e-94,8.46082002738238e-92,203.684734533597,up
CASC5,4.08142204937466,28.9939216663032,9.2946232944203e-94,1.11228501149008e-91,203.402553811428,up
KIF15,4.32609754703918,28.9865525422536,9.88338121200104e-94,1.17198931390311e-91,203.341263537507,up
SCARF1,-2.88387611643752,-28.9847066194718,1.0036623245139e-93,1.17943886134769e-91,203.325909627721,down
PERP,3.55870842479368,28.8987717137154,2.05525513942469e-93,2.39363821773711e-91,202.610658931371,up
MYCT1,-3.42521252132831,-28.8782803975591,2.43864575683509e-93,2.81501727895194e-91,202.439971530641,down
INMT,-5.63576562044127,-28.8587956393755,2.86948263210788e-93,3.28329223273818e-91,202.277620415245,down
BRIP1,4.29991185894624,28.8337758948454,3.53637999772322e-93,4.01117745133058e-91,202.069081915464,up
NOSTRIN,-4.56035862180976,-28.7807806841855,5.50682373448487e-93,6.19232834419144e-91,201.62711413002,down
IGSF9,5.38203616522769,28.6491264475694,1.65721014964328e-92,1.84757685401256e-90,200.527651030116,up
RAMP2,-3.49579401067197,-28.6396639362923,1.79392000616159e-92,1.98304174240439e-90,200.448546122948,down
B4GALNT4,7.04654398733592,28.472570462998,7.28596670695048e-92,7.98639913659345e-90,199.049863439441,up
FAM83D,4.43769378540739,28.4685453450118,7.53647107389158e-92,8.19214405732014e-90,199.016128314334,up
XRCC2,4.23445354468172,28.4047155245772,1.28851588727548e-91,1.38904142426622e-89,198.48089578049,up
FANCI,3.25182876451256,28.1996918472303,7.23932693254274e-91,7.74014594328587e-89,196.758342377316,up
PTPRB,-4.05334981152257,-28.1764068622198,8.80993925487025e-91,9.3428331415063e-89,196.562384203815,down
WDHD1,3.03682178978032,28.1412354764702,1.18531097748152e-90,1.24687067663459e-88,196.266269237897,up
SNRK,-1.78056607101775,-28.1243090110415,1.36731924886813e-90,1.42682498257887e-88,196.123708316338,down
GPR116,-4.43868898068448,-28.0872918959824,1.86893733899225e-90,1.93479513093769e-88,195.811815248861,down
RAD54B,3.22012957548702,28.0829424066379,1.93886267233899e-90,1.99137989747951e-88,195.775157071593,up
SPAG5,3.98456227607858,28.0392346606514,2.80482582565237e-90,2.85829281795387e-88,195.406653899395,up
KIAA1524,3.56388571727792,27.8911838131259,9.81366972023603e-90,9.92321766129913e-88,194.156706796364,up
