,logFC_edgeRTCGA,FDR_edgeRTCGA,logFC_edgeR,FDR_edgeR,logFC_limma,FDR_limma
ACAD8,1.04807290109415,7.8276130771929e-08,0.800268819181442,7.16270678714697e-06,0.826983566318582,6.086569015752e-05
ACBD7,1.17594146510933,0.00138870828466412,0.72432237324191,0.0497525010110134,0.693653599593207,0.0670029054591787
ACE2,1.53567163042392,0.000291074374007083,0.269344428558709,0.619034205717199,0.075097704591444,0.899322008698225
ACER2,1.216181138008,9.8900441326652e-05,0.246323061996791,0.32774050885351,0.299118819051772,0.216983233040387
ACHE,1.93569375517468,5.63990376531317e-07,0.689755276407159,0.1111854860711,0.823798521498297,0.0604949509088429
ACRC,2.62465260125262,4.12363934536894e-07,0.434845725314505,0.357981294567054,0.661197574106964,0.16283826610596
ACTR3B,1.02479660891064,8.77544312612099e-09,0.938397466671426,3.70988019343708e-10,0.941273949456125,1.01610775499008e-07
ACVR2B,1.05088745234176,4.72747621591195e-08,0.919185597220147,1.26599845696693e-07,0.905183818755634,8.05045445547091e-06
ADAM15,1.17409971473849,2.69917162411265e-10,0.957955051520947,4.83856153012577e-09,0.967186019007674,1.3857365052886e-06
ADAM19,1.32789425163788,6.5552686780519e-06,0.918915635992421,0.000641026241451707,0.925861192497411,0.00174622333747961
ADAM6,2.34590255370275,7.29556964500976e-07,1.18045891551944,0.026333913085464,1.32557335776607,0.0164902487961917
ADAMTS6,1.08624065396039,0.000984973562856819,0.505920937101565,0.224752254123252,0.402190232549979,0.331938662683473
ADAMTSL5,1.6592485989979,2.45107811791384e-05,0.732699473194529,0.0962529167946556,0.573211903955852,0.251184284077761
ADAR,1.09325464082436,5.97370333798445e-09,0.890537121528158,1.4980155532838e-09,0.912365596900461,6.01900007683098e-07
ADAT1,1.29657977525822,9.844642295429e-11,0.928537808087849,1.48987922755895e-11,0.957683960642838,6.09641936702206e-08
ADH1C,1.78526422862159,0.00256179015857012,-1.24518292117627,0.139233064471077,-1.16966569373242,0.120525760838428
ADORA1,1.2539347421326,0.00260286961367973,0.228000259971731,0.618430835605974,0.291754930396344,0.521779138932468
ADORA2B,1.07166612868429,1.00034848790041e-05,0.893775202730829,0.000245696876760162,0.876586169896663,0.000729820279782519
ADRA2A,2.33914965208829,4.71262588857939e-07,0.414683025225768,0.474353149108145,0.446080090933857,0.460793892884697
AGR2,2.7825645258298,6.56396410500818e-10,1.43682646014438,0.0125575858132343,1.16357065034466,0.0504937683674412
AIMP2,1.10931505738063,2.0534100582238e-05,0.909732338928568,0.000373497379756212,0.816914911155636,0.00930993775849249
AKR1C1,3.43979569420917,7.27582581656073e-08,-0.530566148777733,0.464299473633836,-0.171795037509187,0.824286939895815
AKR1C3,1.35047339211936,0.00337586554890298,-0.383669037854742,0.507324607722064,-0.42386983443106,0.477860072239228
ALB,5.40398102675008,7.62975336375654e-07,0.737305712742433,0.682174481705839,1.42748536045525,0.0996294323191081
ALDH1L2,1.72286084427121,4.70396424938552e-06,0.700228967963801,0.0211027798865304,0.719220462060774,0.0287252929492073
ALDH3A1,2.23798892141251,0.000242076249318703,0.411077036137452,0.628101120702639,0.423715476841041,0.600534067003416
ALDOB,2.13525951638439,0.00133186703200486,0.651481937759568,0.348608104539925,0.504226132194595,0.470675666801589
ALX3,1.46113977571605,4.95827852994719e-05,0.733897032386431,0.0620754666497611,0.667804790787891,0.132942568977082
AMBP,1.93792160283735,0.000343812137275888,-0.22268937947229,0.805344288994162,-0.308157259766168,0.702451076378619
AMN,2.60716139457452,1.2183737590547e-06,0.448383463314576,0.550727306582634,0.414451407887942,0.563561270650009
ANK1,3.93798394352191,8.33061345060638e-12,1.2420563838276,0.0370094689674324,1.29497782895925,0.0398848917796071
ANKRD36,2.02144083473773,2.89176456801143e-07,0.827972863775765,0.0359476625121443,0.871522166904296,0.0346433085970144
ANO3,1.38987897695867,0.00457889990154711,-0.57063929097147,0.239313134617638,-0.422334429451547,0.41223781937376
ANXA9,1.19220598575435,5.09352326850873e-06,0.709239930017795,0.00449528700017059,0.711478385103654,0.00459006035672401
AP3B2,2.79560801499012,3.97089697172062e-05,0.086874812236983,0.923486007161138,0.0904129736305607,0.890237213888982
APOD,1.48922292335794,0.00312044316328377,-0.632765075645168,0.217434273011203,-0.417160119973218,0.441173473717865
AQP5,2.21148441713367,9.73904917695726e-05,-0.40516526045032,0.619838328338386,-0.485952065432076,0.535480957618373
ARHGAP32,1.24583256008875,2.66830029135403e-08,0.936173275618505,3.52304462665605e-06,0.937794014270099,5.02147546521821e-05
ARHGAP33,1.12254761866003,0.000411900955650337,0.919441035534542,0.00672107008210041,0.910738636490771,0.0186614253026991
ARHGEF38,1.2161882009018,2.62861636595321e-07,0.955656167622231,0.000134649466356693,0.977756992193422,0.000225314603266103
ARID3A,1.04998696205926,8.26300956183519e-05,0.643766905082218,0.00758843690785932,0.587962553499362,0.0182602710146672
ARX,1.91751613199779,0.00134873775675368,0.66602694631617,0.366059390726197,0.572656937830535,0.421463173679871
ASCL1,4.71565443911166,2.10163421207101e-05,-0.186820948143472,0.837040669776955,0.066803857691569,0.939106575321126
ASCL2,1.72431821296977,1.57013058429499e-05,0.537006971365033,0.19961883822382,0.486833856656072,0.281805221747632
ASH1L,1.05161822996092,9.74050706583855e-07,0.77779696241984,3.95942373516426e-05,0.768210571410816,0.000240325339737658
ATAD2B,1.1166864813515,3.06592143655084e-08,0.895770138829652,6.7483087368045e-08,0.877862363787225,4.97315788019277e-06
ATG9B,1.53825448896309,0.000436587789581319,1.06572959962254,0.0176879809073628,1.08881778996453,0.0347138863792415
ATHL1,1.68526563374933,2.12507072067859e-05,0.779741908237004,0.0452987981749134,0.722543296030899,0.0677244952347925
ATL3,1.04863605463853,3.84824827058868e-07,0.711678704671991,0.000124740285198609,0.713256662038556,0.000453559384978219
ATP1B1,1.48398176738402,4.85646093073501e-08,0.960440364137422,0.000208965116306784,0.964735295852469,0.000697922250862814
ATP6V0A4,1.76456296943857,0.00131211752552162,0.226575597878585,0.767594052008336,0.246549182584574,0.729577198521169
ATP8B3,1.73610304802313,2.86352387454064e-05,0.41029754428684,0.298151979886152,0.502239822382686,0.216113890796073
ATR,1.01372032145761,1.31405217657786e-09,0.873461106970688,1.77137884272578e-08,0.876840257251499,2.20177751556509e-06
ATRNL1,4.1827772506212,3.24138013788474e-08,0.13853323386121,0.873240864902525,0.372232151193343,0.57773912971709
B3GALT5,6.69630562136052,1.94215685871694e-07,1.55593360358378,0.0903839952406596,1.40260255676184,0.0758596779394745
B3GAT1,1.85116834015823,0.000153113507249444,-0.135473561929328,0.801408605284628,-0.0197015000160867,0.971853357463042
B3GAT2,3.43843286018396,2.98585981175724e-09,0.82765265475103,0.143198858037685,0.929163532775012,0.0996885292751341
B4GALNT2,4.17142397756569,1.4909752882352e-05,-0.526008870507893,0.544626260665584,0.377909787567396,0.643569873793859
B4GALNT3,1.29124101422461,3.22557268113347e-05,0.578614360981688,0.0151884569040435,0.614289764344768,0.0134978687163354
B4GALT3,1.16943055771992,2.10973280468592e-08,0.952798666346623,4.94960057182919e-09,0.974782934583254,2.28671094011776e-06
BAAT,2.26731390024977,2.35510127638748e-05,1.13676128627639,0.13187135270344,1.13243971836693,0.0983421153417222
BAI1,1.67826889410936,3.26381462765203e-05,0.674887489193805,0.125225103874133,0.488281582883193,0.331493719507666
BCAS1,3.93273247233496,1.26406696866561e-09,1.20516863635926,0.0861813089400174,1.257130570374,0.0752517247314263
BCL11B,1.49529362467233,1.34791990096877e-05,0.579884329946124,0.108559608422312,0.597681469145983,0.0936646629903095
BCMO1,2.87314548878954,8.47976892007263e-09,1.01923796457671,0.124712474362469,0.907904149853361,0.13907361341028
BEGAIN,1.10413853753473,0.00420781877171877,0.14965614443869,0.69949293622008,0.100238353188928,0.822304916789066
BHMT2,3.40490267357339,2.31443699000469e-09,0.538546074157541,0.437294296881761,1.03465000428079,0.111922792699161
BICC1,1.12857197532953,0.00143716253808177,0.154837731194394,0.695443573025507,0.180686115151201,0.650717073759032
BICD1,1.00750141160778,5.06682666128065e-05,0.706858252307803,0.00516545111029988,0.711978973269952,0.00626360679833713
BIRC6,1.04770596686502,5.92218274035267e-06,0.607975982487891,0.00161096252380543,0.61262375011675,0.00286570509502265
BLK,1.46232787283845,0.00777048513048239,0.851924251478476,0.144099921317223,0.982621986962997,0.088468734607096
BMP7,1.96025752780574,1.86793958158332e-06,0.565359659800608,0.286837361516625,0.404274311586024,0.470675666801589
BOLA1,1.02307518417544,3.08502602798877e-06,0.978221010420688,8.83236017930359e-08,0.988816859760597,5.28936664746424e-06
BRAF,1.04443402639788,1.09732373674552e-06,0.81950350749309,7.21264115714647e-06,0.808900711521095,4.96749145164165e-05
BSN,1.40551940485365,5.47439251050204e-05,0.432078441063288,0.225841898897166,0.456898037170401,0.178408767910835
BSPRY,1.00215241625313,4.57573240682048e-06,0.749629912345957,2.75069354891904e-05,0.77807965491056,0.000160628428832536
C10orf35,1.07131527539021,2.6096765931711e-05,0.909368719749177,0.000135190940650766,0.926155081456705,0.000768220509224871
C12orf75,1.62940716092283,0.000141905087110315,0.316020201927117,0.455594873450637,0.515517126907791,0.242222791432534
C14orf37,1.19835829540983,3.15665427832832e-06,0.879556301315627,0.000352943643710937,0.884982127121611,0.000588796284032608
C16orf74,1.09854710282026,0.000430440609863822,0.754174518826566,0.021356914062672,0.607125062909556,0.109179146288989
C17orf58,1.02013390111522,2.28697627729594e-07,0.94658472133558,7.57253645269439e-11,0.949027340525766,6.91203707142744e-08
C1GALT1,1.12495643262613,5.77787572319799e-07,0.753509386952707,3.75582565316438e-05,0.774656091671211,0.000199490428243065
C1orf226,1.11492868449075,6.82238666562559e-07,0.938193182021413,1.49039641956337e-06,0.950010015134296,3.51739139336199e-05
C1QL3,2.76931185585773,1.90988346689317e-06,0.190862914773728,0.731706322506972,0.250436675836529,0.627200997685373
C2orf72,2.13353533884124,6.79080416770634e-06,0.395204694541334,0.502876027370985,0.484911784244395,0.395574489034048
C3orf14,1.27232248064228,1.02666694422286e-05,0.971924094057495,0.000537592261293614,0.894529212738224,0.00405889481325303
C4BPB,1.72359417910327,0.000335200946215556,0.306745779022088,0.656103863532816,0.105826891745177,0.875704480538121
C5orf42,1.20930899089982,1.01230254155424e-06,0.874416243188522,0.000238840615125436,0.846878222667146,0.00106751059052425
C9orf129,1.21738854972546,1.36266759220785e-07,0.840585912547568,2.55667501162731e-05,0.82042470355244,9.01696480540976e-05
C9orf131,4.09543782805304,2.33564678910613e-06,-0.0529949661492501,0.928421690115261,0.323692149453618,0.695312933160077
CA10,5.37918348098844,1.40524208724154e-06,0.901021183773666,0.475697821559512,1.11092121804199,0.128439482142058
CA12,1.34828437080311,0.0015135801308112,0.14093702357162,0.752992055038766,0.0974327075974379,0.843549548535899
CACNA2D1,1.13765728764552,0.00654291713402297,-0.289092911185815,0.467783487630441,-0.169929664972645,0.69230196620215
CACNB2,1.38446348201493,0.000140521337056914,0.0711473403172184,0.868308888969741,0.185956611573782,0.63624606248615
CACNB3,1.13015761719866,5.98118339941951e-07,0.831099171511512,6.13818887180528e-06,0.84297596727796,7.41393138725455e-05
CADM4,1.21390660120355,8.36308109465235e-08,0.935552961691237,9.22651329199808e-06,0.944598731257552,0.000101984713232175
CALCA,4.4134529650998,2.48721880366615e-05,-0.349657506701406,0.638280265171005,0.403576355307066,0.615883333427426
CALML3,6.63868877277702,9.94267571704346e-07,2.38507523267468,0.0454790766408496,1.88632116471867,0.0226845584759257
