,logFC_edgeRTCGA,FDR_edgeRTCGA,logFC_edgeR,FDR_edgeR,logFC_limma,FDR_limma
CAMK2B,3.97466199191113,5.49526589069551e-07,1.25403494937998,0.0883423020173632,1.45111683106671,0.0283304475266893
CAND1,1.32115291794891,6.48227200184509e-06,0.573190554499731,0.00157860816402473,0.644719469542347,0.00301920251990687
CANT1,1.08688558857231,5.52515983147814e-11,0.928478904370337,4.01061630311863e-12,0.943395051769973,6.89400392393567e-08
CAPN8,1.97351775492884,9.53184245586765e-06,0.50862037027479,0.415778407562732,0.019553938048122,0.979585544355084
CARNS1,1.10598754876657,0.000965366878049781,0.256230039309891,0.491787186887815,0.203456859678072,0.570009632055191
CBR1,2.27622076552169,1.30719120824392e-06,0.232103501054855,0.490992158103824,0.486379605396563,0.208744027028302
CBR3,1.75641605821687,3.20905012834784e-06,0.676943960350274,0.0232287100155009,0.81580309893809,0.012802793742188
CBS,1.19924711178316,0.00126294796337263,0.424526742048089,0.193354588472572,0.508986822979503,0.115673589914545
CBX3,1.08251452503201,6.54387140220046e-09,0.96801738442616,9.2168100536638e-12,0.983092793797446,9.43263964204231e-08
CCDC134,1.03458509046792,5.952280625169e-07,0.830353610304654,0.000151973365898868,0.787088215234923,0.000405629640616649
CCDC142,1.01946590454792,3.21861937858675e-08,0.889516525964969,1.45162082075904e-07,0.874103456179553,3.1412521695697e-06
CCDC144A,2.70207411871062,4.41543550626949e-06,0.362695682728991,0.56373173586077,0.498425540729272,0.391241390608964
CCDC18,1.1368123674227,3.59985674670475e-05,0.958123724605651,0.000113603227852943,0.990601477760021,0.000212226889090197
CCDC28B,1.18901061144252,1.24398715721689e-05,0.708818486253866,0.0129786463491563,0.724314982755988,0.0110343115738367
CCDC64B,1.28509682172237,1.82841890337798e-06,0.753605071026913,0.00807227746755085,0.713015827022959,0.0246719529550756
CCDC7,1.29839143844078,7.46666145105116e-07,0.808053212921432,0.00169391965501847,0.745501639749163,0.00482867964312548
CCL22,1.74415998690324,7.77587616381172e-05,0.415910413444768,0.356915814174193,0.44997884913705,0.346035208047379
CCL28,1.43169324705846,4.43536803579249e-07,0.75585130736308,0.00581260145024821,0.779112870311402,0.00556531154759724
CCNL2,1.12906093064167,4.04625732340813e-05,0.72208198088303,0.00601306994117099,0.728590779820622,0.00816071070611765
CCT2,1.74650679999459,9.07835784391668e-07,0.763097359286345,0.000753919785292487,0.84833342656598,0.00219491745870625
CD177,2.97473986173587,3.2924822712638e-05,0.352739481676166,0.543111994045201,0.246743626852409,0.672751597441181
CD27,1.03451583614479,0.00159331970772836,0.611484979766966,0.0700415537643424,0.662874489089627,0.0487428719387117
CDA,1.87096947657637,0.000112161499462381,0.634391848710175,0.136931809655257,0.619440820764133,0.190678430550593
CDC42BPA,1.08206293375412,6.81447692742383e-08,0.854741847878833,1.1156533468674e-05,0.8526232750964,0.000158841431147921
CDCP1,1.27882914079875,1.73454636945453e-07,0.986201598498953,3.47761948592106e-06,0.985688761634209,6.59667647767417e-05
CDH15,1.91793387176093,2.85962583810982e-05,0.579742221172066,0.346446188025849,0.626554834831733,0.318811893106836
CDH2,1.73609615413163,6.32103656905217e-05,0.858979607663599,0.0788023590238688,0.803654553903391,0.133076721878044
CDH22,6.0932583849953,2.93742012146069e-08,-0.647797190657367,0.419871598984363,-0.278466167273898,0.715291988776513
CDHR5,6.00282378477559,6.64138256472517e-09,0.392440936571876,0.786292887806798,0.933413693171141,0.347079890411002
CDR1,6.66947770159198,3.32964020553723e-11,0.526679683617274,0.58215685587512,0.448187944584951,0.617962577554669
CDYL2,1.39261308459004,8.91344943735587e-05,0.655834687277399,0.0524952059360473,0.649650745831713,0.0610677416766058
CEACAM6,2.28598172999109,3.17201925426657e-07,0.957933271854161,0.0886638667535289,0.704295244686742,0.243043835125713
CELF4,1.69376144158682,4.98905377445111e-05,0.581761632660919,0.154237090012851,0.72505444720134,0.097508730937723
CENPV,1.10939359451166,0.000370275519072851,0.615621075152428,0.0877653362693006,0.542043778200963,0.151832149307614
CEP350,1.06106253747399,1.62809408766501e-08,0.816837478972967,5.72911941583129e-08,0.821643646793989,4.76396009042487e-06
CEP97,1.10123420280095,2.65888235110832e-07,0.876664838790367,0.000212771889383251,0.881004478955334,0.000413498175821934
CERCAM,1.18409384946928,8.94081418573473e-06,0.945743428484636,0.000161056851554755,0.981226268147203,0.000687013208018848
CES3,1.54285741111936,0.000732128235195207,-0.280439591356791,0.505751303066221,-0.284068123058833,0.551921950829952
CHAC2,1.04546346234172,6.16254039059796e-05,0.916638142292304,0.000113414820398436,0.907302496988568,0.00037049035348377
CHAD,3.25447966963898,1.11710708569102e-07,0.719608994588597,0.24163798472834,1.22649436857181,0.0510700684066675
CHD1L,1.10355082968854,3.26776975971466e-08,0.933087914096556,1.87454715359814e-08,0.948990765465061,4.20935536925137e-06
CHGA,2.76904756523949,0.00961491357537326,-0.832365102799496,0.330745990258597,-0.513099240977794,0.532540179266753
CHGB,3.80754277993335,9.14879330085736e-07,0.388301173274293,0.678978282166743,0.878400997277589,0.249053229042311
CHI3L1,1.32580478280817,0.00361545977661735,0.538358393507368,0.131949592644215,0.629784217926231,0.0964666379630842
CHL1,1.02094416977543,0.00809486871554471,-0.0794332483991993,0.85313449751023,0.118798182673369,0.783420602431784
CHPF,1.01406874281426,1.07729428511819e-07,0.898469161208319,2.73760677884035e-07,0.898646259048109,2.50270786096547e-05
CHPF2,1.12942285816381,3.74955882106748e-12,0.936590416915002,6.41826613291876e-12,0.948133199294981,7.05895480210363e-08
CHRNB1,1.12154851639912,3.33174638312987e-07,0.955042288701609,1.12083373300201e-07,0.953651081157231,4.82759622038881e-06
CHST4,3.10747750337958,1.28747062722109e-07,1.15133068736438,0.0943777904486415,1.08674731610929,0.10669720072391
CHST6,2.33969738409361,7.62097493251277e-06,1.29150589375868,0.010177391345158,1.37092246810899,0.0108297383324675
CIB2,1.29459762163686,5.72449962626281e-05,0.908993426993575,0.00651160386230852,0.971501857814441,0.00673367182923403
CKAP2,1.15085312103225,1.36266759220785e-07,0.95578958544991,8.58978400616939e-08,0.9909037794841,5.25021409265586e-06
CKAP4,1.09047262098866,6.57034066147825e-09,0.890261677499825,3.22819453161253e-10,0.908521314799789,3.79224836940216e-07
CLDN1,1.15158168384836,0.00220427259281127,0.543083081544674,0.123482313089536,0.558454657157274,0.136674462693253
CLDN12,1.057316525203,1.17097184581971e-10,0.959905885355925,4.00661600041153e-14,0.962523302215076,1.41683318636978e-08
CLDN2,2.84140291941357,2.50057407272769e-06,0.54343727669005,0.455821115315208,0.813441525865281,0.268248978819165
CLDN9,1.65378019283533,0.000471882604343763,0.270892197304893,0.589884606442921,0.245434688594175,0.641306353705603
CLGN,1.677850689412,0.000874698924494711,0.657211187921749,0.223463489599413,0.619646979007864,0.288554089868162
CLIC6,1.11042112350793,0.00188708753512701,0.442354166608027,0.258485880510935,0.494605633670564,0.199429094927031
CLPB,1.05560204588768,1.01910561751619e-07,0.852976707330134,3.97001918419743e-07,0.86449374242093,8.36376083821483e-06
CNGB1,3.59949458801793,1.13531260070284e-08,0.823447358574118,0.264116871714118,0.790468101564894,0.221901362871093
CNIH3,1.41029825625834,2.82067617811463e-05,0.884092033003165,0.00975036123415307,0.939066278726132,0.00849767563173369
CNTN3,1.10742887328577,0.000683475349118839,0.821462705576072,0.00604350491839645,0.806311046292088,0.00809468582206209
CNTNAP2,4.11134853752198,3.82157243727873e-10,0.617815305891079,0.291170256741773,0.972715403572745,0.118483524636938
COL11A2,2.32045328484621,4.66105741741082e-07,0.571296521794467,0.19844650182408,0.748089908739979,0.117440126482264
COL23A1,1.3146735107463,0.00138856917099274,-0.226272231914012,0.529782104533148,-0.0915659632548966,0.804042543381617
COL25A1,4.76136841350514,2.05229865967652e-08,0.215244574374099,0.829690655194353,0.845223463385672,0.261653466318664
COL27A1,1.38466295137429,0.000448569934272202,0.336125518109699,0.38921160433159,0.393874427346116,0.28906874168858
COL28A1,1.2967145532713,0.00752924071554832,0.960306460973716,0.118443705793429,0.902925134972118,0.112931817556105
COL9A2,1.71706756731646,4.03732881254972e-07,0.709112871548166,0.026017287381285,0.763293605239669,0.0210607452468488
COPA,1.06810002306688,3.97222015890142e-11,0.927831119845477,7.57894364618839e-13,0.933605994554572,3.91792381445027e-08
CPD,1.31460564257377,4.26054868398567e-08,0.850021142370326,5.1101962947573e-05,0.866912974359719,0.000271410916164917
CPLX2,4.20621653776503,3.64599611412799e-05,-0.474961716304419,0.554118831633733,-0.0151834792639218,0.986370123574035
CPOX,1.12748592448156,6.59761682070214e-08,0.887906205695483,1.72096262908418e-08,0.919633466486633,2.0452737516644e-06
CPS1,7.27142005944602,2.31227164805427e-14,0.801614909898475,0.163010681855673,1.63978567434813,0.0255136756624333
CPT1C,1.00712977686533,0.00472754411665082,0.170449867385895,0.669494331260155,0.317750488930723,0.416297859284938
CRISPLD1,1.29603425116118,0.000888782598225722,0.372713915818585,0.401684707010782,0.43754738997018,0.314775916843408
CTSE,2.16942658327253,0.000107645938716834,-0.457064503052048,0.470856115864168,-0.388293375054991,0.55155557476783
CYP2C18,2.26578871277224,0.000145989217168439,-0.873185142343846,0.134252947377869,-1.04860082293949,0.121990569459313
CYP2C19,6.2841092820662,3.17951084623134e-05,0.25637247712985,0.899418862125339,0.678231915152052,0.313919336179689
CYP4F11,3.49461091080054,5.07247538786042e-06,1.96748021949473,0.0226244250371986,1.62926072683804,0.0435051643855723
CYP4F3,3.50340129450543,2.09048611006001e-05,0.86603586848444,0.392983258478312,1.48239350421695,0.0801915968569401
CYP7B1,1.2221246622815,2.67957003795913e-06,0.777099438415133,0.00222202205987065,0.823402755446906,0.00238341773969728
DAP,1.08421235662211,1.97693351504392e-10,0.937418281242739,2.31314495149013e-10,0.933079339726692,4.34051325834125e-07
DCBLD1,1.45709393677993,8.1689205512459e-06,0.442447521967871,0.0635502135760997,0.533226659302648,0.0467312687509647
DCBLD2,1.16883984810066,0.000121799076208234,0.446010828853941,0.0973377089599438,0.513367622616949,0.0689625885281189
DCLK1,1.25881403116275,5.31665944216391e-05,0.691158983840182,0.0244219846386083,0.72893256824346,0.0221301758609747
DDIT4,1.16863537931329,0.000137643319817961,0.999901471914053,0.000119295576664158,0.99704732762753,0.000669130437402352
DENND5B,1.21088982359668,2.19021590127589e-06,0.741828360590606,0.00133211817232738,0.774436197417746,0.00217287733554024
DGAT2,1.01196550023915,2.33059450335535e-05,0.669860850984613,0.00719203829532791,0.650507030942344,0.0123133738902884
DGKA,1.10524400635851,1.33036362615975e-06,0.774826069834587,0.000990777523928944,0.773480775894138,0.00226643426553838
DGKH,2.08188487710226,1.741601234648e-06,0.620851797854339,0.135288057452202,0.714628922509667,0.0960817283005475
DHRS11,1.08614325135773,3.97037703027015e-08,0.945567097475635,1.24434329457288e-07,0.954598895459394,1.10914138156857e-05
DIO1,2.0743226415003,0.00151741200293427,-0.482524550731592,0.5199332141866,-0.509746856477483,0.445004078043115
DISC1,1.25239302541397,5.52292706531976e-08,0.903466264856045,9.85046078613527e-06,0.893095942833733,6.48378044197306e-05
DKK1,2.17550121115633,0.000430290862438348,-0.695631965958522,0.231014810651088,-0.418783820211173,0.529313923664671
DMGDH,2.59268865120759,1.66768882991548e-07,0.639877012563563,0.270232631996118,0.872140301830048,0.119574231528376
DNAH11,3.2082092632155,5.72924698112793e-06,-0.795307717121046,0.208148466033938,-0.455334291047589,0.515320275449271
DNMBP,1.04687090762756,7.46316674613649e-09,0.88342707689105,1.74978383903566e-12,0.893086838791557,4.92512967742206e-08
DNMT1,1.05679453958178,3.15652124612608e-07,0.830582874774093,2.82805843737402e-06,0.859105215298436,4.32730434807074e-05
DOCK5,1.13386621128663,0.000375321532378324,0.477240611011389,0.142854359253861,0.443817136986279,0.184008465971848
DPCR1,5.24554546288267,2.49679407536415e-08,-1.97400065245793,0.00431413671048556,-1.74588793476659,0.0524791505465966
DPP10,2.78276245721643,4.59046029853743e-06,0.724186461284474,0.31094800786277,0.517414283291612,0.468232678524636
DRD2,4.42247576161539,0.000339106753498722,-0.345681273964583,0.759347678395953,0.281110615150928,0.742398420986996
DSC2,1.15106460349593,8.94235403679372e-06,0.800511800959767,7.59769314586303e-05,0.833996210625486,0.000451792273316566
DSC3,1.76560593745772,0.00109412975146635,0.537813442421446,0.38921160433159,0.931892107442809,0.146880816003137
DTX1,1.0322532439307,0.000286671207344079,0.416208226962307,0.129044393276757,0.454425515819462,0.0871497016587282
DUOX2,3.72221472722424,4.96425015652582e-08,-0.944605953360989,0.0636154439976371,-0.681255510317182,0.259392714980433
DUOXA2,2.12860189514513,0.000942864579778659,-2.06112589449597,9.50228042822024e-05,-1.93240128573423,0.00217898198703114
DYNC1I1,2.0482803414746,6.22853764717857e-06,0.293341721364955,0.507324607722064,0.5569640015203,0.20086078940402
DYRK2,1.72201502170481,9.33467788897612e-09,0.897755286304306,0.000107196812133704,0.95718777423622,0.000406757190753838
E2F1,1.35037508481205,4.79145929179492e-06,0.841818543266065,0.00263106531924661,0.936157448542898,0.00255961718991558
E2F5,1.12156535739938,2.35226871760523e-06,0.921842266272396,8.11846680195332e-05,0.918808177269691,0.000385075197624041
ECM1,1.58509280461163,7.07356500301135e-07,0.772906379705113,0.0101508716163343,0.884361369763251,0.0063221420695822
EDA2R,1.20244168677082,0.000735404866079486,0.270787129894442,0.543142468433191,0.245244422821988,0.57328833180808
EDEM3,1.22879501876594,1.29520423091125e-08,0.780487474226169,1.93865706163721e-07,0.825571492411568,6.69947360311857e-06
EGFR,1.12979754282276,0.000269361542316816,0.323046170921717,0.297118022382962,0.383644011613408,0.223836260581171
EHBP1L1,1.11183044671466,0.000586116743154327,0.119167296853824,0.712236289901966,0.200704766352381,0.523245082296868
EHF,1.10497330341746,1.46641685020955e-05,0.67210358999932,0.00691608079459897,0.660754563406368,0.0151823819094405
EIF2AK2,1.10796480233191,8.00144115198458e-10,0.97155278321122,1.3617750939619e-12,0.964909385887975,5.31325896404102e-08
ELMO3,1.18285593341203,6.12710420883773e-09,0.929899327193787,7.81351430345823e-06,0.879323842292878,0.00033086947324952
ELOVL4,2.23735297840191,1.95263356880851e-07,0.943661186864141,0.0413916656520502,1.12803341913573,0.0219580034540303
EMB,1.26069768542367,4.29676261977578e-06,0.701026678651667,0.00752738852667441,0.758529057491583,0.0078074987175124
ENAH,1.13905371344742,1.26051917491434e-09,0.951842136956373,9.43011346694675e-09,0.975288254667277,1.66463147136918e-06
ENO3,2.32190068339894,4.66517067447968e-07,0.937633403139255,0.0168458482646837,0.927528743489816,0.0270434203979883
ENPP3,2.49788916243019,2.7115445325614e-06,0.391074108291574,0.561642141535599,0.666572509039048,0.302667405245387
EPHA7,1.81521304123032,0.00286852876303557,-0.477122076671768,0.447678862395081,-0.487789572612816,0.456260371134468
EPS8L1,1.59612303447635,3.8603027360993e-07,0.693405415848411,0.0079495741192678,0.704191072706449,0.0147925350075839
EREG,2.10324089148377,0.00100204797468029,-0.889910679540098,0.147084378891961,-0.337166782314442,0.635614975809191
ERN2,4.47664532451962,1.03876924544619e-08,1.39381544915295,0.257957062713423,1.12866029736802,0.287513161578222
ESR1,1.77835879467066,8.85399488618123e-05,-0.0713552516468885,0.878659649027743,0.122603715494068,0.803013351873177
ESRP1,1.03445180567056,1.41239665007519e-09,0.914081325024482,1.85014998063527e-10,0.926080074664191,3.35545199471606e-07
EYA2,3.07446769330002,3.69686591241966e-08,0.460446514988173,0.429247311539727,1.02881541242029,0.0834758987514922
F2RL2,1.90563940315819,2.71498265337416e-06,0.978056382223281,0.0268246917855183,0.984297927557421,0.0450305094935475
FAAH2,1.11076196143179,8.51178181578338e-07,0.830353991518569,0.000508321473106801,0.821262412294408,0.00134980714502845
FAM133A,5.8385867363711,1.74930705874521e-08,1.19540896791395,0.16127969523595,1.42967118429126,0.0449936914034608
FAM169A,1.30160123531317,1.70921621083551e-08,0.973492331184445,1.44165222411258e-05,0.994742310679327,5.25413359541185e-05
FAM185A,1.02509845131318,3.22926217242475e-07,0.820573495819156,2.96443013460825e-05,0.803343280472145,7.33838606069676e-05
FAM3C,1.26312789743308,1.10251092731277e-06,0.719861393714093,0.000298761183044493,0.779146059825663,0.000684793397079913
