,logFC_edgeRTCGA,FDR_edgeRTCGA,logFC_edgeR,FDR_edgeR,logFC_limma,FDR_limma
A4GALT,1.40358700635406,9.32174272501003e-09,0.911041421081325,0.00212784049250199,0.826693419756099,0.00871190675552062
ABCA4,3.15752305077005,1.09628821504347e-10,0.519897515266227,0.382192124055991,0.616500635933284,0.293473538282499
ABHD11,1.01741293078577,2.0737712193732e-10,0.852732258039937,7.48533905058562e-09,0.851348494104265,1.13074003253021e-06
ABHD3,1.1527626709418,5.12766627692238e-09,0.750537074512517,0.000117158842837561,0.774753202111884,0.000444233738739918
ABTB2,1.22128916913302,4.8923454113968e-07,0.966578936972446,1.39263510935949e-05,0.998445548427298,0.00010152748496092
ACE2,1.36127957210408,0.000234605572654775,0.181010452523398,0.69253696645283,0.0903212466373038,0.856011626646414
ACOT7,1.10650363325659,1.76161501611407e-13,0.98602990576175,8.88739074304733e-16,0.9874049949674,1.51227656999896e-09
ACPP,1.10450346690036,1.78804608165576e-06,0.783149114569611,0.00456435423881915,0.747660754242694,0.0114524267690007
ADAMTS13,1.03002498546366,1.8642881899852e-05,0.703640380252851,0.00801061722192245,0.660561859951886,0.015358571184533
ADAMTS17,1.47495796825405,1.66165463215384e-07,0.853100041347724,0.000502347147550179,0.852168923815513,0.00101876239008849
ADAMTS3,1.0178531790539,0.00103556671129824,0.234195643331412,0.433537699503937,0.217095710879108,0.481477826032918
ADCY1,1.2337040658282,6.46504854357231e-05,0.405624838484462,0.213056637614365,0.445059948242686,0.173069342181491
ADCY2,3.69727624524853,6.93895207307888e-12,0.639832934640611,0.338396152358201,0.731758515191456,0.27967679105982
ADRA2C,1.3124693412272,1.56995151769068e-05,0.470781115601469,0.208860894963886,0.367063795673794,0.331308382540527
ADSL,1.03843659010174,3.7100202700047e-13,0.930866009216037,6.18646883519231e-12,0.935877286471932,4.47426540758805e-08
AFAP1L2,1.32555979478776,8.47388615036778e-07,0.685996470209073,0.0110864309977725,0.676120244954492,0.0183474905403028
AKR1C3,3.00136057822995,6.09296630256824e-12,1.25009912971168,0.0351589986883818,0.877483498523544,0.152878613524868
AKR1E2,1.92460893818762,2.78465476989497e-08,1.03101319618125,0.0312477639729056,0.617675850808984,0.230287147702016
ALDH1L1,3.261741907433,2.23588712100483e-11,1.09408263269872,0.0299559841588561,1.08228918233557,0.0374100686066025
ALDH4A1,1.21373520807103,5.41612992174922e-12,0.997391203766212,7.9034059140228e-11,0.985387534787401,2.11487025570136e-07
ALG6,1.02969116698198,3.07853996462909e-17,0.947518182290043,3.0826028067121e-17,0.949180176230072,8.19793503232631e-11
ALX3,1.32477160995904,2.00185435840894e-09,0.917468749630123,2.58618471774893e-05,0.933137417556799,7.6922277916576e-05
AMDHD1,1.84099517912601,1.73295380577222e-05,-0.146237634405438,0.782618679055704,-0.00142565501295278,0.998202834450365
AMOT,1.32464249856632,5.87869999463833e-05,-0.0507520159920944,0.891529985108823,0.0249399897247935,0.949157883502733
ANK1,2.43759732669041,2.4425527083198e-10,0.780249279651082,0.0491894464545701,0.933666043368399,0.0228459230241856
ANKH,1.13432630960935,3.7552214244806e-07,0.585076907077432,0.00603096093537431,0.609670113233062,0.0079970978594434
ANKRD39,1.05415840654605,3.52663464700498e-14,0.980890233862543,7.78244436365721e-13,0.978535479670488,3.98685734272418e-09
ANKRD9,1.0680755170424,3.08366140773527e-09,0.870590315417642,7.25605314202977e-06,0.852383866548781,6.32697963529523e-05
