,logFC,t,P.Value,adj.P.Val,B,direction
CLPTM1L,0.564784360837503,3.77654250321392,0.000580523489514681,0.00138408853906589,-1.69301731834302,no DE
CDKL1,-0.947228631662521,-3.47856391967915,0.00134551132133545,0.00297673841171975,-1.69313270462761,no DE
FAM103A1,0.584240639507376,3.63755036596385,0.000861814651745951,0.0019815812299267,-1.69333014437295,no DE
SFMBT2,0.802163039548429,3.65365894927674,0.000823454367981878,0.00190307591823367,-1.69350340155023,no DE
ZNF860,0.824387736286647,3.43291683724624,0.00152700599603946,0.00333639300039174,-1.6962103964287,no DE
MUS81,0.34584057800045,3.7535671717885,0.000619915518944933,0.00147021418711231,-1.70062330026652,no DE
ZNF750,1.00159037841297,3.62728545438944,0.000887153537732499,0.00203446391458909,-1.70503544352863,up
TRIM24,0.491152200297911,3.76746696008529,0.000595784888375258,0.00141865974515642,-1.70625918086704,no DE
HSPB11,0.494666857425131,3.68117529020121,0.000761713464811006,0.00177329831072546,-1.70810789812246,no DE
HNF4A,4.98264082363555,3.20848775422884,0.00281714834480174,0.00580978387503461,-1.70885964336773,up
SNRPA1,0.93146803754078,3.59143784239173,0.000981408467540497,0.00223061370458237,-1.70939784654328,no DE
SUPV3L1,0.498975154268289,3.68471219172797,0.000754109763434126,0.00175685082233162,-1.70959324682942,no DE
D2HGDH,0.565719469108651,3.72877784121446,0.000665322065353787,0.00156764108028808,-1.72112575913704,no DE
SPAG9,-0.421763891505671,-3.74571842552595,0.000633956981290694,0.00150024217415744,-1.72213330209808,no DE
ZMYND8,0.512761174349118,3.76732242963675,0.000596031049749592,0.00141872792206819,-1.72445323806676,no DE
AP4M1,0.4378306262039,3.67846852862588,0.000767582552985478,0.00178505024445402,-1.72635710268047,no DE
ASCL2,1.46214660297442,3.4025081010649,0.00166071209439272,0.00360078599721719,-1.72706935121206,up
CCT2,0.785529861395112,3.76388025671088,0.000601922917162885,0.00143161919288391,-1.72835115499395,no DE
MRI1,0.452119043901337,3.70101937353612,0.000719991731770035,0.00168700775089067,-1.73296141806664,no DE
AGPAT5,0.63288141358675,3.6963977983791,0.000729506321923855,0.00170654240731255,-1.73390752653919,no DE
ERCC4,0.411850063455855,3.68238145875929,0.000759112124420487,0.00176755775632646,-1.73615600780291,no DE
IL17RE,-0.947299882111209,-3.66442119389062,0.000798750791698229,0.00185093361643484,-1.73737748990659,no DE
B4GALNT3,0.751316477469344,3.72945995431038,0.000664030603092887,0.00156488079254627,-1.7388344127881,no DE
LAX1,0.805524790828794,3.52823150220247,0.00117161557734389,0.00262406483359781,-1.7392930408748,no DE
MRPS2,0.486179731790908,3.71937920641035,0.000683366333390183,0.00160638501581214,-1.7400680591628,no DE
KIAA1429,0.394503434043887,3.75757111187992,0.000612869024366565,0.00145456032638964,-1.74205351728009,no DE
LPCAT1,-0.878190593215367,-3.69488888523866,0.000732639035061683,0.00171356348813781,-1.74382360022587,no DE
TIGD1,0.820083897698177,3.44254965090087,0.00148684965723861,0.00326097247559537,-1.74432659351023,no DE
CSRNP2,0.549633178418473,3.75282717683883,0.000621226398345885,0.00147305528813374,-1.74615639382888,no DE
POLR3H,-0.500868621334075,-3.75947379251022,0.000609547789429527,0.00144723398679189,-1.74628180282777,no DE
ICAM5,-1.0196919803479,-3.67262443448846,0.000780403868411528,0.00181131460134519,-1.75075731425581,down
GSTM2,-0.909991196961199,-3.6649560118021,0.000797542046693221,0.00184846099094996,-1.7512271051516,no DE
IFI27,-1.25043302223169,-3.73648036129292,0.000650879007952097,0.00153694166903098,-1.75409698073896,down
CAMK1D,0.830433478967534,3.59052396185134,0.000983933371676582,0.00223596287459048,-1.75776119378985,no DE
ZKSCAN3,0.707618941923795,3.46086000269556,0.00141329676211408,0.00311665984193001,-1.75830604222095,no DE
MPZL3,0.579077220853586,3.5814849292242,0.00100924657639615,0.00228512625282267,-1.76066021304902,no DE
