,logFC,logCPM,LR,PValue,FDR,direction
KANK3,-3.89764509374182,3.33485283120987,1279.58124885661,3.09406634708392e-280,4.03590014313627e-276,down
SH2D3C,-3.38337239748365,4.96605125000112,1145.43342799793,4.40928552201642e-251,2.87573601745911e-247,down
LDB2,-3.62778880770131,4.29802726991938,1139.57290762743,8.28087022787266e-250,3.60052237507903e-246,down
ACVRL1,-3.37962194748856,5.56652037987919,1087.93824611823,1.38181910108104e-238,4.50611208862527e-235,down
ROBO4,-3.87266157519679,5.08229815302738,1062.73322841823,4.15653854089265e-233,1.08435777454807e-229,down
ARHGEF15,-3.70236705006884,3.7022893193739,1045.54991572435,2.25721960353265e-229,4.90719541807998e-226,down
CDCA5,4.48582206539427,5.7044437402423,1034.08539154592,7.00572698355164e-227,1.30546718247782e-223,up
ESAM,-3.24594269014487,5.42873103676635,1009.01276906016,1.97343801531108e-221,3.21769068396471e-218,down
KIF23,4.12439340320528,5.52986469297727,988.905220766605,4.63323589523001e-217,6.71510322415336e-214,up
TTK,5.38282148371282,5.06972038080847,976.193900584647,2.68482583976273e-214,3.50208682538651e-211,up
KIF4A,5.08514685714271,5.42593904389631,968.192259546293,1.47310592846507e-212,1.74683579371803e-209,up
NEK2,5.16543448527804,4.89361799345763,966.587296840263,3.28932451108539e-212,3.57549574354982e-209,up
MYCT1,-3.31790843127911,3.3268969017143,961.502785790476,4.19118828731935e-211,4.19871158251557e-208,down
EXO1,5.14605132815607,4.36301083572441,961.357891207245,4.50643684109307e-211,4.19871158251557e-208,up
RAMP3,-3.78279940405295,4.54274192175486,959.660687371512,1.0538027310917e-210,9.1638685495734e-208,down
CLEC3B,-5.05480123627718,5.37300008742228,956.736551465617,4.55395418338624e-210,3.71261114800563e-207,down
CDH5,-3.62292036997763,5.9599531474259,940.065104763749,1.91582801640188e-206,1.47000356740859e-203,down
SCARF1,-2.79098870206382,4.09292209464001,932.720426358418,7.56715752618927e-205,5.48366682064516e-202,down
TROAP,5.40945400279938,4.90727244602465,920.255977479227,3.87675723819013e-202,2.66149586394484e-199,up
NCAPH,4.69788076418266,5.31042100191333,916.759988502213,2.23068206511575e-201,1.45485084286849e-198,up
CENPA,5.37825503613635,4.1197745817888,911.001581771054,3.98313559502489e-200,2.47409622388118e-197,up
RAD54L,5.11397614261789,4.27881448048739,906.987741460486,2.97013506308053e-199,1.72868277534832e-196,up
RAMP2,-3.37188473690787,4.33096168395331,906.935961931666,3.04812203564944e-199,1.72868277534832e-196,down
CCNB2,4.7368197326047,5.69765477719633,898.388894828669,2.1981432101836e-197,1.19469083473479e-194,up
S1PR1,-3.75233999964273,5.1347568734161,890.771882193408,9.95208526804271e-196,5.19260000945396e-193,down
UBE2C,5.1992668449347,5.87947814068509,888.902473089606,2.53691718554003e-195,1.27275183723785e-192,up
KLF2,-3.56039112026926,4.72504648204291,884.522944491913,2.27184627988183e-194,1.09755418054736e-191,down
GPD1,-6.2287005272652,3.22709607049033,884.412717363568,2.40071972258789e-194,1.11839243076558e-191,down
TEK,-4.23772312421919,4.25912773759863,882.417907100554,6.5162574485895e-194,2.93096766066901e-191,down
DEPDC1,5.06859947664185,4.69684251907995,872.79682251762,8.04572880838963e-192,3.49828288588781e-189,up
HJURP,5.18906757785709,5.18347287749672,872.503854171844,9.31655587804768e-192,3.920166286234e-189,up
KIF2C,4.91859071972226,5.45621369918174,868.457163925171,7.06301591770346e-191,2.87906186345387e-188,up
HSD17B6,-4.33942316103481,3.99632574752428,856.30082762133,3.1028375185695e-188,1.22646704824911e-185,down
STARD8,-3.19931507396351,3.42783936413472,851.928718067706,2.76859560962352e-187,1.0621635627038e-184,down
TPX2,5.04737590568361,7.33274309725148,848.278294754581,1.72134985580128e-186,6.2565691415155e-184,up
SNRK,-1.76940911858293,5.43830912151658,848.272044547386,1.72674401329775e-186,6.2565691415155e-184,down
TFAP2A,6.07275901206334,5.68761944870956,846.550477624936,4.08791238417122e-186,1.44115484159809e-183,up
PLK1,4.56201276575342,5.63028406604945,842.381849641907,3.29440546290572e-185,1.13084802258269e-182,up
KIF11,3.92854285564166,5.83990129158243,838.14612845479,2.7456441982873e-184,9.18312382627167e-182,up
NUF2,5.10103084916195,4.84028092995128,837.62401320144,3.56578484593136e-184,1.16280243825822e-181,up
USHBP1,-3.73527661518235,1.30534934208378,834.859798530723,1.42269826822094e-183,4.52626249040827e-181,down
UBE2T,4.16347714863876,4.97633617604872,832.763518296675,4.06311298324234e-183,1.26188680365269e-180,up
SLC9A3R2,-2.65187811378534,6.26242444652876,828.604340988827,3.25909798271404e-182,9.88643583407487e-180,down
GINS1,4.46265750181809,5.12933735484932,824.842906712699,2.14223986494063e-181,6.35076745415582e-179,up
PRC1,4.02225574069753,6.64485649911274,824.397015209356,2.67799239975065e-181,7.76260730274388e-179,up
CLEC14A,-3.2377868365503,4.73540740873284,820.067733951532,2.33906019979074e-180,6.6327611404501e-178,down
BUB1B,4.85677230172776,5.29258922326757,814.556828700474,3.69130453628787e-179,1.02445481641147e-176,up
GIMAP8,-3.43416876781278,4.44703606085109,813.30342425113,6.91332178265883e-179,1.87869519443754e-176,down
DLC1,-3.97563393772931,6.06363080394863,813.086336173187,7.70698788269863e-179,2.05163163146777e-176,down
CKAP2L,4.56108500178242,4.26035913481227,806.65275347839,1.93036837929612e-177,5.03594502790771e-175,up
E2F7,5.28578708721535,4.4393271014971,804.45285656475,5.80675213194752e-177,1.48516225115928e-174,up
BIRC5,5.48011523876198,5.52519393174639,800.956792111522,3.34223860431491e-176,8.38387699128531e-174,up
KIF14,5.16216221568865,4.46245505295271,798.741052998383,1.01339587572831e-175,2.49410109490567e-173,up
KIF18B,5.3547970023019,4.81966930829837,798.608519020018,1.08291523709616e-175,2.61584191716338e-173,up
CDC6,4.69839859891406,5.64063784879491,795.215888975826,5.91857093840252e-175,1.40366980582768e-172,up
CCNB1,3.77122505472718,6.28014147114406,790.351656412065,6.75772536930421e-174,1.57406731637865e-171,up
CDC20,4.96104211757607,6.20898751866108,789.912047425659,8.42133469197014e-174,1.92715596003611e-171,up
NOSTRIN,-4.29523375257341,2.71026276017049,788.314377379931,1.87391163714475e-173,4.21436265429587e-171,down
INMT,-5.03010795030333,5.43483352708718,788.073310730389,2.11427907885475e-173,4.67434852620024e-171,down
NLRC4,-3.2943929489184,2.02322571091367,784.097623449816,1.54727425980926e-172,3.36377424082533e-170,down
PTPRB,-3.79768697855353,5.66308856132251,780.41368415223,9.78463405817915e-172,2.09230765008015e-169,down
SKA3,4.54189318424661,3.88153276107256,774.365950575013,2.02059020507522e-170,4.25106107016148e-168,up
CD302,-2.88422282296853,5.66804647874229,769.633181562402,2.16029859111169e-169,4.47284679721601e-167,down
AURKA,3.68753761280433,5.41697267594521,768.275409340089,4.26317056661518e-169,8.68887451108256e-167,up
GPR146,-3.03864392487787,3.02703526529501,761.918839394562,1.02764652761253e-167,2.06224943171967e-165,down
CDCA3,4.85421840894958,4.51111547986813,761.480788292847,1.27964617291786e-167,2.52904616356675e-165,up
TCF21,-4.76315060787373,4.08977492454729,760.68191739722,1.90892931382623e-167,3.716428950679e-165,down
POLQ,5.25733265902996,4.49198091774347,760.141701722108,2.50178540297067e-167,4.79901305828667e-165,up
RTKN2,-4.17572704209008,5.59552401128891,755.127418885074,3.07979016697155e-166,5.82214245477926e-164,down
HYAL2,-1.93683937732245,6.81398502685977,750.032019144474,3.94856652872271e-165,7.35787168580843e-163,down
SECISBP2L,-2.24998318316556,5.98167589105554,748.022920971087,1.0796686450579e-164,1.98354898677961e-162,down
