,logFC,logCPM,LR,PValue,FDR,direction
KANK3,-4.01730055642816,3.33485286987787,1627.18162710009,0,0,down
LDB2,-3.73010258796083,4.29802728756858,1427.98006096548,1.74720963435651e-312,1.13953012352732e-308,down
ACVRL1,-3.5026672626497,5.56652038666126,1398.97723062764,3.50492774400513e-306,1.52394258309343e-302,down
SH2D3C,-3.45293677391479,4.96605126264327,1381.14840818571,2.62385498185789e-302,8.55639109583859e-299,down
ROBO4,-3.8858227476287,5.08229816354821,1291.94907151278,6.3504650309366e-283,1.65670931727074e-279,down
ARHGEF15,-3.75183369740527,3.70228934369457,1291.45051191911,8.14985820124586e-283,1.77177917295085e-279,down
ESAM,-3.33716379855561,5.4287310432362,1284.75352092063,2.32546817547817e-281,4.33334384013389e-278,down
RAMP3,-3.96263195533918,4.54274193741504,1255.57034439636,5.11138062312046e-275,8.33410610599791e-272,down
CLEC3B,-5.32786522013523,5.37300009894099,1254.8739571879,7.24230921849964e-275,1.04965201606788e-271,down
MYCT1,-3.39307683935626,3.32689692978768,1197.8900475916,1.75327883112977e-262,2.28697690732568e-259,down
CDH5,-3.74617782104219,5.95995315284528,1194.55505953824,9.30333860683543e-262,1.10320680715965e-258,down
SCARF1,-2.87417439465597,4.09292210585601,1164.82773838395,2.68724703388078e-255,2.92103752582841e-252,down
HSD17B6,-4.50017451038076,3.99632577069401,1147.00937931363,2.00381075378553e-251,2.01059288249065e-248,down
S1PR1,-3.91086955038851,5.13475688446533,1144.09889634754,8.59826430999141e-251,8.01112568996629e-248,down
KLF2,-3.76223363653651,4.72504649463863,1129.76122672098,1.12338817053696e-247,9.76898353098944e-245,down
TEK,-4.32611270590646,4.25912775770543,1129.19269784887,1.49311559665329e-247,1.21726249017159e-244,down
RAMP2,-3.41265616692773,4.3309617011387,1118.20779277294,3.64379783165601e-245,2.79586464212477e-242,down
STARD8,-3.34643937622658,3.42783939331883,1113.65900088676,3.54973099768698e-244,2.57237172965717e-241,down
CDCA5,4.54034904969279,5.70444373934583,1074.72688267282,1.0278044521795e-235,7.05614803906811e-233,up
GPD1,-6.15550585744429,3.22709613002124,1066.81426782137,5.3915624926852e-234,3.51637705772929e-231,down
SLC9A3R2,-2.72469531042912,6.26242445005143,1064.10286797252,2.0943015207775e-233,1.30086043033437e-230,down
