,logFC,t,P.Value,adj.P.Val,B,direction
KIF4A,5.50293337975996,43.7053796250071,6.24207634158622e-149,8.14216437996506e-145,330.067820919037,up
TFAP2A,6.22686203609585,42.5738248078101,2.19385256199714e-145,1.43083064093454e-141,321.93303588004,up
TTK,5.67410634104182,42.3078017965371,1.52713336120329e-144,6.63997585451189e-141,319.999558087871,up
CDCA5,4.63872794863645,41.8233770372301,5.33732329266897e-143,1.74050112573935e-139,316.457914097502,up
TPX2,5.39775160722328,41.7573956859096,8.67857949069101e-143,2.26406781753147e-139,315.973433906557,up
HJURP,5.53985262416992,41.689896345765,1.427758975052e-142,3.10394801176304e-139,315.477287535381,up
TROAP,5.68487977989951,41.6262224413036,2.28462937890746e-142,4.0611699184228e-139,315.008776926023,up
KIF2C,5.19799293809201,41.6145291924789,2.49075125324919e-142,4.0611699184228e-139,314.922687392584,up
BUB1B,5.39664378696501,41.4502503202224,8.39644066246653e-142,1.21692413334682e-138,313.711538073844,up
NEK2,5.38826009516289,41.2592060033297,3.46372714507366e-141,4.51808568803408e-138,312.299119797643,up
UBE2C,5.48107470806879,41.1861980522091,5.95965997148147e-141,7.06707315163675e-138,311.758239701803,up
EXO1,5.33235570095053,41.1248239405544,9.40916306545557e-141,1.02277602521502e-137,311.303068203456,up
KIF23,4.29369206652185,41.1025153270839,1.11093294889308e-140,1.11469302964318e-137,311.137510931625,up
CENPA,5.72577085881201,40.9468934224605,3.54488028284387e-140,3.30281560067253e-137,309.980987643472,up
CCNB2,5.07191319511996,40.6036240793965,4.62861948628108e-139,4.02504750527003e-136,307.41990370406,up
DEPDC1,5.6100228060694,40.4336731597558,1.66001729131339e-138,1.35332909674324e-135,306.146793581387,up
PLK1,4.87967267042667,40.0931041429556,2.16789184406326e-137,1.66341065964478e-134,303.585300836372,up
RAD54L,5.25070754559538,39.9671699395988,5.62574745977988e-137,4.07679165918715e-134,302.634639032031,up
NCAPH,4.89104815659737,39.919211259305,8.09298973532037e-137,5.55605042671152e-134,302.272108994853,up
CDC20,5.31599467711224,39.5631079025714,1.21467194229595e-135,7.9220904076542e-133,299.571667839317,up
NUF2,5.29354800144983,39.2352275079388,1.4905936324825e-134,9.25871587719131e-132,297.071829087955,up
CDCA8,4.48359581415554,38.8626097292268,2.61576722898457e-133,1.55091216976703e-130,294.215199374524,up
KIF14,5.48062778644841,38.841456247953,3.07929400221787e-133,1.7463613463013e-130,294.052525894673,up
CKAP2L,4.88935480955397,38.6912700504553,9.82109941745279e-133,5.33776753338559e-130,292.896013841628,up
CDC45,6.03720264283886,38.5155099361639,3.829462570002e-132,1.99806039052424e-129,291.539096519642,up
BIRC5,5.91442787889917,38.4313510533938,7.35676823637318e-132,3.69083403366353e-129,290.888037881014,up
KIF18B,5.64241985888595,38.0902176308132,1.04675702800483e-130,5.05699950862779e-128,288.240172692405,up
KIF11,4.12994976987178,37.7408742003743,1.61105203330396e-129,7.50520097229173e-127,285.513844177354,up
CDCA3,5.01307630733195,37.4680492112251,1.37660439460598e-128,6.19187162870358e-126,283.374264780712,up
E2F7,5.39881042082837,37.385654722184,2.63610752216011e-128,1.13534638517714e-125,282.726300903788,up
SKA3,4.825331218793,37.3827025575849,2.69823197949182e-128,1.13534638517714e-125,282.703069073494,up
KANK3,-4.10181698737209,-37.3670450802727,3.05309564797784e-128,1.24451811350697e-125,282.579835815153,down
GINS1,4.56143508108666,37.3598228696328,3.23218847219068e-128,1.27759595246228e-125,282.522982723238,up
PRC1,4.08822835486466,37.1636453304271,1.52410307429945e-127,5.84717661798884e-125,280.976216113456,up
MYBL2,5.59447497412065,37.1549899014213,1.63221505666049e-127,6.08303234259411e-125,280.907862736042,up
POLQ,5.405482574451,37.1218590210776,2.1219734540808e-127,7.68861714861944e-125,280.646137077158,up
UBE2T,4.22583485689604,37.0586342990898,3.50252060086685e-127,1.23478050588398e-124,280.146301096004,up
ESPL1,4.58268527893494,36.6586971580097,8.43419176509683e-126,2.89514729957692e-123,276.973048073539,up
NCAPG,4.43789099154007,36.5688382159868,1.7284478877894e-125,5.78099339700641e-123,276.257343157383,up
GTSE1,4.89204447543183,36.5036968905342,2.90953725271817e-125,9.48800098111395e-123,275.737880703334,up
DLGAP5,5.57798424276268,36.230504574129,2.59905248901802e-124,8.26879040652466e-122,273.553586828824,up
FOXM1,5.42208015116491,36.2148330349525,2.94774413168527e-124,9.1548510604054e-122,273.428003931728,up
MCM10,5.12232050780192,36.1902495578915,3.59155911797158e-124,1.08949528220515e-121,273.230944079212,up
