#TF	TARGET	EFFECT	PMID
CREB5	DGKG	Activation	21132541
CREB5	DGKG	Repression	21132541
ETV4	CCND2	Activation	9339900
GLI3	SMO	Activation	15072830
LEF1	CCND1	Unknown	10318916;19620402
LEF1	NRCAM	Activation	12183361
PPARG	CCND1	Repression	15041706;15193259;15486348
PPARG	HMOX1	Unknown	17413033
PPARG	VLDLR	Activation	19861583
