,logFC,logCPM,LR,PValue,FDR,direction
RACGAP1,2.77273037188015,5.63174156116603,917.992245957091,1.20383043907551e-201,1.5702764247301e-197,up
KIF23,4.29700125504116,4.8194393948138,820.845823889973,1.58444030230162e-180,1.03337196516111e-176,up
HOXD13,11.7908292882138,2.47377766268081,701.27040305867,1.58287644702745e-154,6.88234679167537e-151,up
KIAA1524,3.63641029425942,4.08966971728274,689.648165286143,5.33092389979756e-152,1.73841428372398e-148,up
CDCA5,4.71585561667472,5.07507126165006,683.165694773832,1.36929778096209e-150,3.5722240509739e-147,up
CD302,-3.22099657326858,6.90430804104524,666.59834278174,5.48741625877132e-147,1.19296429465688e-143,down
PLK1,4.85578292614796,4.99283453150501,666.237786431099,6.57323042895115e-147,1.22487453878913e-143,up
PRC1,4.14938462021664,5.90616415014427,665.940107725955,7.62984510912582e-147,1.24404624504296e-143,up
ARHGAP11A,3.59219922815984,4.80482039797723,656.600237701988,8.19786173256294e-145,1.18814342710612e-141,up
S1PR1,-3.87849483850917,6.53652050646686,651.819347470398,8.98338043102667e-144,1.17179214342312e-140,down
SH2D3C,-3.32291381637267,6.31208883658285,650.975830787337,1.37052652947151e-143,1.62519527731149e-140,down
KANK3,-4.03094025576525,4.81385960345365,648.771416995274,4.13336871723674e-143,4.49297179563633e-140,down
ESAM,-3.30512523044654,6.76974975367117,636.077696505689,2.38225388539766e-140,2.39031689854824e-137,down
ERCC6L,4.49938393700157,2.76568124549819,630.680379227452,3.55504600955948e-139,3.31228715347814e-136,up
ACVRL1,-3.4439356309097,6.94799187106664,629.736217834578,5.7041582710152e-139,4.96033603247482e-136,down
EME1,4.26425607457558,2.49499467364387,612.990124757445,2.50261118910444e-135,2.04025377191739e-132,up
GINS1,4.50165672637021,4.4254144327879,609.143142047843,1.71837396710972e-134,1.31849823688113e-131,up
POLQ,5.41033664774185,3.67065335200381,605.225181535986,1.22261186735871e-133,8.85986066545946e-131,up
E2F7,5.45476329668457,3.71085080433297,599.02662426802,2.72593994207927e-132,1.8236469221908e-129,up
MAD2L1,4.07859338861952,4.8080187202433,598.975850723672,2.79614676815517e-132,1.8236469221908e-129,up
FAM83B,7.31695825533126,4.49398255595984,591.90413667989,9.65458332511627e-131,5.99687547108651e-128,up
EXO1,5.34670939939655,3.63300647790526,589.948236965299,2.57139078541053e-130,1.52460097294977e-127,up
XRCC2,4.31741839152606,2.43330332487344,579.805215259595,4.13476077069049e-128,2.34494867360377e-125,up
UBE2T,4.19755415437214,4.16986693297568,571.894205972265,2.17408823018984e-126,1.18161695310818e-123,up
KIF18A,2.93316619738135,3.58443743463372,567.536038577429,1.92884147282892e-125,1.00639232686321e-122,up
CCNB1,3.87056278367116,5.44014040316876,564.984007977108,6.92529307647095e-125,3.47436626498027e-122,up
LDB2,-3.67498913615563,5.75413509195439,557.47923444843,2.97147784219278e-123,1.4355539619838e-120,down
TTK,5.85166722532069,4.38758732696834,557.139411479369,3.52286541699781e-123,1.64115201783284e-120,up
CLEC3B,-5.49636684110909,7.10416265014843,555.382133703978,8.49508280470817e-123,3.82102965877977e-120,down
TROAP,5.68115083608844,3.99126005005658,553.973115190626,1.72060719996731e-122,7.48120010545787e-120,up
TCF21,-5.30934407453206,5.75751715945019,552.11868286374,4.3560425388907e-122,1.8329102863642e-119,down
HSPB6,-4.40990588785072,6.01501822028928,550.614398877897,9.254086168704e-122,3.77219687451797e-119,down
C17orf53,4.29154866127458,2.98542035938925,549.520701659288,1.60050512807036e-121,6.32636026986355e-119,up
ZWILCH,2.21853911082627,4.68575062825366,546.634361398433,6.79449719352582e-121,2.60668886448091e-118,up
CENPI,4.86155558092497,2.25375529947297,543.563614830061,3.16359074097637e-120,1.17902507500845e-117,up
NEK2,5.38062328290538,4.14762558605277,534.903942748096,2.42146763674367e-118,8.77378440380122e-116,up
MTBP,3.07938516890054,2.96546984341531,533.78368178454,4.24418016360223e-118,1.49624556902777e-115,up
IRX4,9.68640856277992,2.55264895852269,533.595097076897,4.66466979948646e-118,1.60120928590793e-115,up
RAD54B,3.17282095013079,3.00917304557526,524.316384393659,4.86925699376595e-116,1.62857918529956e-113,up
NCAPH,4.92965360865443,4.61352294866934,523.07561633349,9.06576773478195e-116,2.95634685831239e-113,up
NUF2,5.46945905843673,4.07436758667938,519.910480240809,4.42606821439314e-115,1.40813740947668e-112,up
B4GALNT4,6.93647549907727,4.72798120228855,518.292015088452,9.95721279777365e-115,3.09242580319427e-112,up
INMT,-5.92590429398629,7.22182916768676,517.115557079342,1.79512199636586e-114,5.44548170246426e-112,down
FAM105A,-3.33819304708026,5.85375562849741,516.015820809617,3.11429096387711e-114,9.23245712109386e-112,down
GPR116,-4.56580280669027,8.35591891587974,510.32312821323,5.39400396276273e-113,1.56354194867282e-110,down
RAD54L,5.33764030614137,3.54959390629581,510.001960498126,6.33560534500086e-113,1.76905853320209e-110,up
RAD51,4.35308454294258,3.48661818871471,509.98982124461,6.3742526112004e-113,1.76905853320209e-110,up
CCDC69,-3.05819624468349,6.33048489418969,509.234060585193,9.30810755655922e-113,2.52947822849497e-110,down
NOSTRIN,-4.51926340512034,4.27779458380032,504.579253591109,9.58575058919312e-112,2.55176593235582e-109,down
FAM107A,-6.07628282771317,6.98766043840461,503.169162800754,1.94280291992415e-111,5.06838425749811e-109,down
PLK4,3.25208893773222,3.55466700993205,502.896514391397,2.22715698342167e-111,5.69628150818671e-109,up
