,logFC,logCPM,LR,PValue,FDR,direction
KANK3,-4.07802249449432,3.33485283505253,1463.75895185365,2.93573806758869e-320,3.82937673536268e-316,down
LDB2,-3.79175875952334,4.29802727167336,1279.98672723715,2.52587827850631e-280,1.64737781324181e-276,down
SH2D3C,-3.44653427385279,4.96605125125751,1208.70946438615,7.80719869536438e-265,3.39456999274443e-261,down
ACVRL1,-3.4721112941595,5.56652038055321,1193.19347040076,1.83887153996754e-261,4.96784284413251e-258,down
ESAM,-3.41927203734113,5.42873103740933,1193.12364227678,1.90426358637401e-261,4.96784284413251e-258,down
ROBO4,-3.97274122492111,5.08229815407295,1189.20816558127,1.35105993468777e-260,2.93720429801121e-257,down
ARHGEF15,-3.8054343140903,3.70228932179083,1175.13378158494,1.54692478707141e-257,2.88258384607992e-254,down
MYCT1,-3.47692560284769,3.32689690450412,1132.44788251977,2.92829672040163e-248,4.77458780261486e-245,down
CDH5,-3.82824536858962,5.95995314796449,1117.48908465167,5.22106526854898e-245,7.56706392921699e-242,down
CDCA5,4.63652943509294,5.70444374015321,1104.80778064226,2.97812650352891e-242,3.88466821120311e-239,up
CLEC3B,-5.40180564031188,5.37300008856703,1090.88589125721,3.16076142171737e-239,3.74808836226194e-236,down
RAMP3,-3.87265471477477,4.54274192331117,1055.38642004537,1.6427615427102e-231,1.78568179692599e-228,down
NEK2,5.30971896546644,4.89361799341538,1054.20546393816,2.96659696710991e-231,2.97663775684474e-228,up
KIF23,4.25862730284232,5.52986469278581,1046.80909052414,1.20195060381956e-229,1.1198745483016e-226,up
SLC9A3R2,-2.82209605477029,6.26242444687886,1036.00883952968,2.67534030766785e-227,2.32647593154796e-224,down
EXO1,5.3129288687855,4.36301083548673,1035.27096618167,3.87044241542099e-227,3.15537817917196e-224,up
KIF4A,5.22548728335352,5.42593904379608,1024.76060265074,7.45192675874263e-225,5.71781956711993e-222,up
SCARF1,-2.8596401463811,4.09292209575465,1018.64728218229,1.58875164900742e-223,1.15131536164737e-220,down
TEK,-4.37070896597628,4.25912773959683,1007.24740077094,4.77471931124953e-221,3.27797045768099e-218,down
TTK,5.51338100981944,5.06972038065024,1003.84611714115,2.61975244394428e-220,1.70860254394046e-217,up
HSD17B6,-4.5162257945793,3.99632574982686,1001.31585350378,9.29494789781318e-220,5.77349049424167e-217,down
S1PR1,-3.94807789659751,5.13475687451419,1000.17465110123,1.64551954392714e-219,9.75643496862982e-217,down
GPD1,-6.4176283841044,3.22709607640622,996.434143207259,1.06993159730065e-218,6.06790771964771e-216,down
DLC1,-4.25115090877658,6.06363080447672,994.020388611802,3.58114383803057e-218,1.94635167596962e-215,down
RAMP2,-3.4376980448624,4.33096168566119,992.603149595767,7.2791473053835e-218,3.79796789805689e-215,down
NCAPH,4.86211944464641,5.31042100167735,985.006432201841,3.26100649842269e-216,1.63602187559329e-213,up
PTPRB,-4.03060070731954,5.66308856204854,975.791786508641,3.28339675409001e-214,1.58624545408704e-211,down
USHBP1,-3.92006469992413,1.30534935643982,975.379648656888,4.03561296905094e-214,1.8800191274393e-211,down
CSRNP1,-3.71767176567912,5.9794869665441,970.716765626336,4.16370685702038e-213,1.87280662906806e-210,down
KLF2,-3.75998260453623,4.72504648329468,969.853094477252,6.4152981331384e-213,2.78937162828858e-210,down
CCNB2,4.90153146655936,5.69765477706755,969.510333523633,7.61593166134211e-213,3.20458750292085e-210,up
CLEC14A,-3.41966819138246,4.73540740982058,960.030464524081,8.75749200531708e-211,3.56977267866737e-208,down
STARD8,-3.32279173804516,3.42783936703493,959.093109158219,1.40002426593571e-210,5.53391409844405e-208,down
TROAP,5.52490903168648,4.90727244583166,958.898166673357,1.54351493306498e-210,5.92164964320577e-208,up
CENPA,5.49684847754857,4.11977458151794,946.707006903101,6.8954115197562e-208,2.56982136753428e-205,up
RAD54L,5.20342491886434,4.2788144803563,945.749291472128,1.11363988004869e-207,4.03508849870975e-205,up
UBE2T,4.32237483630344,4.97633617607859,931.509794382279,1.38707389209439e-204,4.88999779688627e-202,up
PLK1,4.80684854502021,5.63028406588721,930.017941436393,2.92683779140509e-204,1.00467558292337e-201,up
HJURP,5.38997147583174,5.18347287733862,929.765284791203,3.3214003057325e-204,1.11088065610192e-201,up
KIF11,4.10153640862869,5.83990129150282,927.852468444815,8.65227381925952e-204,2.82150649246053e-201,up
NOSTRIN,-4.49119967843481,2.71026276653281,918.5716404283,9.00771623059231e-202,2.86577196370356e-199,down
