,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.28308354658307,4.57725163319824,700.543438555272,2.27787524611046e-154,2.97126047102648e-150,down
KANK3,-3.14054625392664,3.86093213676607,569.127522631721,8.69168970154312e-126,5.66872002334642e-122,down
SH2D3C,-2.65878214101678,5.26907896652448,556.506059034495,4.83807839100893e-123,2.10359648441068e-119,down
RTKN2,-4.44425473367973,6.13660442560978,537.006559398581,8.44602803376185e-119,2.75424974180974e-115,down
LIMS2,-3.14726203365088,5.44095328157908,532.768063616499,7.05902162500824e-118,1.84155756153215e-114,down
TEK,-3.57559232303347,4.73596685793578,512.424681409363,1.88224366986143e-113,4.09199773827876e-110,down
LDB2,-2.94694925879239,4.82984656241803,503.369508277072,1.75726871211395e-111,3.27454472583062e-108,down
PYCR1,3.770507609319,7.30327982928783,502.6536895252,2.51526670401763e-111,4.10114236090074e-108,up
FGD5,-2.63510905971124,4.98447080017381,498.953782047924,1.60548656760214e-110,2.3268851986447e-107,down
HSPA12B,-3.13184380636864,3.97521667014275,487.913210223943,4.05392545467737e-108,5.28794036308116e-105,down
ROBO4,-3.17387942122711,5.46476276743674,484.529087251307,2.20919439484354e-107,2.61970288057628e-104,down
GIMAP8,-2.67098562633901,4.93512591192155,483.521660685933,3.65968699748888e-107,3.97807976627041e-104,down
S1PR1,-2.88265916415033,5.58308512582596,446.839541006761,3.51499117533381e-99,3.52688806854263e-96,down
ACVRL1,-2.62827864725017,5.92550982013137,444.121961505955,1.37201203854186e-98,1.27832321648143e-95,down
RAMP3,-3.27633636033109,5.04466138262017,439.236160331929,1.58740407957659e-97,1.3804065875998e-94,down
CYYR1,-2.54505303795156,4.4425705029779,430.606708308322,1.1990526321501e-95,9.77527658360368e-93,down
CDH5,-2.81771437160647,6.3617262132588,428.521882030173,3.40880033682897e-95,2.61555244668218e-92,down
PNPLA6,-1.77318299069899,6.92562771720816,428.407198368702,3.61046100425437e-95,2.616380741083e-92,down
SEMA3G,-3.39919221223527,4.42509347077164,419.675389353036,2.87145276185476e-93,1.90483451786697e-90,down
JAM2,-2.71847712246921,3.16286684596122,419.641507583964,2.92062943555193e-93,1.90483451786697e-90,down
USHBP1,-2.93824859693873,1.94300192504361,417.018926370267,1.08722051100474e-92,6.75319254549802e-90,down
RAMP2,-3.01052957750273,4.69966138574298,407.96515541989,1.01639502300091e-90,6.02629849091995e-88,down
CLEC1A,-2.54920561362957,2.15502966053973,401.940024825285,2.08265895892789e-89,1.18113928088067e-86,down
ARHGEF15,-2.80842138130041,4.18893078192509,398.906473378814,9.5275767332788e-89,5.17823795453703e-86,down
GPR146,-2.49721048466245,3.32659730203801,395.773326242585,4.5818459205533e-88,2.39062392750789e-85,down
SPOCK2,-3.6140615592618,7.38433548756663,393.896767333831,1.17369960765781e-87,5.88836064703405e-85,down
TIE1,-2.45107336462784,5.05338070381822,390.466939414347,6.54974119355523e-87,3.16425274550868e-84,down
C16orf59,4.12788194448046,3.03706480084783,388.256935566353,1.98310929188263e-86,9.23845628689893e-84,up
MYCT1,-2.54638604093597,3.83083693701668,386.525789296231,4.72308446904588e-86,2.1244108211805e-83,down
CD101,-3.0098715568599,2.90857688537821,383.482636799394,2.17142815137807e-85,9.44136960219186e-83,down
EMP2,-2.74362289148568,9.21552578942265,383.236561823131,2.45651054646948e-85,1.0336362441338e-82,down
CLEC14A,-2.60221564860902,5.27600369603513,381.805595012124,5.03335148382619e-85,2.05171989859465e-82,down
OTUD1,-1.90275841257665,4.94473864560992,377.451825604194,4.46420060015348e-84,1.76457674631521e-81,down
SRPK1,1.84214658319712,6.69230665953196,374.541973980162,1.91991343794128e-83,7.36569143661943e-81,up
CALCRL,-2.92271221649775,6.04490863791258,373.461296540636,3.30044050650018e-83,1.23002702762253e-80,down
FEZ1,-2.47183914376196,3.38615851101424,370.377088500596,1.54913891109918e-82,5.61304665454936e-80,down
TMEM177,1.9341931522506,3.57048167816599,369.862167598441,2.00541614252125e-82,7.06990490893167e-80,up
LYVE1,-3.5978042573988,4.09121332459904,369.62427271156,2.25944457729952e-82,7.75584080691973e-80,down
GPIHBP1,-4.58996913209282,4.03374798633793,367.936102380325,5.26710459784799e-82,1.76164390703408e-79,down
GIMAP6,-2.20137726827139,5.03593006708909,366.21702138642,1.24703059792604e-81,4.06656677983683e-79,down
CAV1,-3.81381390493029,8.64162614644248,357.666753869216,9.07081106585937e-80,2.88584535470902e-77,down
PTPN21,-2.60264610817667,5.25623309679854,357.381790168129,1.04639902022182e-79,3.24981638566035e-77,down
FOXF1,-2.97852830322643,3.92337935790025,356.374749706716,1.73373510352063e-79,5.25926527681934e-77,down
EPAS1,-2.65104413476436,9.53565675958846,354.432626419975,4.59081177075184e-79,1.36096701676561e-76,down
EDNRB,-3.69803496385659,5.63952782189964,351.439265195613,2.05930669360073e-78,5.96924366918398e-76,down
ERG,-2.35798179900284,4.72243331721737,350.718974343969,2.95510699291849e-78,8.37965556861494e-76,down
TRPV2,-2.12911167885169,4.90864724564362,347.07973517121,1.83263575700173e-77,5.08614910943203e-75,down
THSD1,-2.4552360599219,2.82680880589619,345.161134170894,4.7961405078093e-77,1.30335118299718e-74,down
PDLIM2,-2.0932160798353,5.42685094559895,343.868717004908,9.16952137410808e-77,2.44096401640542e-74,down
STARD8,-2.34973809422725,3.97063337027979,341.754898301011,2.64659706553867e-76,6.90444242457728e-74,down
DPEP2,-2.766253467618,2.62547970332716,338.518077012744,1.34155692134977e-75,3.43122911413459e-73,down
ECSCR,-2.57815823387014,2.49006367477628,337.350825306337,2.40890826187445e-75,6.04265372459429e-73,down
PRX,-3.47802668289089,5.6039548359865,334.453070982077,1.03020088964349e-74,2.53546045368107e-72,down
AGER,-5.69801885307305,8.62895090386254,332.237525154983,3.12936560176374e-74,7.55915646470487e-72,down
C10orf54,-1.81011459408158,6.03147786189959,331.676913814218,4.14530082766128e-74,9.8311461810934e-72,down
FAM107A,-4.43033019267102,5.77155181355293,325.837947653099,7.75006100496274e-73,1.80521063837025e-70,down
TAL1,-2.84705463676209,2.3952590864658,321.816670777899,5.82363916789955e-72,1.33269384747512e-69,down
FMO2,-3.6220953588143,6.38325197904263,320.205814918799,1.30638245690837e-71,2.93800909791601e-69,down
DNAH14,2.88134256389817,3.03230287822014,319.388934099832,1.96790901192877e-71,4.35074663586423e-69,up
IQGAP3,4.3411632627478,4.88921761892202,316.590612926978,8.00851176744624e-71,1.74105045824281e-68,up
CLEC3B,-4.31533318168631,6.01866316358195,316.122616228625,1.0127336570335e-70,2.1655898069418e-68,down
ERCC6L,3.7956829977647,2.47839931183481,312.542033078657,6.10192785531045e-70,1.28376688620435e-67,up
STARD13,-2.0687291592962,4.4483319043209,311.921790739386,8.32874604663884e-70,1.72444703860884e-67,down
UHRF1,4.11036106427537,3.89079868312493,310.605716081636,1.61166186553355e-69,3.28476833969057e-67,up
FHL1,-3.48226100979101,6.64521069395023,309.318872957152,3.07329430393417e-69,6.16739244623343e-67,down
PPAT,2.28285217143194,4.55272837524961,309.275846996738,3.1403433508974e-69,6.20646040440996e-67,up
PTRF,-2.25048254844537,8.23465838448819,306.548459165883,1.23348256506151e-68,2.40142486248692e-66,down
