id	filename	md5	size	state
001a2541-a9d3-4811-97bf-d8fcd89b4c66	001a2541-a9d3-4811-97bf-d8fcd89b4c66/d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.htseq.counts.gz	09d3512ca778fd12750efabeb948ef0a	257725	live
0090d3a6-7151-4777-9dcd-2d1182fc8d41	0090d3a6-7151-4777-9dcd-2d1182fc8d41/ce9af9d2-2bda-4776-a4d8-0bf394d4cbd3.htseq.counts.gz	8da87b158b9700086486ae304a1a6fcc	251862	live
02346d84-b666-416c-a537-fde40133460b	02346d84-b666-416c-a537-fde40133460b/bcd07e88-975d-4f4b-9b2e-33ad0f2211f3.htseq.counts.gz	2dc9642eecfbd356e02a1957a9c59af9	252883	live
02447964-13d3-4eef-a189-0c27ac20eafc	02447964-13d3-4eef-a189-0c27ac20eafc/5df5820f-91ff-44e0-a899-118cd3faef94.htseq.counts.gz	8bbf190f1dda137652a15879b70a8f24	260719	live
0255b5b2-56ea-4e04-9e1b-838235eac0a0	0255b5b2-56ea-4e04-9e1b-838235eac0a0/fe8a279b-cfbb-4a96-9e30-5589bddb7911.htseq.counts.gz	25beaa520c65ab6549d885efa12f225a	254087	live
025cab33-0b42-440c-9cca-a746e7d4022b	025cab33-0b42-440c-9cca-a746e7d4022b/e81fc37c-f65b-4e69-b03a-e522fc76ec08.htseq.counts.gz	6501445974283b502c137673f75f15cf	257414	live
044bcb07-5c54-4d1b-9d81-5e3ee2bcbc26	044bcb07-5c54-4d1b-9d81-5e3ee2bcbc26/ae42d69a-f6a4-4d03-9f4a-869b71fef8f8.htseq.counts.gz	acf05ccbee309dd3fa2f5bdb66bf3f65	254071	live
04bee3c2-78f8-4345-b712-36f7b3a59753	04bee3c2-78f8-4345-b712-36f7b3a59753/c021cbb0-388a-4c5d-8cf3-edc5335a0113.htseq.counts.gz	032f1cd7f9039ba02a4583615940f148	257041	live
04d7ee0b-95ce-4af2-8140-547e9c6bd187	04d7ee0b-95ce-4af2-8140-547e9c6bd187/a0cb35f5-0d64-4fb9-9747-acf4cfc88012.htseq.counts.gz	88f789189fa46973330d6b898c37de2f	256842	live
05836a21-86bf-462e-a629-05b80e332980	05836a21-86bf-462e-a629-05b80e332980/3d82dd3a-3603-41f9-96c0-e5d839db48d2.htseq.counts.gz	77d74af1f3019e1cdc7acc9133fc9de1	256490	live
0611c0d9-759f-4fad-80a4-35692c13b2c7	0611c0d9-759f-4fad-80a4-35692c13b2c7/029d304b-56ee-403e-ad39-0c2ce07d5a09.htseq.counts.gz	5a0f5f4273d1416ac843a82e40077a3a	249846	live
06f54294-c354-450a-a812-714dddc2fc4b	06f54294-c354-450a-a812-714dddc2fc4b/4f77a97a-1b60-45cc-8dce-91b47d76a460.htseq.counts.gz	f0852004611b1981a2651929d3631f61	256986	live
072d2c9f-071f-4d7f-b759-661b315d077d	072d2c9f-071f-4d7f-b759-661b315d077d/61bde405-05d4-47fe-b715-e248d2fb85ba.htseq.counts.gz	f92b2273e5eab4aea588a7ab163dc897	254581	live
07e690a6-5057-499c-b0b8-148c9c919743	07e690a6-5057-499c-b0b8-148c9c919743/b0122c82-effe-4e54-bc7b-b1e98c788614.htseq.counts.gz	663665ab33b54e723de2cbb8e0853184	254980	live
0813779f-3768-431a-ba86-53ddedfabc09	0813779f-3768-431a-ba86-53ddedfabc09/ac60c53a-5c3b-4a23-86a5-e52906ee9ff8.htseq.counts.gz	3235f97d55e42257a6d07f7f034c8c66	249694	live
087b7930-d706-4ff0-bf37-ef30b40f525f	087b7930-d706-4ff0-bf37-ef30b40f525f/045e2535-012c-4cec-b386-9d6f62b91829.htseq.counts.gz	0201b85c8e141d34a088516bceccdcdf	265993	live
