"","coef(group_low)","exp(coef)(group_low)","p-value(group_low)","fdr(group_low)","coef(stageii)","exp(coef)(stageii)","p-value(stageii)","fdr(stageii)","coef(stageiii)","exp(coef)(stageiii)","p-value(stageiii)","fdr(stageiii)","coef(stageiv)","exp(coef)(stageiv)","p-value(stageiv)","fdr(stageiv)","coef(age>65)","exp(coef)(age>65)","p-value(age>65)","fdr(age>65)","coef(gendermale)","exp(coef)(gendermale)","p-value(gendermale)","fdr(gendermale)"
"MUC5B",0.143,1.15,0.616,1,1.17,3.24,0.00296,0.0163,2.24,9.44,8.49e-08,9.34e-07,1.16,3.2,0.0139,0.051,0.233,1.26,0.421,0.926,0.311,1.37,0.278,0.765
"MUC21",0.211,1.24,0.44,0.968,0.678,1.97,0.0507,0.186,1.38,3.98,6.4e-05,0.000704,1.26,3.52,0.0147,0.0808,0.223,1.25,0.416,0.968,0.043,1.04,0.874,1
"KCNK5",0.311,1.37,0.234,0.587,0.96,2.61,0.00756,0.0277,1.42,4.15,1.3e-05,0.000143,1.48,4.38,0.00172,0.00946,0.296,1.34,0.267,0.587,-0.255,0.775,0.335,0.614
"ICA1",0.143,1.15,0.59,1,0.902,2.46,0.0159,0.0583,1.5,4.47,3.01e-06,3.31e-05,1.39,4.02,0.00111,0.0061,0.311,1.36,0.252,0.693,-0.00242,0.998,0.993,1
"ITGA6",-0.859,0.424,0.00198,0.0109,0.954,2.59,0.0166,0.0609,2.03,7.63,7.29e-10,8.02e-09,0.937,2.55,0.0742,0.204,0.17,1.18,0.539,0.988,-0.169,0.844,0.535,0.988
"ALDOC",-0.0898,0.914,0.743,1,0.739,2.09,0.0442,0.162,1.54,4.68,1.66e-05,0.000183,1.21,3.35,0.027,0.148,-0.0938,0.91,0.731,1,-0.00735,0.993,0.979,1
"AQP5",0.401,1.49,0.204,0.449,0.802,2.23,0.0345,0.126,2.11,8.22,6.25e-08,6.88e-07,1.22,3.39,0.0326,0.126,0.318,1.37,0.292,0.535,0.415,1.51,0.174,0.449
"ARSE",-0.0949,0.909,0.71,1,0.734,2.08,0.0225,0.102,1.44,4.21,2.26e-05,0.000249,0.938,2.55,0.0278,0.102,0.134,1.14,0.619,1,-0.0576,0.944,0.816,1
"FABP5",-0.816,0.442,0.00349,0.0128,0.643,1.9,0.0983,0.27,1.84,6.31,1.16e-07,1.28e-06,1.53,4.61,0.00334,0.0128,0.203,1.22,0.471,1,-0.117,0.889,0.673,1
"SLC2A9",-0.136,0.873,0.611,1,0.564,1.76,0.12,0.66,1.3,3.68,4.63e-05,0.000509,0.564,1.76,0.372,1,0.0713,1.07,0.796,1,-0.0938,0.91,0.727,1
"SPDEF",-0.0795,0.924,0.762,1,1.09,2.97,0.00308,0.0113,1.52,4.55,4.84e-06,5.32e-05,1.64,5.17,0.000754,0.00415,0.386,1.47,0.16,0.44,-0.0446,0.956,0.867,1
