,logFC,t,P.Value,adj.P.Val,B,direction
ACVRL1,-3.60601367055299,-37.3813706055894,1.31234967008003e-128,1.71182890965239e-124,283.420594058023,down
KANK3,-4.08379172618971,-36.2112921659672,1.5149803447585e-124,9.88070180851495e-121,273.315542268583,down
SH2D3C,-3.52105325806553,-35.6029642008927,2.0965291942905e-122,9.11570893677507e-119,269.111751492231,down
LDB2,-3.78864366934685,-35.3652574946159,1.45738899308221e-121,4.75254550644109e-118,267.041141266489,down
S1PR1,-4.08237000679813,-34.4675130500635,2.3522010290813e-118,6.1364220446673e-115,259.811699979402,down
ESAM,-3.43631861248421,-33.6278890477105,2.57854459625765e-115,5.60575595226412e-112,252.872441091184,down
TPX2,5.38858058942434,33.5921086997926,3.481550776062e-115,6.48762118899324e-112,252.506725952397,up
CLEC3B,-5.67654533022061,-33.138981533045,1.58194532451073e-113,2.57936185161475e-110,248.515323242626,down
INMT,-5.76248500363976,-32.8297737849677,2.17078340219305e-112,3.14618874424513e-109,245.895678019384,down
ROBO4,-3.95216822887373,-32.674480082343,8.12515749891785e-112,1.05984554415884e-108,244.77377575016,down
SCARF1,-2.92353269959047,-32.6228197964033,1.26127495665552e-111,1.49564277587405e-108,244.339833652856,down
SLC2A1,5.74467499039981,32.5313398177699,2.75010859165104e-111,2.98936803912468e-108,243.626960629233,up
CDH5,-3.8617056056908,-32.4027010570249,8.24468394288948e-111,8.27258902700387e-108,242.528795522687,down
TEK,-4.51877287129465,-32.110845058771,1.0030697150976e-109,9.34574383123793e-107,239.763495637726,down
DLC1,-4.35755874201816,-31.4048882089033,4.41852208438576e-107,3.84234680458185e-104,233.954871787318,down
STARD8,-3.40281683194552,-31.2711030820501,1.41048108458995e-106,1.14989470421196e-103,232.581989500789,down
RAMP2,-3.47566706415212,-31.1642923095806,3.56872941325283e-106,2.73826508626294e-103,231.814779723321,down
GIMAP6,-3.45071769472955,-31.0876358139741,6.95383812262043e-106,5.03921469285894e-103,231.203220007298,down
ARHGEF15,-3.78549232770891,-30.874695478446,4.45304435189044e-105,3.05713213295046e-102,229.095483214977,down
GNG11,-3.58186385197178,-30.8211380348289,7.10999457388341e-105,4.63713846108676e-102,228.883735512379,down
PRC1,4.08444623765842,30.7462868940183,1.36814974648178e-104,8.4981644252897e-102,228.232956368571,up
EDNRB,-4.91970240254341,-30.6970240963174,2.10564049895481e-104,1.24845339401666e-101,227.717316744888,down
CLEC14A,-3.42145658865342,-30.610600364432,4.48951520873089e-104,2.54614071229069e-101,227.035537274007,down
MYCT1,-3.46004537573466,-30.5989333199213,4.97301199905425e-104,2.70283202148599e-101,226.667017892477,down
PERP,3.54748383424047,30.1811246655017,1.95944669750232e-102,1.02236090888881e-99,223.277323976608,up
SNRK,-1.79099824824339,-30.165029969195,2.25829766308063e-102,1.13297056604707e-99,223.131869919585,down
GPR116,-4.528705562797,-30.147301247623,2.64060633034835e-102,1.27570625826162e-99,222.98266828474,down
GIMAP8,-3.73848860251687,-30.0594951811172,5.73261787155952e-102,2.67058098273651e-99,222.159251710275,down
NOSTRIN,-4.60833911095785,-29.9325442387137,1.76118979040682e-101,7.92171021588504e-99,220.025594244157,down
SLC39A8,-4.37989518923874,-29.7903925487207,6.20349224639885e-101,2.69727842873422e-98,219.823708182861,down
TRPV2,-2.99769243194284,-29.7245778563146,1.11217579270285e-100,4.54358422576102e-98,219.254352456194,down
PTPRB,-4.08496306139097,-29.7243276419185,1.11464807746361e-100,4.54358422576102e-98,219.246471524831,down
CD302,-3.13380913682364,-29.6053969511657,3.2053282229991e-100,1.2669788285091e-97,218.194581942877,down
TOP2A,5.05323546918086,29.5024510408982,8.00849260282935e-100,3.07243463268547e-97,217.28503192491,up
KLF2,-3.79616429516565,-29.4111319241431,1.80625622512816e-99,6.73165891444905e-97,216.434137172514,down
CCNB1,3.89321395274188,29.1209527901165,2.4104530589604e-98,8.7338749169665e-96,213.885880200106,up
MCM4,3.24663103487921,29.0518452898718,4.47449072371357e-98,1.57743937838162e-95,213.25377155991,up
KIF11,4.12809444174835,28.989225924877,7.84116066445977e-98,2.69158157124245e-95,212.688360029575,up
KIF23,4.27817083748844,28.8024880698276,4.18922142441149e-97,1.36610510650059e-94,210.969505929664,up
SLC9A3R2,-2.73965321739828,-28.7951653555453,4.47412277857003e-97,1.42342579326018e-94,210.951607178524,down
HSD17B6,-4.64162046292245,-28.8104671046464,3.8994269306793e-97,1.30420833035335e-94,210.90470358004,down
CENPF,4.78390791619955,28.4952454850925,6.65901632053606e-96,2.02000485779238e-93,208.277599284073,up
TCF21,-5.39998085596046,-28.5387460894398,4.49816776421736e-96,1.39700238848693e-93,208.121468756626,down
ICAM2,-3.15195361762643,-28.4641208708189,8.81803488110048e-96,2.61414652247897e-93,207.996815648717,down
CSRNP1,-3.53762626702956,-28.3349581749356,2.83152946407521e-95,8.0292326803037e-93,206.822494079421,down
