,logFC,t,P.Value,adj.P.Val,B,direction
ATP5EP2,4.85803598907691,16.8376671025571,1.21720001030666e-53,1.73633581470245e-49,111.118640897532,up
ADCY4,-4.66133639016195,-16.706872116632,5.84437196376606e-53,4.16849830315614e-49,109.566338730209,down
ANO2,-6.25604251871265,-16.6428665661409,1.25706893128235e-52,5.97736276824758e-49,108.808574491697,down
SHANK3,-4.49478363854791,-15.7938146920822,2.87285863353763e-48,1.02453321018536e-44,98.8789034579783,down
MEIS1,-4.13051087906737,-15.6579380046286,1.400268893723e-47,3.80375261848338e-44,97.3120298304423,down
RASGRP2,-4.15941796519584,-15.6382182714786,1.76121862506661e-47,3.80375261848338e-44,97.0851635712392,down
FAM71D,4.1202979894609,15.6332221665884,1.86654527370373e-47,3.80375261848338e-44,97.0277073640297,up
NOTCH4,-4.46921545114819,-15.5826050811405,3.3603762350595e-47,5.99197087414047e-44,96.4460955533356,down
PLEK2,5.8067598944309,15.3585645378439,4.48580344979217e-46,7.10999846792059e-43,93.8827300884857,up
EPCAM,4.44739798757634,14.9458265993436,5.06048400034152e-44,7.21878042648718e-41,89.2086445368934,up
TAL1,-5.13989977828695,-14.7722901585421,3.61979149321005e-43,4.69421142278558e-40,87.2627798692021,down
SVEP1,-5.36971195735903,-14.7376387292972,5.35418717432346e-43,6.36479000347701e-40,86.8756435557095,down
BTNL9,-7.9132550713143,-14.620421437825,2.00567965990543e-42,2.2008477191193e-39,85.5695849931892,down
EDARADD,4.14008096602401,14.5888475021121,2.85990287216206e-42,2.91403674795655e-39,85.2187203710124,up
NACA2,4.07804858139614,14.538957646838,5.00578272778037e-42,4.76049937411913e-39,84.6651392489256,up
LCAT,-3.66291244593404,-14.5242318641239,5.90403995276106e-42,5.26382062038353e-39,84.5019334494679,down
PEAR1,-4.31971083704207,-14.4978357067379,7.93480009484061e-42,6.65823078546478e-39,84.209605313397,down
STARD9,-4.90750531331364,-14.4738619943063,1.03760837658148e-41,8.22304638440823e-39,83.9443507432709,down
ABCA9,-5.60040476786851,-14.4497147072597,1.3591622183304e-41,1.02044468655174e-38,83.6774129778758,down
LGI4,-5.07784652035017,-14.3808767972166,2.93032913094696e-41,2.07192351611556e-38,82.9177533633349,down
ALG1L,7.04039272177001,14.3772810076546,3.05015028660544e-41,2.07192351611556e-38,82.8781257514504,up
ADAM33,-6.01934080901803,-14.2327845507175,1.51984833336903e-40,9.85483476159507e-38,81.2901426379209,down
GRASP,-4.70437996846155,-14.1298889121605,4.74407145769348e-40,2.94235562365206e-37,80.1646898156244,down
ARG1,-7.6905480636982,-14.1133177230281,5.69617298062673e-40,3.38566281536001e-37,79.9838576333138,down
SLC25A10,4.01352726342559,14.0871977240552,7.59771050248615e-40,4.3352536127186e-37,79.6990627405302,up
NPHP3-ACAD11,-2.4913017874516,-14.0328720659002,1.38186021395746e-39,7.58162921234737e-37,79.1076693249974,down
LSR,3.62435612761798,13.9902118623162,2.20838631799625e-39,1.16676410467469e-36,78.6441584619589,up
ATG16L2,-3.39738267706257,-13.9205814122148,4.7388692660345e-39,2.41428464571365e-36,77.8893069768412,down
NPIPB5,-3.84748985089907,-13.8723348677667,8.03339856354813e-39,3.95160105203497e-36,77.3675161993216,down
TBX2,-4.78178826073311,-13.8625208801554,8.94277634370701e-39,4.25229015143268e-36,77.2615020528614,down
MYO15B,-4.59121945526868,-13.7809526512211,2.17694305084035e-38,1.00174492323347e-35,76.3820179174551,down
SMIM22,5.93091554438075,13.7676180261773,2.51703479807617e-38,1.12204691857989e-35,76.2385218222409,up
IL18RAP,-5.19592603738005,-13.7576219565946,2.80624223431912e-38,1.20400741687942e-35,76.1310043532938,down
GSKIP,2.51802466207043,13.7555663769678,2.86969871531021e-38,1.20400741687942e-35,76.1089001079213,up
ABCA10,-5.47140635717883,-13.7386716386071,3.44842600323667e-38,1.40547991246203e-35,75.9272974497005,down
PNISR,-2.80355573835201,-13.6923749389409,5.70126404068619e-38,2.2591258761219e-35,75.4303050497599,down
PRR19,4.545063597521,13.6581493034945,8.26270122982939e-38,3.18560629847341e-35,75.0635131473309,up
EZH1,-2.24894809121747,-13.642529655737,9.78567645711542e-38,3.67349143844083e-35,74.8962946488283,down
PLP1,-9.50081995869061,-13.5841776437172,1.83921589970506e-37,6.72728584853659e-35,74.272574530262,down
ZNF83,-3.23822579345257,-13.5618858485482,2.33962308696397e-37,8.34368083388526e-35,74.0347073374788,down
SPINT2,2.95832761360845,13.5555739416279,2.50449920563895e-37,8.6288874915335e-35,73.9673965216714,up
MUSTN1,-4.16967522665752,-13.5542480838535,2.54057675881113e-37,8.6288874915335e-35,73.9532597489607,down
NPR2,-2.70738383179467,-13.5510654836087,2.62930430401853e-37,8.72256416205218e-35,73.9193289930844,down
OCIAD2,3.80942489174063,13.5284074957677,3.35677041219278e-37,1.08828022568023e-34,73.6778983797933,up
SERINC2,4.02567673450414,13.5070469376472,4.22507841181899e-37,1.33934985654662e-34,73.4505075471083,up
NPIPA1,-2.76869146152603,-13.5033649668127,4.39590070563435e-37,1.36320703404074e-34,73.4113327749526,down
NPHP3,-2.5169223739588,-13.4877177560379,5.2019717551974e-37,1.57885376782746e-34,73.244921819523,down
SETSIP,3.97060748935048,13.4641138903014,6.7046716005569e-37,1.9925445912905e-34,72.9941034073627,up
IFFO1,-3.08809588164577,-13.4489951187013,7.88697593961728e-37,2.2960757505845e-34,72.8335838405834,down
PEAK1,-2.98527894189762,-13.4440322306492,8.31866632244994e-37,2.37331550179497e-34,72.780914688729,down
DCTPP1,2.95066027841833,13.4375656610551,8.91664609966501e-37,2.49403836493571e-34,72.7123046397789,up
GFOD1,-4.01906955510635,-13.4232893872712,1.03927220921424e-36,2.85100347393099e-34,72.5609024197608,down
NAV3,-4.6072194781342,-13.4084068562859,1.21909819515512e-36,3.28121429318637e-34,72.4031712362961,down
