,logFC,logCPM,LR,PValue,FDR,direction
A2ML1,6.79908527690176,2.59481441333476,37.6026628649594,8.67260042907576e-10,2.05645155420586e-09,up
A2M,-1.70504684973611,10.7794644596712,157.941214784016,3.18776136271939e-36,3.70598566981388e-35,down
AADAC,-1.189777279107,3.03524253636614,14.1206867946292,0.000171447885863464,0.000268406891887064,down
AATK,-1.82039987130697,4.6946290142777,106.213203397872,6.62140105279004e-25,4.28633028945873e-24,down
ABCA12,6.91041499833868,3.67146199488741,206.870258363032,6.61775406166372e-47,1.26944094088738e-45,up
ABCA3,-1.9975398125714,8.87642843670979,132.997782275955,9.05128376308226e-31,8.05904064202355e-30,down
ABCA4,4.52637572455779,4.29013807895989,102.630049876261,4.03959117194811e-24,2.49490659312932e-23,up
ABCA6,-1.67339386042831,2.82753369586804,121.072232513801,3.68468772248109e-28,2.84565225885395e-27,down
ABCA8,-3.09422671748371,4.22332051356228,260.088550814064,1.64139909977977e-58,4.97916508314588e-57,down
ABCA9,-2.20768100483216,1.91772249785123,248.33920903287,5.977393163822e-56,1.65891737082754e-54,down
ABCB1,-1.84912912123164,2.33157039536065,123.229846139513,1.24195409198727e-28,9.82416566154151e-28,down
ABCB4,3.00929180754799,1.20622213002136,88.8086161388241,4.34917504716495e-21,2.19543910728666e-20,up
ABCB6,2.15866977183585,5.61887957253567,155.548218554379,1.06265559806646e-35,1.20742853843022e-34,up
ABCB9,1.53018656757173,3.24375889865728,127.970142123927,1.13944300917245e-29,9.53360783299898e-29,up
ABCC2,6.42703357652731,4.42582318139564,107.636296152067,3.22916921016366e-25,2.1211001214337e-24,up
ABCC3,2.69382492162549,8.01829878429794,167.546920190527,2.54077317160339e-38,3.26199264275537e-37,up
ABCC9,-1.01003123000589,4.38852342642161,40.0333627034365,2.49662109766695e-10,6.17012610798932e-10,down
ABCG1,-1.4435422431117,5.74980096285824,146.893323802255,8.28039835047235e-34,8.63556020350104e-33,down
ABCG2,-2.23328510922887,2.92094304478675,308.997088836549,3.61163008129509e-69,1.68250367072904e-67,down
