,logFC,logCPM,LR,PValue,FDR,direction
A2M,-1.49146737627288,11.4380962529886,34.6016951377064,4.04553842818616e-09,2.52972211204508e-08,down
AATK,-2.10482209629342,5.33614924893182,51.8405621443013,6.01953230780067e-13,6.83366226483481e-12,down
ABCA12,6.07973712157941,2.53853015074027,78.3776071331232,8.51115294730729e-19,2.26108918624595e-17,up
ABCA3,-1.93941591917296,9.47121318653586,45.2358202054203,1.74680718910962e-11,1.59115593399064e-10,down
ABCA4,4.44311240007015,3.6188207595541,58.4531095992176,2.08194272767799e-14,2.95183271085128e-13,up
ABCA8,-2.29710380929998,5.25942553672594,39.1660099795535,3.89258181550496e-10,2.88985982933675e-09,down
ABCA9,-1.29108255289308,2.85497363366534,15.0663027870146,0.000103799823559762,0.000298690690164028,down
ABCB1,-1.49173563672887,2.47112107738556,22.8591246910877,1.74319789233799e-06,6.93028750614348e-06,down
ABCB6,1.98217222389818,4.92055123091216,66.6768175704046,3.19874845272287e-16,5.7790131325924e-15,up
ABCB9,1.34972397660619,2.74654690333518,41.017440686059,1.5087681549089e-10,1.19564834827653e-09,up
ABCC2,5.81375031702719,3.2133123901365,59.7065360086395,1.10110254412212e-14,1.64333885417951e-13,up
ABCC3,2.53258040440261,7.26758049129835,89.1436753354988,3.67154974263342e-21,1.35287273567543e-19,up
ABCG1,-1.39812354279574,6.28197264955888,53.5282772571483,2.54897366065284e-13,3.05595702477534e-12,down
ABCG2,-2.12009645602007,3.54929366199108,84.3845152366475,4.07325546638559e-20,1.31840060306535e-18,down
ABHD11,1.24739530308436,5.16456176935617,37.1573152003362,1.08973183073857e-09,7.51690216824641e-09,up
ABI3BP,-2.39937332612482,6.49821703884371,68.4640080152864,1.29214586223364e-16,2.48595141990791e-15,down
ABI3,-1.22910513786895,4.76289399749177,46.682274180765,8.34807154334639e-12,7.98330243485413e-11,down
ABLIM3,-1.43338301237855,5.12776737638392,36.24623288927,1.73895823489223e-09,1.16025428214497e-08,down
ABTB2,1.46506794120513,3.3506991905748,45.1697018935199,1.80678839276702e-11,1.64349705685167e-10,up
ACAD8,1.04807290109415,5.3585084049588,32.2362304519222,1.3652115724175e-08,7.8276130771929e-08,up
ACADL,-3.30028286495711,3.94905002621257,115.568512631593,5.9082214492984e-27,4.48063026654932e-25,down
ACBD7,1.17594146510933,1.46891335397078,11.9037506795613,0.000560210287787688,0.00138870828466412,up
ACE2,1.53567163042392,2.68199703902372,15.1179790115132,0.000100996827411535,0.000291074374007083,up
ACER2,1.216181138008,2.5226566604657,17.3363506600033,3.13139238484416e-05,9.8900441326652e-05,up
ACHE,1.93569375517468,3.5354500785723,28.087321535102,1.15963062699861e-07,5.63990376531317e-07,up
ACOT11,2.01652041521142,3.12468976195788,68.7884039483694,1.09615342416041e-16,2.11512208058407e-15,up
ACOT1,-1.1856238150582,4.85599153476762,24.763106077663,6.4826496470756e-07,2.77335788771578e-06,down
ACOXL,-1.30590915728262,3.13327976148295,14.0653486670454,0.000176566927226568,0.000485586970007032,down
ACP5,-2.30121763857011,7.97446212607684,86.2568896642629,1.58015930368488e-20,5.35366180708198e-19,down
ACP6,1.35554365455231,4.32915708353878,47.653287735393,5.0866859402908e-12,5.02657056099646e-11,up
ACRC,2.62465260125262,1.78624418968583,28.7469641760952,8.24791095681353e-08,4.12363934536894e-07,up
ACSS3,-1.91133844244878,3.80123657530617,77.8618495378166,1.10505227374516e-18,2.88746352793966e-17,down
ACTG2,-1.50560918832507,5.00214605655953,27.7296171852477,1.39510385477422e-07,6.6952666231328e-07,down
ACTN2,-3.54218958693334,1.38873891560989,165.528647408156,7.01179494052129e-38,1.49937464269114e-35,down
ACTR3B,1.02479660891064,2.85959469592626,36.8380257705102,1.28362047566995e-09,8.77544312612099e-09,up
ACVR2B,1.05088745234176,4.15270464050006,33.2842518554092,7.96248485614731e-09,4.72747621591195e-08,up
ACVRL1,-2.8037511359625,6.9399761651036,248.860386397737,4.60137838249123e-56,6.98286878055592e-53,down
ADAM12,3.29594730128021,4.3773639527273,56.0940057374807,6.90874304021899e-14,8.92253903134817e-13,up
ADAM15,1.17409971473849,8.20363313377638,44.128599066881,3.07495326083363e-11,2.69917162411265e-10,up
ADAM19,1.32789425163788,4.93341390691582,22.9719290964741,1.64384267447928e-06,6.5552686780519e-06,up
ADAM28,3.30905137171863,4.89964842906229,72.7695126069084,1.45710452602737e-17,3.20513852234417e-16,up
ADAM6,2.34590255370275,11.8147750758527,27.5458112757037,1.53417261087564e-07,7.29556964500976e-07,up
ADAM8,2.50331688285117,6.1652186998744,74.9580467994904,4.80823459284906e-18,1.15930890996531e-16,up
ADAMDEC1,2.90833697811031,2.64504450676131,26.6898000063454,2.3887920357541e-07,1.09918033314749e-06,up
ADAMTS12,2.50585024647271,3.20484032543068,48.0274181822923,4.20300475328832e-12,4.21398877800867e-11,up
ADAMTS14,3.89235877080159,3.05163962110263,87.1769322178692,9.92344770800227e-21,3.45177205075151e-19,up
ADAMTS16,1.67757895768587,1.66975559167197,10.1441274933706,0.00144761665192463,0.00328509248568283,up
ADAMTS1,-1.969606392592,6.90577321290452,56.4947119158893,5.63497137979188e-14,7.37977577088406e-13,down
ADAMTS6,1.08624065396039,1.19567720270192,12.6023586647918,0.000385260281945377,0.000984973562856819,up
ADAMTS8,-2.83807988786602,5.03417975577374,55.0638879676283,1.16674988431062e-13,1.45637181731557e-12,down
ADAMTSL3,-1.96578958175228,4.58537062414505,60.7535495674719,6.468637678924e-15,9.95010729762791e-14,down
ADAMTSL4,-1.34110236969971,6.92568157622445,15.8392419724495,6.89574554013311e-05,0.000204799874374992,down
ADAMTSL5,1.6592485989979,2.01475902252452,20.2314047655774,6.8617187205396e-06,2.45107811791384e-05,up
ADARB1,-1.50290790605927,5.72237353247398,44.4884858642614,2.55857541515228e-11,2.2734371740631e-10,down
ADAR,1.09325464082436,9.06882479953124,37.6422002997267,8.4985819492918e-10,5.97370333798445e-09,up
ADAT1,1.29657977525822,4.31806993192298,46.2459280130699,1.0430309454372e-11,9.844642295429e-11,up
ADCK5,1.55212148997214,3.38064884708862,66.9381128157775,2.80165693310182e-16,5.09690558373502e-15,up
ADCY4,-2.36416725555979,3.92843344727997,134.917633871045,3.44153639436818e-31,4.27537149791795e-29,down
ADCY8,-2.30624701859789,1.17487791927601,9.12034711712714,0.00252781992799131,0.00543031672277975,down
ADC,1.56937018813746,2.61975132691734,37.2882326989975,1.0189759401893e-09,7.06619998077045e-09,up
