,logFC,logCPM,LR,PValue,FDR,direction
STX11,-3.52099153229266,4.57725163384255,921.62267064123,1.95602049977506e-202,2.55143313990659e-198,down
SH2D3C,-2.77061045673794,5.26907896688791,805.646958278367,3.19386168169543e-177,2.08303658880176e-173,down
KANK3,-3.0964544841119,3.86093213765549,729.774129831105,1.00303003039689e-160,4.36117457216568e-157,down
GIMAP8,-2.87706747516409,4.93512591234068,704.304329470481,3.46500202092416e-155,1.12993715902337e-151,down
LIMS2,-3.14366292548505,5.44095328193985,663.402157443044,2.71926349861085e-146,7.09401461517599e-143,down
ACVRL1,-2.83752438803095,5.92550982034322,662.156043080534,5.07514707425495e-146,1.10333697394303e-142,down
HSPA12B,-3.15732750079826,3.97521667093255,658.133514649636,3.80407239917446e-145,7.08861719640452e-142,down
TEK,-3.50530463755984,4.7359668585607,652.588144544319,6.11283172925426e-144,9.96697213454907e-141,down
S1PR1,-2.97158189153807,5.58308512611155,641.194851881427,1.8368654682998e-141,2.66223035205585e-138,down
RAMP3,-3.42064110291253,5.04466138309261,622.215229609517,2.46577903982438e-137,3.21636217954692e-134,down
RTKN2,-4.39135276826101,6.13660442582852,620.948540402016,4.65000397102098e-137,5.51405925436342e-134,down
LDB2,-2.86924075338639,4.8298465629362,615.781427254392,6.18424060384131e-136,6.72226953637551e-133,down
ROBO4,-3.13290954656539,5.46476276779399,608.702064932027,2.1431528346592e-134,2.15040658271497e-131,down
SEMA3G,-3.47726136695141,4.4250934713274,585.368596782947,2.5486537984232e-129,2.37461715333088e-126,down
GIMAP6,-2.48966954367538,5.03593006741531,575.517704823538,3.54060624377613e-127,3.07891118958772e-124,down
FGD5,-2.52034465416876,4.98447080057724,571.91021051026,2.15672994297532e-126,1.75827408601063e-123,down
PYCR1,3.76994526441775,7.30327982921933,548.459658203689,2.72318971595603e-121,2.08948745029003e-118,up
CDH5,-2.77989899164032,6.36172621343274,545.703867575029,1.08287940904405e-120,7.84726611753923e-118,down
GIMAP7,-2.46571931772049,4.18630977380881,536.522418500301,1.07640948076472e-118,7.38983435110266e-116,down
RAMP2,-2.97142128846287,4.69966138607831,522.208775288729,1.39957288252738e-115,8.73980376648462e-113,down
CLEC1A,-2.57528392276323,2.15502966336541,522.198136149577,1.40705212431905e-115,8.73980376648462e-113,down
PNPLA6,-1.76818993777226,6.92562771725459,515.454577399536,4.1254093091316e-114,2.44599268310512e-111,down
SPOCK2,-3.78163361853485,7.38433548764115,507.638449061838,2.07025025126107e-112,1.1741019251065e-109,down
USHBP1,-2.82430574942831,1.94300192860055,505.939370851901,4.84951338622727e-112,2.63571052541452e-109,down
GPR146,-2.47065196713791,3.32659730311516,505.04145058369,7.60437081450041e-112,3.96765651617374e-109,down
LYVE1,-3.69217875544311,4.09121332551372,502.748573419893,2.3984984450138e-111,1.20330821987539e-108,down
C10orf54,-1.93750306299847,6.03147786199636,502.313373660468,2.98283465491404e-111,1.44104056439625e-108,down
GIMAP4,-2.06638306261441,5.29942496448169,497.504824598363,3.31797255921894e-110,1.54570121651614e-107,down
CALCRL,-2.95996064468292,6.04490863814851,496.373994216025,5.84684602209807e-110,2.6298710176637e-107,down
JAM2,-2.58536967601836,3.16286684742357,495.440749917511,9.33211533251419e-110,4.05760374657717e-107,down
STARD8,-2.4604285943011,3.97063337095492,495.188609361366,1.05886799273963e-109,4.45544325719216e-107,down
ARHGEF15,-2.78676157854241,4.18893078274214,494.805914640541,1.2826558134641e-109,5.22842575963306e-107,down
CYYR1,-2.44213818426685,4.44257050367299,485.441347530447,1.39872501474288e-107,5.52877851282003e-105,down
TRPV2,-2.28115129499275,4.908647245981,483.095881749749,4.52992675825868e-107,1.73789307749195e-104,down
OTUD1,-1.9639459260049,4.94473864576461,479.190924916197,3.20477029942191e-106,1.1943721081617e-103,down
FAM107A,-4.60089322608012,5.77155181384169,471.901121514228,1.23615387631481e-104,4.47899754518067e-102,down
EMP2,-2.6846408521654,9.21552578945222,467.718467418217,1.005192949702e-103,3.54371265835485e-101,down
FOXF1,-2.91314705869645,3.92337935883825,467.141834617416,1.34193166056043e-103,4.60635699482902e-101,down
EPAS1,-2.66341527514189,9.53565675960404,465.913357097742,2.48347777823301e-103,8.30627798442857e-101,down
PRX,-3.47047485370302,5.60395483631264,463.599963314913,7.91559631285753e-103,2.52494386877955e-100,down
CD101,-3.03069137253037,2.90857688758089,463.594719356112,7.93642277061956e-103,2.52494386877955e-100,down
EDNRB,-3.6026010082333,5.63952782224453,460.292944389666,4.15089312685122e-102,1.28914880825351e-99,down
CAV1,-3.90215420688371,8.64162614648144,457.337009796846,1.82560806257873e-101,5.53796082983186e-99,down
MYCT1,-2.47050977980928,3.83083693801042,455.736450679034,4.0712008962768e-101,1.20692601115988e-98,down
FGR,-2.57050725954782,4.74505860892169,453.009008385024,1.59689694783888e-100,4.62887195280231e-98,down
TIE1,-2.34044055394359,5.05338070422182,448.922701259426,1.23755985528138e-99,3.50928929397615e-97,down
FEZ1,-2.34234612025216,3.38615851193879,446.918659497448,3.37835747687083e-99,9.37602019751129e-97,down
DPEP2,-2.77996465361072,2.62547970618336,446.218282317893,4.79876662179015e-99,1.30406482947147e-96,down
CLEC14A,-2.47890383874942,5.2760036963971,437.08159681334,4.67313125213049e-97,1.24400661332225e-94,down
GPIHBP1,-4.40939360591066,4.03374798751838,436.65279290234,5.79340299866383e-97,1.51138297429142e-94,down
TAL1,-2.83735764342039,2.39525908782078,429.628535775452,1.95766005516438e-95,5.00700348226749e-93,down
TMEM177,1.94654137888064,3.57048167737442,427.013903033055,7.25800058704288e-95,1.82064153187283e-92,up
THSD1,-2.36442648895465,2.82680880742572,426.861198529647,7.83526462766465e-95,1.92836210949543e-92,down
FLI1,-1.99274705699455,4.91209763807053,426.077357874483,1.16053907092629e-94,2.80334660021528e-92,down
GYPC,-2.01450939967867,4.59144550484204,425.056545747797,1.93572989385716e-94,4.59084740644961e-92,down
ECSCR,-2.48966815541402,2.49006367724521,421.225644008653,1.32029588115214e-93,3.07534633459796e-91,down
CD52,-2.81357738706716,5.9083751563839,411.301565506955,1.90901864845155e-91,4.36863846498282e-89,down
HPS5,-1.32877204512096,5.34317196408605,410.490254077538,2.86688916544555e-91,6.44753487483995e-89,down
PTRF,-2.30457096468434,8.23465838452286,401.754805188313,2.28527088972669e-89,5.05238533654153e-87,down
C16orf59,4.00244924877804,3.03706479703702,398.933138570393,9.40107980519994e-89,2.04379474965047e-86,up
LRRC32,-2.4989647899566,5.85842241273494,396.658375130157,2.94016647176102e-88,6.2871363045329e-86,down
AGER,-5.63635607756764,8.62895090391255,395.752902837587,4.62899292034609e-88,9.73880381499911e-86,down
PTPN21,-2.41887425099665,5.2562330970515,394.431629200435,8.97676795146559e-88,1.85861843109392e-85,down
GIMAP1,-2.28439377113646,3.0031886117084,393.519871410858,1.41776973372213e-87,2.88959193854241e-85,down
PDLIM2,-1.98899110945528,5.42685094590948,392.300726676271,2.6122215444237e-87,5.24212581930196e-85,down
GRASP,-2.56035152046273,4.06077807442516,387.944635237153,2.31918637615164e-86,4.58355561977607e-84,down
ERG,-2.16936809437108,4.72243331776575,387.105222323088,3.53248082246379e-86,6.87726564898772e-84,down
FMO2,-3.49468901962272,6.38325197923419,386.632456610269,4.47717004277644e-86,8.58826559381999e-84,down
IL3RA,-2.1849535106998,3.52650625755892,385.424215542752,8.20438407104854e-86,1.55098530177909e-83,down
CASKIN2,-1.71447813411497,6.12603407937807,384.894960217719,1.0697176780878e-85,1.99334248471103e-83,down
CLEC3B,-4.07968005425297,6.01866316384702,384.395660324794,1.37395084166051e-85,2.52419926459432e-83,down
TMEM204,-2.10226712256316,4.68672659177415,382.344827156981,3.84113529550221e-85,6.95885677701817e-83,down
SRPK1,1.7538873795587,6.69230665945113,381.878564123686,4.85256024215664e-85,8.6707939450262e-83,up
NLRC4,-2.44044114498035,2.63422294597191,381.693943292223,5.32310831062323e-85,9.38305740591478e-83,down
PRAM1,-2.93697528546342,3.23061589554194,381.008825521347,7.50455307596632e-85,1.30519187097206e-82,down
FHL1,-3.3593935682819,6.64521069408521,380.482905580227,9.76844162333677e-85,1.67657305966849e-82,down
MMRN2,-2.25241320274491,5.26858534176394,379.905813844875,1.30456900780892e-84,2.2099737841376e-82,down
GRK5,-2.73592656409697,5.06405925653423,379.509421900503,1.59135833838787e-84,2.66124079050402e-82,down
MFNG,-2.00231500874547,4.39506607304484,376.772494078238,6.27549214929456e-84,1.03617113411897e-81,down
FCN3,-4.90291793192433,5.32306914470966,375.613002618682,1.12226116878147e-83,1.82984683569819e-81,down
NOVA2,-2.53477792482932,1.76058755910747,374.872286617919,1.62691460779785e-83,2.61993507952039e-81,down
DOK2,-2.47043070164849,4.87577690120042,374.466179855431,1.99426950884173e-83,3.17234774065018e-81,down
STARD13,-1.9391051455082,4.44833190444205,366.241633357428,1.23173752843442e-81,1.93575714709622e-79,down
CD93,-2.30493323740479,7.14779244208491,365.502182756403,1.78453197197937e-81,2.77112321934511e-79,down
GLIPR2,-2.36210361106927,5.70884484959936,364.854890783053,2.46868012696137e-81,3.78840747953931e-79,down
S1PR4,-2.29258940722608,3.45296261640262,361.961521241669,1.05310465151682e-80,1.59729035748667e-78,down
MS4A7,-2.48205718259184,5.69359443244124,360.616750565342,2.06675317763635e-80,3.09870441943546e-78,down
ALDH18A1,1.74829860253989,6.92149970796391,354.305437749966,4.89311766148948e-79,7.25293486096236e-77,up
RASIP1,-2.59068425171539,4.57453336834707,352.435327088982,1.24973463808187e-78,1.83163355271234e-76,down
SDPR,-3.22379663977878,6.8730132287585,352.241169665954,1.37751883537338e-78,1.99648396540115e-76,down
NECAB1,-3.28789777035191,2.94328557802543,347.0191892898,1.88912717372254e-77,2.68853745605129e-75,down
ADCY4,-2.13592100357032,3.17864500973193,347.011695430884,1.89623923609873e-77,2.68853745605129e-75,down
BCL6B,-2.04892363330554,4.06406924163671,344.417631690934,6.96316983416774e-77,9.76640723837462e-75,down
ADRB2,-3.14984572551882,3.62687691218221,344.327963579201,7.2834037978792e-77,1.01068850148443e-74,down
SLC31A2,-1.68865513677881,4.70152398367832,336.302777851201,4.07448367375381e-75,5.59448053057312e-73,down
CLDN5,-3.00312933328466,6.10252524035936,335.633501062849,5.69946679857811e-75,7.744150512568e-73,down
DNAH14,2.77686839510421,3.03230287546619,332.37203642818,2.92523106171116e-74,3.93368185247014e-72,up
HYAL2,-1.39618299314154,7.27568020467139,330.508826276319,7.44671222096815e-74,9.91172593982741e-72,down
STX12,-1.06479779779366,6.48913513762136,330.348333457604,8.07086318748663e-74,1.0633973678543e-71,down
TLR4,-1.98606000884366,4.82943720258784,329.360177668882,1.32477437442605e-73,1.72803569400134e-71,down
ERCC6L,3.6202113379262,2.47839930509452,329.023641855844,1.56834067118701e-73,2.02548868464984e-71,up
PPP1R14B,1.95398491676272,7.00894225670058,328.329806007535,2.22106155476919e-73,2.84034577651072e-71,up
ETV4,4.17822928216755,5.80372775367672,327.611594182874,3.18413137342859e-73,4.03240870242743e-71,up
PRKCE,-1.79868638772925,4.79069105188202,326.582382246416,5.33532218311222e-73,6.69172524581883e-71,down
BTNL9,-3.70650522774362,3.84605803763487,325.85645214624,7.67846951657298e-73,9.53885298801695e-71,down
PTPRB,-2.69530640143102,6.4399092999576,325.810886333028,7.85596135095409e-73,9.66727923224954e-71,down
GMFG,-1.892533165036,4.59278958546943,325.164768757422,1.086251606532e-72,1.32421177155172e-70,down
HEG1,-2.22235343045378,7.05635160862587,323.142478751287,2.99510195487861e-72,3.61741758328116e-70,down
AOC3,-2.75146272515056,6.72699538783061,321.84659283257,5.73689499858102e-72,6.86532645518264e-70,down
SPTBN2,2.88379735994946,6.27559835834693,319.93634302152,1.49543352604637e-71,1.77331226488626e-69,up
IQGAP3,4.16506799277337,4.88921761810804,319.127424230378,2.24371624858741e-71,2.63666979698867e-69,up
PLEKHO2,-1.46453158333827,5.82608266706797,318.584765768158,2.94558798371475e-71,3.43055800531921e-69,down
GPD1,-4.22771898504869,3.95955788447365,318.366523280108,3.28632596724362e-71,3.79352530236511e-69,down
LGR4,3.07167835033934,6.44526584136086,317.929706121895,4.09129294298663e-71,4.68130045160681e-69,up
RHOJ,-1.90237914682402,3.19822886962137,317.442242215272,5.22448093927105e-71,5.92592429320448e-69,down
TMEM100,-4.43930447982554,5.21970389551492,316.699788517239,7.58176354117688e-71,8.52556238199235e-69,down
SLC6A4,-7.80041572877777,5.00127782703446,316.117074095432,1.01555274804776e-70,1.13221111500299e-68,down
SNRK,-1.24701300602673,5.81057359259784,316.057210659322,1.04650795696901e-70,1.15683472802574e-68,down
OSCAR,-2.70552625058287,4.61330853074521,315.86856430452,1.15036433980179e-70,1.26095398725837e-68,down
FABP4,-4.96951765779258,5.01045462957215,313.491193519017,3.79057577725871e-70,4.12035586988022e-68,down
WNT3A,-4.75065436138258,2.26686981899521,311.603989850216,9.76807895733734e-70,1.05301505718602e-67,down
SELP,-2.73910696099348,3.62987056189624,311.517383844935,1.02017669108986e-69,1.09075284906362e-67,down
PPAT,2.15234839467179,4.55272837449452,310.651647036361,1.57495534605606e-69,1.67022093771994e-67,up
VIPR1,-3.31726388878632,5.13384778784921,309.680853310227,2.56300092776877e-69,2.69611162111418e-67,down
C1orf162,-2.25224403832084,4.60223012044014,308.57137497334,4.47139791635111e-69,4.66599315367071e-67,down
PLAC9,-3.08820154606375,3.10648207553449,308.549685757732,4.52031021039352e-69,4.6795973320931e-67,down
ADPRH,-1.6865257576079,4.57404506994404,307.45798733203,7.8161392227567e-69,8.02785197020774e-67,down
FAM83A,6.52171543770183,6.57244086637396,306.745971767125,1.11713261456391e-68,1.13842795502903e-66,up
RASGRP4,-2.40414033810567,1.92809165637679,305.490293513428,2.09728185281005e-68,2.120693371167e-66,down
STIL,2.94126490066381,3.82193832118745,305.062684525558,2.5990409017042e-68,2.60783765552535e-66,up
MEX3A,4.70248080270432,5.10727957892956,304.325518608926,3.76191193229491e-68,3.74583047670648e-66,up
PPP1R15A,-1.92461114359346,7.06652566084453,303.417555016545,5.93218989359483e-68,5.86208219485234e-66,down
UHRF1,3.82170841954704,3.89079868069465,301.768567931018,1.35663712212156e-67,1.3305244075905e-65,up
FAM167B,-1.97080180571005,2.7972226992759,301.619633193381,1.46187743343208e-67,1.42303949564836e-65,down
