,logFC,t,P.Value,adj.P.Val,B,direction
FAM83B,7.24890762576978,50.7916297584354,5.06609567057373e-37,6.60821519269637e-33,72.8810696021429,up
B4GALNT4,6.95351180564595,44.0052684308757,1.18551506388287e-34,7.73192924664406e-31,68.1772888023562,up
E2F7,5.35848969384452,43.3662778653133,2.0647498792416e-34,8.4506099832103e-31,67.8239819539033,up
NXPH4,6.7216027319134,43.107201708372,2.59141673818163e-34,8.4506099832103e-31,67.6003954278048,up
POLQ,5.2960533978482,41.3546493520442,1.24834335031743e-33,2.91204542597484e-30,66.1727094500504,up
TTK,5.67333746870212,41.0520108777164,1.64832083663271e-33,3.07152814186243e-30,66.0208929744378,up
TROAP,5.50491701434607,39.5729847933434,6.59875512269298e-33,1.07592702275509e-29,64.5900161770387,up
NEK2,5.24573158940369,39.2977056042891,8.58918272865405e-33,1.24485888347293e-29,64.4286203310348,up
KIF23,4.21976972103453,38.9732950698597,1.1745191439505e-32,1.53204277136903e-29,64.3951832558986,up
FAM83F,5.98734841667888,38.2974048717573,2.27252213281664e-32,2.57041427135962e-29,63.4818313728034,up
EXO1,5.20931244581503,37.9868859062873,3.08898413879432e-32,2.87805065045951e-29,62.9849297893061,up
GJB6,9.3190066283158,38.175929173889,2.56174375403826e-32,2.57041427135962e-29,62.9458809687247,up
KIAA1524,3.63392146649103,37.4666570177707,5.19383001182836e-32,4.03843969953168e-29,62.931141102658,up
NUF2,5.34965513384039,37.5993685251876,4.54608242339601e-32,3.95327327538517e-29,62.8287716601906,up
TFAP2A,5.94996549237227,37.4534584843362,5.26322254615445e-32,4.03843969953168e-29,62.7866109179771,up
CDC45,5.64081391395693,37.3253911005973,5.98798756051413e-32,4.33929498551924e-29,62.5506165671713,up
DQX1,6.60612675367653,38.243188652089,2.39722788634155e-32,2.57041427135962e-29,61.8985166089422,up
GPD1,-6.47631407709232,-36.6297791895005,1.21569779729756e-31,7.55122003235684e-29,61.8894171615745,down
ERCC6L,4.45834202900616,36.8223192884659,9.98045082135206e-32,6.50925002568582e-29,61.6861731373045,up
HOXC13,8.86950328680376,41.2777162454796,1.33948731645577e-33,2.91204542597484e-30,61.6818837744362,up
KIF18B,5.64890305746744,36.3988766949022,1.54217830138469e-31,8.04646950530474e-29,61.6259496195985,up
GRHL3,7.4958095341249,37.0406414731088,7.98938793045015e-32,5.48492506130483e-29,61.6170621849117,up
RAD54L,5.23882284813963,36.4108207962967,1.52326500395831e-31,8.04646950530474e-29,61.4808905778216,up
XRCC2,4.29167951032397,36.5180205049807,1.36380072498712e-31,8.04646950530474e-29,61.3879491417669,up
CDCA5,4.61098766078798,35.8855836327003,2.63041428609036e-31,1.27078236843565e-28,61.3490407288915,up
C17orf53,4.27837968677553,36.2304520167012,1.83603675677646e-31,9.21125517515083e-29,61.3259807178336,up
EME1,4.27019666812732,36.4508129953292,1.46165103715784e-31,8.04646950530474e-29,61.2548044910891,up
GINS1,4.44151190318231,35.7719547638407,2.96333658150785e-31,1.28845874563961e-28,61.1785449419017,up
RAD51,4.26056215002755,35.8386599998388,2.76298576608695e-31,1.28715665474422e-28,61.1682464801947,up
HJURP,5.34267827946848,35.7027578203816,3.18695183154727e-31,1.34098708679686e-28,60.9815835012902,up
RACGAP1,2.77995114137683,35.3443406935256,4.65536520862107e-31,1.6867939939237e-28,60.8797328076434,up
PRAME,8.92185944967594,35.7784077861519,2.94332043241004e-31,1.28845874563961e-28,60.4682337038611,up
UBE2T,4.18072439579169,35.0263247967963,6.53584114389656e-31,2.24351347055228e-28,60.3740427942662,up
FAM64A,5.12950321016866,35.438376469054,4.21330356364437e-31,1.61642152012286e-28,60.364022273002,up
ARTN,5.36580247141038,35.0599532241813,6.30464882065667e-31,2.22264430315258e-28,60.2650049923705,up
CENPA,5.70394429224478,35.3450884698698,4.65166851562201e-31,1.6867939939237e-28,60.2407161504153,up
PLK1,4.71434355922696,34.7829081024014,8.4905811612449e-31,2.70124733334826e-28,60.1780743939285,up
CENPI,4.79836999353999,35.5829304869199,3.61596336614059e-31,1.47395706712306e-28,60.1454803925051,up
NCAPH,4.7874526252484,34.5952831954806,1.04001309247412e-30,3.22998351862678e-28,59.9539135539196,up
FOXE1,8.39262273839876,34.9609679406589,7.01034523551548e-31,2.34469085261702e-28,59.9477194761697,up
OIP5,4.71317356340407,34.9167274411144,7.35145694890874e-31,2.39731011103914e-28,59.8529730123718,up
SKA3,4.68782950360647,34.4887367483152,1.16753213761908e-30,3.54169516351238e-28,59.4960087700775,up
MAD2L1,4.05286035070662,34.0199576753626,1.94990217777394e-30,5.52924434932244e-28,59.404787218684,up
BIRC5,5.64080265376692,34.121867053617,1.7431953271573e-30,5.05294218831997e-28,59.4028645177666,up
KIF4A,5.28669084004278,33.9030443587156,2.21826404659769e-30,6.1563906859192e-28,59.1933003155266,up
UBE2C,5.36301897409367,33.8769743739285,2.28310132934836e-30,6.20432786250417e-28,59.1852762416449,up
TCF21,-5.11393840087083,-33.7690072968832,2.57299377685402e-30,6.84941445413956e-28,59.132345305852,down
